SESSION; TIME;RPM;THROT;WATER;AIR;LAMB;TAR LB;INJ;ADV;L/100K;

60 ;0:00.10 ;3599 ;0 ;68;17;0.501 ;0.900 ;2.75 ;20.0 ;0.0;
60 ;0:00.20 ;3911 ;0 ;68;17;0.504 ;0.900 ;2.75 ;20.0 ;0.0;
60 ;0:00.30 ;4047 ;0 ;68;17;0.506 ;0.900 ;2.75 ;20.9 ;0.0;
60 ;0:00.40 ;4158 ;0 ;68;17;0.502 ;0.900 ;2.75 ;23.1 ;0.0;
60 ;0:00.50 ;4190 ;0 ;68;17;0.508 ;0.900 ;2.75 ;23.8 ;0.0;
60 ;0:00.60 ;4344 ;0 ;68;17;0.504 ;0.900 ;2.75 ;26.8 ;0.0;
60 ;0:00.70 ;4519 ;0 ;68;17;0.502 ;0.900 ;2.75 ;30.3 ;0.0;
60 ;0:00.80 ;4665 ;0 ;68;17;0.507 ;0.900 ;2.75 ;33.3 ;0.0;
60 ;0:00.90 ;4778 ;0 ;68;17;0.500 ;0.900 ;2.75 ;35.5 ;0.0;
60 ;0:01.00 ;4962 ;0 ;68;17;0.508 ;0.900 ;2.75 ;39.2 ;0.0;
60 ;0:01.10 ;5252 ;0 ;68;17;0.500 ;0.900 ;2.75 ;40.0 ;0.0;
60 ;0:01.20 ;5485 ;0 ;68;17;0.500 ;0.900 ;2.75 ;40.0 ;0.0;
60 ;0:01.30 ;5688 ;0 ;68;17;0.504 ;0.900 ;2.75 ;40.0 ;0.0;
60 ;0:01.40 ;5544 ;0 ;68;17;0.501 ;0.900 ;2.75 ;40.0 ;0.0;
60 ;0:01.50 ;4827 ;0 ;68;17;0.501 ;0.900 ;2.75 ;36.5 ;0.0;
60 ;0:01.60 ;4031 ;0 ;68;17;0.501 ;0.900 ;2.75 ;20.6 ;0.0;
60 ;0:01.70 ;3003 ;0 ;68;17;0.502 ;0.900 ;2.75 ;20.0 ;0.0;
60 ;0:01.80 ;2420 ;0 ;68;17;0.503 ;0.900 ;2.99 ;20.0 ;0.0;
60 ;0:01.90 ;1784 ;0 ;68;17;0.501 ;0.900 ;3.45 ;20.0 ;0.0;
60 ;0:02.00 ;0 ;0 ;68;17;0.503 ;0.900 ;0.00 ;0.0 ;0.0;
54 ;0:02.10 ;4418 ;0 ;81;24;0.816 ;0.900 ;2.75 ;28.3 ;0.0;
54 ;0:02.20 ;4286 ;0 ;81;24;0.813 ;0.900 ;2.75 ;25.7 ;0.0;
54 ;0:02.30 ;3960 ;0 ;81;24;0.812 ;0.900 ;2.75 ;20.0 ;0.0;
54 ;0:02.40 ;3801 ;0 ;81;24;0.809 ;0.900 ;2.75 ;20.0 ;0.0;
54 ;0:02.50 ;3635 ;0 ;81;24;0.838 ;0.900 ;2.75 ;20.0 ;0.0;
54 ;0:02.60 ;3618 ;0 ;81;24;0.820 ;0.900 ;2.75 ;20.0 ;0.0;
54 ;0:02.70 ;3654 ;0 ;81;24;0.812 ;0.900 ;2.75 ;20.0 ;0.0;
54 ;0:02.80 ;3728 ;0 ;81;24;0.805 ;0.900 ;2.75 ;20.0 ;0.0;
54 ;0:02.90 ;3909 ;0 ;81;24;0.792 ;0.900 ;2.75 ;20.0 ;0.0;
54 ;0:03.00 ;4049 ;0 ;81;24;0.795 ;0.900 ;2.75 ;20.9 ;0.0;
54 ;0:03.10 ;4150 ;0 ;81;24;0.799 ;0.900 ;2.75 ;23.0 ;0.0;
54 ;0:03.20 ;4149 ;0 ;81;24;0.798 ;0.900 ;2.75 ;22.9 ;0.0;
54 ;0:03.30 ;4175 ;0 ;81;24;0.794 ;0.900 ;2.75 ;23.5 ;0.0;
54 ;0:03.40 ;4207 ;0 ;81;24;0.799 ;0.900 ;2.75 ;24.1 ;0.0;
54 ;0:03.50 ;4222 ;0 ;81;24;0.797 ;0.900 ;2.75 ;24.4 ;0.0;
54 ;0:03.60 ;4238 ;0 ;81;24;0.809 ;0.900 ;2.75 ;24.7 ;0.0;
54 ;0:03.70 ;4302 ;0 ;81;24;0.811 ;0.900 ;2.75 ;26.0 ;0.0;
54 ;0:03.80 ;4339 ;0 ;81;24;0.807 ;0.900 ;2.75 ;26.7 ;0.0;
54 ;0:03.90 ;4414 ;0 ;81;24;0.796 ;0.900 ;2.75 ;28.2 ;0.0;
54 ;0:04.00 ;4491 ;0 ;81;24;0.796 ;0.900 ;2.75 ;29.8 ;0.0;
