SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TAR LB;LAMB %;TRAC %;SLIP%;INJ;ADV;GEAR;SHIF A;INJ %;L/100K;

76 ;0:00.10 ;229 ;0 ;82;10;96;0.868 ;0.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;0 ;0 ;7 ;0.0;
76 ;0:00.20 ;229 ;0 ;82;10;96;0.867 ;0.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;0 ;0 ;7 ;0.0;
76 ;0:00.30 ;229 ;0 ;82;10;96;0.870 ;0.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;0 ;0 ;7 ;0.0;
76 ;0:00.40 ;229 ;0 ;82;10;93;0.868 ;0.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;0 ;0 ;7 ;0.0;
76 ;0:00.50 ;971 ;0 ;82;10;85;0.867 ;0.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;0 ;0 ;7 ;0.0;
76 ;0:00.60 ;2450 ;0 ;82;10;78;0.859 ;3.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.71 ;7.9 ;1 ;0 ;6 ;74.2;
76 ;0:00.70 ;2904 ;0 ;82;10;76;0.865 ;3.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.57 ;8.0 ;0 ;0 ;6 ;80.0;
76 ;0:00.80 ;3083 ;0 ;82;10;76;0.869 ;3.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.56 ;8.2 ;0 ;0 ;6 ;82.8;
76 ;0:00.90 ;3159 ;0 ;82;10;75;0.870 ;4.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.58 ;8.4 ;0 ;0 ;6 ;68.8;
76 ;0:01.00 ;3178 ;0 ;82;10;76;0.878 ;4.7 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.58 ;8.5 ;1 ;0 ;6 ;59.6;
76 ;0:01.10 ;3208 ;0 ;82;10;76;0.860 ;5.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.6 ;1 ;0 ;7 ;57.4;
76 ;0:01.20 ;3224 ;0 ;82;10;76;0.870 ;5.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.6 ;1 ;0 ;6 ;57.4;
76 ;0:01.30 ;3270 ;0 ;82;10;76;0.863 ;5.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;8.8 ;1 ;0 ;7 ;56.3;
76 ;0:01.40 ;3239 ;0 ;82;10;76;0.858 ;5.7 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.7 ;1 ;0 ;7 ;56.1;
76 ;0:01.50 ;3254 ;0 ;82;10;76;0.860 ;5.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;8.7 ;1 ;0 ;7 ;52.5;
76 ;0:01.60 ;3216 ;0 ;82;10;76;0.851 ;5.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.6 ;1 ;0 ;7 ;53.4;
76 ;0:01.70 ;3252 ;0 ;82;10;76;0.860 ;6.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;8.7 ;1 ;0 ;7 ;51.6;
76 ;0:01.80 ;3243 ;0 ;82;10;76;0.861 ;6.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.7 ;1 ;0 ;7 ;48.4;
76 ;0:01.90 ;3281 ;0 ;82;10;76;0.860 ;6.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;8.8 ;1 ;0 ;7 ;50.0;
76 ;0:02.00 ;3232 ;0 ;82;10;76;0.860 ;6.3 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.6 ;1 ;0 ;7 ;49.2;
76 ;0:02.10 ;3225 ;0 ;82;10;76;0.857 ;6.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.6 ;1 ;0 ;7 ;47.0;
76 ;0:02.20 ;3215 ;0 ;82;10;76;0.857 ;6.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.6 ;1 ;0 ;6 ;46.9;
76 ;0:02.30 ;3176 ;0 ;82;10;76;0.848 ;6.7 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.58 ;8.5 ;1 ;0 ;6 ;46.2;
76 ;0:02.40 ;3195 ;0 ;82;10;76;0.845 ;7.1 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.58 ;8.5 ;1 ;0 ;6 ;43.6;
76 ;0:02.50 ;3235 ;0 ;82;10;76;0.846 ;7.2 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.7 ;1 ;0 ;7 ;43.6;
76 ;0:02.60 ;3226 ;0 ;82;10;76;0.847 ;7.2 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.6 ;1 ;0 ;7 ;43.0;
76 ;0:02.70 ;3187 ;0 ;82;10;76;0.848 ;7.7 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.58 ;8.5 ;1 ;0 ;6 ;42.4;
76 ;0:02.80 ;3174 ;0 ;82;10;76;0.838 ;7.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.58 ;8.5 ;1 ;0 ;6 ;39.7;
76 ;0:02.90 ;3162 ;0 ;82;10;76;0.840 ;7.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.58 ;8.4 ;1 ;0 ;6 ;38.7;
76 ;0:03.00 ;3195 ;0 ;82;10;76;0.833 ;7.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.58 ;8.5 ;1 ;0 ;6 ;39.2;
76 ;0:03.10 ;3269 ;0 ;82;10;76;0.827 ;7.7 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;8.8 ;1 ;0 ;7 ;41.5;
76 ;0:03.20 ;3250 ;0 ;82;10;76;0.839 ;8.3 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;8.7 ;1 ;0 ;7 ;38.5;
76 ;0:03.30 ;3256 ;0 ;82;10;76;0.846 ;8.1 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;8.7 ;1 ;0 ;7 ;39.0;
76 ;0:03.40 ;3287 ;0 ;82;10;76;0.858 ;8.2 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;8.8 ;1 ;0 ;7 ;37.6;
76 ;0:03.50 ;3341 ;0 ;82;10;76;0.856 ;8.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;9.0 ;1 ;0 ;7 ;37.6;
76 ;0:03.60 ;3343 ;0 ;82;10;75;0.860 ;8.6 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;9.0 ;1 ;0 ;7 ;38.3;
76 ;0:03.70 ;3429 ;0 ;82;10;75;0.847 ;8.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.63 ;9.2 ;1 ;0 ;7 ;37.0;
76 ;0:03.80 ;3349 ;0 ;82;10;76;0.844 ;9.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;9.0 ;1 ;0 ;7 ;36.6;
76 ;0:03.90 ;3332 ;0 ;82;10;76;0.845 ;9.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;8.9 ;1 ;0 ;7 ;32.6;
