SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TAR LB;LAMB %;TRAC %;SLIP%;INJ;ADV;GEAR;SHIF A;INJ %;L/100K;

81 ;0:00.10 ;2152 ;0 ;83;10;83;0.866 ;3.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.07 ;7.3 ;0 ;0 ;7 ;64.1;
81 ;0:00.20 ;2294 ;0 ;83;10;80;0.856 ;3.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.90 ;7.5 ;0 ;0 ;7 ;64.1;
81 ;0:00.30 ;2486 ;0 ;83;10;78;0.856 ;3.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.67 ;7.9 ;0 ;0 ;6 ;66.6;
81 ;0:00.40 ;2691 ;0 ;83;10;76;0.845 ;3.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.62 ;8.0 ;0 ;0 ;6 ;71.7;
81 ;0:00.50 ;3003 ;0 ;83;10;75;0.835 ;3.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.55 ;8.0 ;0 ;0 ;6 ;56.6;
81 ;0:00.60 ;3232 ;0 ;83;10;76;0.832 ;5.3 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.6 ;0 ;0 ;7 ;46.2;
81 ;0:00.70 ;3194 ;0 ;83;10;76;0.831 ;7.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.58 ;8.5 ;1 ;0 ;6 ;40.7;
81 ;0:00.80 ;3236 ;0 ;83;10;75;0.825 ;7.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.7 ;1 ;0 ;7 ;40.7;
81 ;0:00.90 ;3227 ;0 ;82;10;75;0.826 ;7.6 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.6 ;1 ;0 ;7 ;40.2;
81 ;0:01.00 ;3184 ;0 ;82;10;75;0.828 ;7.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.58 ;8.5 ;1 ;0 ;6 ;39.2;
81 ;0:01.10 ;3209 ;0 ;82;10;75;0.814 ;8.1 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.6 ;1 ;0 ;6 ;39.2;
81 ;0:01.20 ;3212 ;0 ;82;10;75;0.820 ;8.1 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.6 ;1 ;0 ;6 ;38.2;
81 ;0:01.30 ;3268 ;0 ;82;10;76;0.810 ;8.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;8.8 ;1 ;0 ;7 ;40.0;
81 ;0:01.40 ;3232 ;0 ;82;10;76;0.813 ;8.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;8.6 ;1 ;0 ;7 ;39.0;
81 ;0:01.50 ;3284 ;0 ;82;10;76;0.819 ;8.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;8.8 ;1 ;0 ;7 ;37.2;
81 ;0:01.60 ;3286 ;0 ;82;10;76;0.812 ;8.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;8.8 ;1 ;0 ;7 ;35.5;
81 ;0:01.70 ;3326 ;0 ;82;10;76;0.818 ;9.3 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;9.0 ;1 ;0 ;7 ;34.7;
81 ;0:01.80 ;3397 ;0 ;82;10;76;0.814 ;9.6 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.62 ;9.1 ;1 ;0 ;7 ;34.7;
81 ;0:01.90 ;3336 ;0 ;82;10;77;0.821 ;9.3 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;9.0 ;1 ;0 ;7 ;33.3;
81 ;0:02.00 ;3297 ;0 ;82;10;77;0.840 ;9.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;8.8 ;1 ;0 ;7 ;32.3;
81 ;0:02.10 ;3260 ;0 ;82;10;78;0.867 ;9.7 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;8.7 ;1 ;0 ;7 ;31.3;
81 ;0:02.20 ;3163 ;0 ;82;10;78;0.896 ;9.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.58 ;8.4 ;1 ;0 ;6 ;30.9;
81 ;0:02.30 ;3064 ;0 ;82;10;80;0.895 ;9.6 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.56 ;8.1 ;1 ;0 ;6 ;28.5;
81 ;0:02.40 ;2749 ;0 ;82;10;81;0.891 ;10.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;8.0 ;1 ;0 ;6 ;28.1;
81 ;0:02.50 ;2631 ;0 ;82;10;82;0.886 ;9.6 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.63 ;8.0 ;1 ;0 ;6 ;25.2;
81 ;0:02.60 ;2562 ;0 ;82;10;83;0.887 ;10.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.64 ;8.0 ;1 ;0 ;6 ;24.7;
81 ;0:02.70 ;2486 ;0 ;82;10;85;0.890 ;10.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.67 ;7.9 ;1 ;0 ;6 ;23.8;
81 ;0:02.80 ;2334 ;0 ;82;10;86;0.878 ;10.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.85 ;7.6 ;1 ;0 ;7 ;23.5;
81 ;0:02.90 ;2055 ;0 ;82;10;88;0.880 ;11.2 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.19 ;7.1 ;1 ;0 ;7 ;21.7;
81 ;0:03.00 ;1977 ;0 ;82;10;89;0.868 ;11.3 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.24 ;7.0 ;1 ;0 ;8 ;20.8;
81 ;0:03.10 ;1847 ;0 ;82;10;89;0.843 ;12.3 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.18 ;7.0 ;2 ;0 ;7 ;18.1;
81 ;0:03.20 ;1799 ;0 ;82;10;90;0.809 ;11.9 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.16 ;7.0 ;2 ;0 ;7 ;16.6;
81 ;0:03.30 ;1688 ;0 ;82;10;91;0.812 ;12.6 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.12 ;7.0 ;2 ;0 ;7 ;15.4;
81 ;0:03.40 ;1583 ;0 ;82;10;91;0.843 ;12.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.08 ;7.0 ;2 ;0 ;7 ;12.5;
81 ;0:03.50 ;1377 ;0 ;82;10;92;0.858 ;13.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;3 ;0 ;7 ;11.7;
81 ;0:03.60 ;1060 ;0 ;82;10;93;0.879 ;12.6 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;6 ;0 ;7 ;8.9;
81 ;0:03.70 ;978 ;0 ;82;10;93;0.866 ;13.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;6 ;0 ;7 ;9.6;
81 ;0:03.80 ;987 ;0 ;82;10;93;0.874 ;12.6 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;6 ;0 ;7 ;8.4;
81 ;0:03.90 ;1128 ;0 ;82;10;91;0.892 ;13.1 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;6 ;0 ;7 ;10.3;
81 ;0:04.00 ;1279 ;0 ;82;10;88;0.903 ;13.2 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.05 ;7.0 ;5 ;0 ;7 ;12.0;
81 ;0:04.10 ;1699 ;0 ;82;10;83;0.959 ;14.2 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.12 ;7.0 ;3 ;0 ;7 ;15.4;
81 ;0:04.20 ;2014 ;0 ;82;10;79;0.954 ;14.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.24 ;7.0 ;2 ;0 ;8 ;16.7;
81 ;0:04.30 ;2504 ;0 ;82;10;75;0.918 ;16.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.65 ;8.0 ;2 ;0 ;6 ;15.6;
81 ;0:04.40 ;2893 ;0 ;82;10;71;0.877 ;17.3 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.58 ;8.0 ;2 ;0 ;6 ;16.7;
81 ;0:04.50 ;3279 ;0 ;82;10;68;0.802 ;18.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;8.8 ;1 ;0 ;7 ;19.0;
81 ;0:04.60 ;3776 ;0 ;82;10;66;0.775 ;19.2 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.70 ;10.3 ;1 ;0 ;8 ;20.2;
81 ;0:04.70 ;4007 ;0 ;82;10;65;0.768 ;20.6 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.75 ;11.0 ;1 ;0 ;9 ;20.2;
81 ;0:04.80 ;4115 ;0 ;82;10;65;0.776 ;21.3 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.75 ;11.4 ;1 ;0 ;9 ;19.9;
81 ;0:04.90 ;4271 ;3 ;82;10;67;0.778 ;21.7 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.50 ;21.0 ;1 ;0 ;12 ;28.9;
81 ;0:05.00 ;4314 ;5 ;82;10;67;0.802 ;22.2 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.90 ;25.4 ;1 ;0 ;14 ;29.0;
81 ;0:05.10 ;4372 ;5 ;82;10;67;0.812 ;21.2 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.90 ;25.8 ;1 ;0 ;14 ;29.9;
81 ;0:05.20 ;4321 ;5 ;82;10;67;0.860 ;22.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.90 ;25.5 ;1 ;0 ;14 ;29.2;
81 ;0:05.30 ;4496 ;5 ;82;10;66;0.887 ;22.6 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.90 ;26.9 ;1 ;0 ;14 ;28.8;
81 ;0:05.40 ;4480 ;5 ;82;10;66;0.924 ;22.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.90 ;26.8 ;1 ;0 ;14 ;28.5;
