SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TAR LB;LAMB %;TRAC %;SLIP%;INJ;ADV;SHIF A;INJ %;L/100K;

118 ;0:00.10 ;3304 ;0 ;86;12;77;0.889 ;2.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.61 ;10.3 ;0 ;7 ;133.3;
118 ;0:00.20 ;3256 ;0 ;86;12;77;0.929 ;2.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.60 ;10.2 ;0 ;7 ;129.1;
118 ;0:00.30 ;3153 ;0 ;86;12;78;0.939 ;2.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.58 ;10.1 ;0 ;6 ;120.8;
118 ;0:00.40 ;2938 ;0 ;86;12;79;0.923 ;2.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.57 ;9.8 ;0 ;6 ;116.6;
118 ;0:00.50 ;2837 ;0 ;86;12;80;0.892 ;2.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;9.6 ;0 ;6 ;112.5;
118 ;0:00.60 ;2806 ;0 ;85;12;81;0.872 ;3.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.59 ;9.6 ;0 ;6 ;76.4;
118 ;0:00.70 ;2650 ;0 ;85;12;82;0.843 ;3.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.62 ;9.3 ;0 ;6 ;62.5;
118 ;0:00.80 ;2523 ;0 ;85;12;83;0.833 ;4.7 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.65 ;9.0 ;0 ;6 ;53.1;
118 ;0:00.90 ;2423 ;0 ;85;12;85;0.867 ;5.2 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.75 ;8.6 ;0 ;6 ;43.8;
118 ;0:01.00 ;2362 ;0 ;85;12;86;0.874 ;6.3 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.82 ;8.4 ;0 ;7 ;37.8;
118 ;0:01.10 ;2253 ;0 ;85;12;87;0.865 ;7.1 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.95 ;8.0 ;0 ;7 ;31.1;
118 ;0:01.20 ;2082 ;0 ;85;12;87;0.865 ;8.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.16 ;7.3 ;0 ;7 ;27.5;
118 ;0:01.30 ;2056 ;0 ;85;12;88;0.880 ;8.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.19 ;7.2 ;0 ;7 ;24.7;
118 ;0:01.40 ;1967 ;0 ;85;12;89;0.898 ;9.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.23 ;7.0 ;0 ;8 ;23.4;
118 ;0:01.50 ;1973 ;0 ;85;12;88;0.869 ;9.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.23 ;7.0 ;0 ;8 ;21.2;
118 ;0:01.60 ;1886 ;0 ;85;12;89;0.851 ;9.7 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.20 ;7.0 ;0 ;8 ;20.6;
118 ;0:01.70 ;1717 ;0 ;85;12;89;0.845 ;10.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.13 ;7.0 ;0 ;7 ;18.4;
118 ;0:01.80 ;1666 ;0 ;85;12;86;0.841 ;9.7 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.11 ;7.0 ;0 ;7 ;23.3;
118 ;0:01.90 ;2376 ;0 ;85;12;84;0.855 ;9.4 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.80 ;8.5 ;0 ;7 ;27.4;
118 ;0:02.00 ;2476 ;0 ;85;12;85;0.882 ;9.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.68 ;8.9 ;0 ;6 ;25.7;
118 ;0:02.10 ;2164 ;0 ;85;12;87;0.895 ;9.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.06 ;7.6 ;0 ;7 ;24.5;
118 ;0:02.20 ;2021 ;0 ;85;12;87;0.894 ;10.3 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.23 ;7.0 ;0 ;8 ;23.5;
118 ;0:02.30 ;2054 ;0 ;85;12;86;0.898 ;10.3 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.19 ;7.2 ;0 ;7 ;22.2;
118 ;0:02.40 ;2077 ;0 ;85;12;85;0.898 ;10.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;3.16 ;7.3 ;0 ;7 ;22.9;
118 ;0:02.50 ;2261 ;0 ;85;12;84;0.901 ;10.8 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.94 ;8.0 ;0 ;7 ;24.0;
118 ;0:02.60 ;2419 ;0 ;85;12;84;0.917 ;10.5 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.75 ;8.6 ;0 ;6 ;24.0;
118 ;0:02.70 ;2390 ;0 ;85;12;84;0.925 ;11.0 ;0.0 ;0.900 ;0.0 ;0 ;0 ;2.79 ;8.5 ;0 ;6 ;23.3;
