SESSION; TIME;RPM;THROT;L U SP;L D SP;SLIP%;SHIF A;

127 ;0:00.01 ;3292 ;0 ;1.5 ;0.0 ;0 ;0 ;
127 ;0:00.02 ;3302 ;0 ;1.5 ;0.0 ;0 ;0 ;
127 ;0:00.03 ;3313 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.04 ;3345 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.05 ;3332 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.06 ;3293 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.07 ;3269 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.08 ;3227 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.09 ;3204 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.10 ;3236 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.11 ;3239 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.12 ;3263 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.13 ;3225 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.14 ;3219 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.15 ;3191 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.16 ;3189 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.17 ;3227 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.18 ;3229 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.19 ;3252 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.20 ;3221 ;0 ;2.4 ;0.0 ;0 ;0 ;
127 ;0:00.21 ;3194 ;0 ;2.9 ;0.0 ;0 ;0 ;
127 ;0:00.22 ;3205 ;0 ;2.9 ;0.0 ;0 ;0 ;
127 ;0:00.23 ;3199 ;0 ;2.9 ;0.0 ;0 ;0 ;
127 ;0:00.24 ;3211 ;0 ;2.9 ;0.0 ;0 ;0 ;
127 ;0:00.25 ;3247 ;0 ;2.9 ;0.0 ;0 ;0 ;
127 ;0:00.26 ;3233 ;0 ;2.9 ;0.0 ;0 ;0 ;
127 ;0:00.27 ;3216 ;0 ;2.9 ;0.0 ;0 ;0 ;
127 ;0:00.28 ;3191 ;0 ;2.9 ;0.0 ;0 ;0 ;
127 ;0:00.29 ;3194 ;0 ;2.9 ;0.0 ;0 ;0 ;
127 ;0:00.30 ;3183 ;0 ;2.9 ;0.0 ;0 ;0 ;
127 ;0:00.31 ;3190 ;0 ;2.9 ;0.0 ;0 ;0 ;
127 ;0:00.32 ;3216 ;0 ;2.9 ;0.0 ;0 ;0 ;
127 ;0:00.33 ;3222 ;0 ;3.6 ;0.0 ;0 ;0 ;
127 ;0:00.34 ;3255 ;0 ;3.6 ;0.0 ;0 ;0 ;
127 ;0:00.35 ;3252 ;0 ;3.6 ;0.0 ;0 ;0 ;
127 ;0:00.36 ;3246 ;0 ;3.6 ;0.0 ;0 ;0 ;
127 ;0:00.37 ;3223 ;0 ;3.6 ;0.0 ;0 ;0 ;
127 ;0:00.38 ;3201 ;0 ;3.6 ;0.0 ;0 ;0 ;
127 ;0:00.39 ;3200 ;0 ;3.6 ;0.0 ;0 ;0 ;
127 ;0:00.40 ;3216 ;0 ;3.6 ;0.0 ;0 ;0 ;
127 ;0:00.41 ;3232 ;0 ;3.6 ;0.0 ;0 ;0 ;
127 ;0:00.42 ;3187 ;0 ;3.6 ;0.0 ;0 ;0 ;
