SESSION; TIME;RPM;THROT;L U SP;L D SP;SLIP%;SHIF A;

129 ;0:00.01 ;3224 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.02 ;3230 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.03 ;3260 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.04 ;3281 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.05 ;3263 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.06 ;3264 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.07 ;3242 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.08 ;3246 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.09 ;3248 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.10 ;3269 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.11 ;3287 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.12 ;3273 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.13 ;3226 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.14 ;3225 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.15 ;3229 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.16 ;3247 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.17 ;3305 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.18 ;3309 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.19 ;3296 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.20 ;3252 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.21 ;3224 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.22 ;3217 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.23 ;3228 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.24 ;3244 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.25 ;3280 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.26 ;3288 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.27 ;3277 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.28 ;3205 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.29 ;3196 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.30 ;3208 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.31 ;3224 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.32 ;3262 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.33 ;3280 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.34 ;3275 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.35 ;3255 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.36 ;3247 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.37 ;3210 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.38 ;3200 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.39 ;3201 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.40 ;3227 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.41 ;3248 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.42 ;3210 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.43 ;3202 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.44 ;3189 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.45 ;3202 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.46 ;3228 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.47 ;3255 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.48 ;3259 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.49 ;3247 ;0 ;1.7 ;0.0 ;0 ;0 ;
129 ;0:00.50 ;3194 ;0 ;1.7 ;0.0 ;0 ;0 ;
