SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;SHIF A;INJ %;L/100K;

143 ;0:00.10 ;643 ;0 ;0.855 ;3.1 ;0.0 ;0.900 ;0 ;3.30 ;5.0 ;0 ;8 ;21.0;
143 ;0:00.20 ;643 ;0 ;0.854 ;3.8 ;0.0 ;0.900 ;0 ;3.30 ;5.0 ;0 ;8 ;19.5;
143 ;0:00.30 ;643 ;0 ;0.861 ;4.5 ;0.0 ;0.900 ;0 ;3.30 ;5.0 ;0 ;8 ;18.1;
143 ;0:00.40 ;643 ;0 ;0.881 ;4.4 ;0.0 ;0.900 ;0 ;3.30 ;5.0 ;0 ;8 ;25.0;
143 ;0:00.50 ;856 ;0 ;0.878 ;4.2 ;0.0 ;0.900 ;0 ;3.30 ;5.0 ;0 ;8 ;26.8;
143 ;0:00.60 ;1145 ;0 ;0.884 ;4.1 ;0.0 ;0.900 ;0 ;3.30 ;5.0 ;0 ;8 ;31.2;
143 ;0:00.70 ;1331 ;0 ;0.876 ;4.8 ;0.0 ;0.900 ;0 ;3.30 ;5.0 ;0 ;8 ;24.5;
143 ;0:00.80 ;1282 ;0 ;0.879 ;6.1 ;0.0 ;0.900 ;0 ;3.30 ;5.0 ;0 ;8 ;17.0;
143 ;0:00.90 ;1176 ;0 ;0.872 ;8.2 ;0.0 ;0.900 ;0 ;3.30 ;5.0 ;0 ;8 ;17.2;
143 ;0:01.00 ;1405 ;0 ;0.873 ;9.3 ;0.0 ;0.900 ;0 ;3.30 ;5.0 ;0 ;8 ;17.8;
143 ;0:01.10 ;1820 ;0 ;0.868 ;11.3 ;0.0 ;0.900 ;0 ;3.18 ;5.6 ;0 ;7 ;20.1;
143 ;0:01.20 ;2418 ;0 ;0.841 ;12.3 ;0.0 ;0.900 ;0 ;2.77 ;6.8 ;0 ;6 ;18.5;
143 ;0:01.30 ;2421 ;0 ;0.830 ;13.4 ;0.0 ;0.900 ;0 ;2.77 ;6.8 ;0 ;6 ;18.9;
143 ;0:01.40 ;2382 ;0 ;0.816 ;15.0 ;0.0 ;0.900 ;0 ;2.80 ;6.7 ;0 ;7 ;17.2;
143 ;0:01.50 ;2444 ;0 ;0.810 ;14.5 ;0.0 ;0.900 ;0 ;2.75 ;6.8 ;0 ;6 ;17.6;
143 ;0:01.60 ;2659 ;0 ;0.788 ;14.7 ;0.0 ;0.900 ;0 ;2.68 ;7.3 ;0 ;6 ;27.1;
