SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/100K;

147 ;0:00.10 ;2042 ;0 ;0.916 ;1.6 ;0.0 ;0.900 ;0 ;3.07 ;6.0 ;0 ;0 ;7 ;0.0;
147 ;0:00.20 ;1949 ;0 ;0.923 ;1.6 ;0.0 ;0.900 ;0 ;3.13 ;5.8 ;0 ;0 ;7 ;0.0;
147 ;0:00.30 ;2018 ;0 ;0.933 ;1.6 ;0.0 ;0.900 ;0 ;3.09 ;6.0 ;0 ;0 ;7 ;0.0;
147 ;0:00.40 ;1913 ;0 ;0.926 ;1.6 ;0.0 ;0.900 ;0 ;3.14 ;5.8 ;0 ;0 ;7 ;0.0;
147 ;0:00.50 ;1813 ;0 ;0.925 ;1.6 ;0.0 ;0.900 ;0 ;3.18 ;5.6 ;0 ;0 ;7 ;0.0;
147 ;0:00.60 ;1823 ;0 ;0.945 ;2.0 ;0.0 ;0.900 ;0 ;3.18 ;5.6 ;0 ;0 ;7 ;0.0;
147 ;0:00.70 ;1853 ;0 ;0.948 ;2.0 ;0.0 ;0.900 ;0 ;3.16 ;5.7 ;0 ;0 ;7 ;104.7;
147 ;0:00.80 ;1788 ;0 ;0.947 ;2.1 ;0.0 ;0.900 ;0 ;3.19 ;5.5 ;0 ;0 ;7 ;100.0;
147 ;0:00.90 ;1775 ;0 ;0.943 ;2.3 ;0.0 ;0.900 ;0 ;3.19 ;5.5 ;0 ;0 ;7 ;91.3;
147 ;0:01.00 ;1773 ;0 ;0.948 ;2.4 ;0.0 ;0.900 ;0 ;3.20 ;5.5 ;0 ;0 ;8 ;87.5;
147 ;0:01.10 ;1724 ;0 ;0.954 ;2.4 ;0.0 ;0.900 ;0 ;3.22 ;5.4 ;0 ;0 ;8 ;80.0;
147 ;0:01.20 ;1690 ;0 ;0.956 ;2.5 ;0.0 ;0.900 ;0 ;3.23 ;5.3 ;0 ;0 ;8 ;76.9;
147 ;0:01.30 ;1532 ;0 ;0.944 ;2.6 ;0.0 ;0.900 ;0 ;3.29 ;5.0 ;0 ;0 ;8 ;73.0;
