SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/100K;

148 ;0:00.10 ;2759 ;0 ;1.041 ;2.2 ;0.0 ;0.900 ;0 ;2.66 ;7.5 ;0 ;0 ;6 ;122.7;
148 ;0:00.20 ;2544 ;0 ;1.046 ;2.2 ;0.0 ;0.900 ;0 ;2.70 ;7.0 ;0 ;0 ;6 ;118.1;
148 ;0:00.30 ;2539 ;0 ;1.019 ;3.1 ;0.0 ;0.900 ;0 ;2.70 ;7.0 ;0 ;0 ;6 ;83.8;
148 ;0:00.40 ;2565 ;0 ;1.066 ;3.1 ;0.0 ;0.900 ;0 ;2.69 ;7.1 ;0 ;0 ;6 ;83.8;
148 ;0:00.50 ;2601 ;0 ;1.052 ;3.7 ;0.0 ;0.900 ;0 ;2.69 ;7.2 ;0 ;0 ;6 ;56.5;
148 ;0:00.60 ;2575 ;0 ;1.079 ;4.6 ;0.0 ;0.900 ;0 ;2.69 ;7.1 ;0 ;0 ;6 ;56.5;
148 ;0:00.70 ;2484 ;0 ;1.049 ;5.0 ;0.0 ;0.900 ;0 ;2.72 ;6.9 ;0 ;0 ;6 ;43.1;
148 ;0:00.80 ;2417 ;0 ;1.072 ;5.8 ;0.0 ;0.900 ;0 ;2.77 ;6.8 ;0 ;0 ;6 ;43.1;
148 ;0:00.90 ;2421 ;0 ;1.077 ;6.4 ;0.0 ;0.900 ;0 ;2.77 ;6.8 ;0 ;0 ;6 ;33.7;
148 ;0:01.00 ;2431 ;0 ;1.070 ;7.4 ;0.0 ;0.900 ;0 ;2.76 ;6.8 ;0 ;0 ;6 ;30.4;
148 ;0:01.10 ;2414 ;0 ;1.061 ;8.2 ;0.0 ;0.900 ;0 ;2.77 ;6.8 ;0 ;0 ;6 ;27.7;
148 ;0:01.20 ;2381 ;0 ;1.066 ;9.0 ;0.0 ;0.900 ;0 ;2.80 ;6.7 ;0 ;0 ;7 ;27.7;
148 ;0:01.30 ;2369 ;0 ;1.082 ;9.8 ;0.0 ;0.900 ;0 ;2.81 ;6.7 ;0 ;0 ;7 ;25.5;
148 ;0:01.40 ;2310 ;0 ;1.112 ;10.7 ;0.0 ;0.900 ;0 ;2.86 ;6.6 ;0 ;0 ;7 ;23.3;
148 ;0:01.50 ;2300 ;0 ;1.133 ;10.9 ;0.0 ;0.900 ;0 ;2.86 ;6.6 ;0 ;0 ;7 ;19.5;
148 ;0:01.60 ;2286 ;0 ;1.135 ;12.3 ;0.0 ;0.900 ;0 ;2.88 ;6.5 ;0 ;0 ;7 ;19.5;
