SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;SHIF A;

152 ;0:00.01 ;1676 ;0 ;0.937 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.02 ;1665 ;0 ;0.930 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.03 ;1665 ;0 ;0.935 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.04 ;1662 ;0 ;0.931 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.05 ;1662 ;0 ;0.931 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.06 ;1728 ;0 ;0.931 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.07 ;1728 ;0 ;0.928 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.08 ;1781 ;0 ;0.933 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.09 ;1781 ;0 ;0.927 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.10 ;1679 ;0 ;0.943 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.11 ;1650 ;0 ;0.940 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.12 ;1650 ;0 ;0.941 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.13 ;1574 ;0 ;0.939 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.14 ;1574 ;0 ;0.934 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.15 ;1541 ;0 ;0.940 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.16 ;1541 ;0 ;0.937 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.17 ;1625 ;0 ;0.942 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.18 ;1625 ;0 ;0.940 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.19 ;1642 ;0 ;0.945 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.20 ;1642 ;0 ;0.942 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.21 ;1680 ;0 ;0.946 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.22 ;1560 ;0 ;0.940 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.23 ;1560 ;0 ;0.943 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.24 ;1368 ;0 ;0.943 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.25 ;1368 ;0 ;0.942 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.26 ;1357 ;0 ;0.967 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.27 ;1357 ;0 ;0.966 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.28 ;1487 ;0 ;0.968 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.29 ;1487 ;0 ;0.966 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.30 ;1610 ;0 ;0.969 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.31 ;1610 ;0 ;0.966 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.32 ;1645 ;0 ;0.967 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.33 ;1645 ;0 ;0.966 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.34 ;1613 ;0 ;0.968 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.35 ;1613 ;0 ;0.977 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.36 ;1540 ;0 ;0.975 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.37 ;1540 ;0 ;0.976 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.38 ;1437 ;0 ;0.975 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.39 ;1437 ;0 ;0.975 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.40 ;1426 ;0 ;0.974 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.41 ;1426 ;0 ;0.976 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.42 ;1485 ;0 ;0.976 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.43 ;1485 ;0 ;0.962 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.44 ;1598 ;0 ;0.965 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.45 ;1598 ;0 ;0.961 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.46 ;1650 ;0 ;0.966 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.47 ;1650 ;0 ;0.959 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.48 ;1554 ;0 ;0.966 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.49 ;1554 ;0 ;0.953 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.50 ;1466 ;0 ;0.964 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.51 ;1466 ;0 ;0.951 ;2.6 ;0.0 ;0 ;0 ;
152 ;0:00.52 ;1445 ;0 ;0.960 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.53 ;1445 ;0 ;0.953 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.54 ;1455 ;0 ;0.959 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.55 ;1455 ;0 ;0.957 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.56 ;1523 ;0 ;0.959 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.57 ;1523 ;0 ;0.959 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.58 ;1590 ;0 ;0.959 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.59 ;1590 ;0 ;0.962 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.60 ;1656 ;0 ;0.968 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.61 ;1656 ;0 ;0.961 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.62 ;1648 ;0 ;0.969 ;2.5 ;0.0 ;0 ;0 ;
152 ;0:00.63 ;1648 ;0 ;0.959 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.64 ;1513 ;0 ;0.970 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.65 ;1403 ;0 ;0.963 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.66 ;1403 ;0 ;0.969 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.67 ;1445 ;0 ;0.960 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.68 ;1445 ;0 ;0.965 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.69 ;1445 ;0 ;0.959 ;2.4 ;0.0 ;0 ;0 ;
152 ;0:00.70 ;1522 ;0 ;0.964 ;2.4 ;0.0 ;0 ;0 ;
