SESSION; TIME;RPM;THROT;L U SP;L D SP;SLIP%;SHIF A;

165 ;0:00.01 ;2286 ;0 ;9.4 ;0.0 ;0 ;0 ;
165 ;0:00.02 ;2321 ;0 ;9.9 ;0.0 ;0 ;0 ;
165 ;0:00.03 ;2321 ;0 ;9.9 ;0.0 ;0 ;0 ;
165 ;0:00.04 ;2295 ;0 ;9.9 ;0.0 ;0 ;0 ;
165 ;0:00.05 ;2240 ;0 ;9.9 ;0.0 ;0 ;0 ;
165 ;0:00.06 ;2249 ;0 ;9.9 ;0.0 ;0 ;0 ;
165 ;0:00.07 ;2249 ;0 ;9.9 ;0.0 ;0 ;0 ;
165 ;0:00.08 ;2268 ;0 ;9.8 ;0.0 ;0 ;0 ;
165 ;0:00.09 ;2319 ;0 ;9.8 ;0.0 ;0 ;0 ;
165 ;0:00.10 ;2348 ;0 ;9.8 ;0.0 ;0 ;0 ;
165 ;0:00.11 ;2289 ;0 ;10.0 ;0.0 ;0 ;0 ;
165 ;0:00.12 ;2289 ;0 ;10.0 ;0.0 ;0 ;0 ;
165 ;0:00.13 ;2294 ;0 ;10.0 ;0.0 ;0 ;0 ;
165 ;0:00.14 ;2241 ;0 ;10.5 ;0.0 ;0 ;0 ;
165 ;0:00.15 ;2230 ;0 ;10.5 ;0.0 ;0 ;0 ;
165 ;0:00.16 ;2230 ;0 ;10.5 ;0.0 ;0 ;0 ;
165 ;0:00.17 ;2264 ;0 ;10.0 ;0.0 ;0 ;0 ;
165 ;0:00.18 ;2295 ;0 ;10.0 ;0.0 ;0 ;0 ;
165 ;0:00.19 ;2338 ;0 ;10.0 ;0.0 ;0 ;0 ;
165 ;0:00.20 ;2338 ;0 ;10.3 ;0.0 ;0 ;0 ;
165 ;0:00.21 ;2302 ;0 ;10.3 ;0.0 ;0 ;0 ;
165 ;0:00.22 ;2256 ;0 ;10.3 ;0.0 ;0 ;0 ;
165 ;0:00.23 ;2252 ;0 ;10.5 ;0.0 ;0 ;0 ;
165 ;0:00.24 ;2252 ;0 ;10.5 ;0.0 ;0 ;0 ;
165 ;0:00.25 ;2240 ;0 ;10.5 ;0.0 ;0 ;0 ;
165 ;0:00.26 ;2256 ;0 ;10.2 ;0.0 ;0 ;0 ;
165 ;0:00.27 ;2274 ;0 ;10.2 ;0.0 ;0 ;0 ;
165 ;0:00.28 ;2274 ;0 ;10.2 ;0.0 ;0 ;0 ;
165 ;0:00.29 ;2319 ;0 ;10.5 ;0.0 ;0 ;0 ;
165 ;0:00.30 ;2319 ;0 ;10.5 ;0.0 ;0 ;0 ;
165 ;0:00.31 ;2291 ;0 ;10.5 ;0.0 ;0 ;0 ;
165 ;0:00.32 ;2291 ;0 ;11.1 ;0.0 ;0 ;0 ;
165 ;0:00.33 ;2273 ;0 ;11.1 ;0.0 ;0 ;0 ;
165 ;0:00.34 ;2276 ;0 ;10.9 ;0.0 ;0 ;0 ;
165 ;0:00.35 ;2321 ;0 ;10.9 ;0.0 ;0 ;0 ;
165 ;0:00.36 ;2332 ;0 ;10.9 ;0.0 ;0 ;0 ;
165 ;0:00.37 ;2332 ;0 ;11.0 ;0.0 ;0 ;0 ;
165 ;0:00.38 ;2304 ;0 ;11.0 ;0.0 ;0 ;0 ;
165 ;0:00.39 ;2321 ;0 ;11.0 ;0.0 ;0 ;0 ;
165 ;0:00.40 ;2259 ;0 ;11.0 ;0.0 ;0 ;0 ;
165 ;0:00.41 ;2259 ;0 ;11.0 ;0.0 ;0 ;0 ;
165 ;0:00.42 ;2235 ;0 ;11.1 ;0.0 ;0 ;0 ;
165 ;0:00.43 ;2276 ;0 ;11.1 ;0.0 ;0 ;0 ;
165 ;0:00.44 ;2337 ;0 ;11.1 ;0.0 ;0 ;0 ;
165 ;0:00.45 ;2337 ;0 ;11.3 ;0.0 ;0 ;0 ;
165 ;0:00.46 ;2350 ;0 ;11.3 ;0.0 ;0 ;0 ;
165 ;0:00.47 ;2313 ;0 ;11.3 ;0.0 ;0 ;0 ;
165 ;0:00.48 ;2231 ;0 ;11.4 ;0.0 ;0 ;0 ;
165 ;0:00.49 ;2201 ;0 ;11.4 ;0.0 ;0 ;0 ;
165 ;0:00.50 ;2201 ;0 ;11.1 ;0.0 ;0 ;0 ;
165 ;0:00.51 ;2245 ;0 ;11.1 ;0.0 ;0 ;0 ;
165 ;0:00.52 ;2285 ;0 ;11.1 ;0.0 ;0 ;0 ;
165 ;0:00.53 ;2314 ;0 ;12.1 ;0.0 ;0 ;0 ;
165 ;0:00.54 ;2314 ;0 ;12.1 ;0.0 ;0 ;0 ;
165 ;0:00.55 ;2345 ;0 ;11.2 ;0.0 ;0 ;0 ;
165 ;0:00.56 ;2294 ;0 ;11.2 ;0.0 ;0 ;0 ;
165 ;0:00.57 ;2246 ;0 ;11.2 ;0.0 ;0 ;0 ;
165 ;0:00.58 ;2246 ;0 ;12.1 ;0.0 ;0 ;0 ;
165 ;0:00.59 ;2234 ;0 ;12.1 ;0.0 ;0 ;0 ;
165 ;0:00.60 ;2267 ;0 ;12.0 ;0.0 ;0 ;0 ;
165 ;0:00.61 ;2294 ;0 ;12.0 ;0.0 ;0 ;0 ;
165 ;0:00.62 ;2294 ;0 ;12.0 ;0.0 ;0 ;0 ;
165 ;0:00.63 ;2277 ;0 ;11.6 ;0.0 ;0 ;0 ;
165 ;0:00.64 ;2254 ;0 ;11.6 ;0.0 ;0 ;0 ;
165 ;0:00.65 ;2251 ;0 ;12.1 ;0.0 ;0 ;0 ;
165 ;0:00.66 ;2251 ;0 ;12.1 ;0.0 ;0 ;0 ;
165 ;0:00.67 ;2259 ;0 ;12.1 ;0.0 ;0 ;0 ;
165 ;0:00.68 ;2290 ;0 ;12.5 ;0.0 ;0 ;0 ;
