SESSION; TIME;RPM;THROT;L U SP;L D SP;SLIP%;SHIF A;

162 ;0:00.01 ;2281 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.02 ;2225 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.03 ;2234 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.04 ;2280 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.05 ;2280 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.06 ;2318 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.07 ;2333 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.08 ;2281 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.09 ;2281 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.10 ;2238 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.11 ;2277 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.12 ;2280 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.13 ;2280 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.14 ;2309 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.15 ;2308 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.16 ;2288 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.17 ;2288 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.18 ;2295 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.19 ;2260 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.20 ;2240 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.21 ;2240 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.22 ;2278 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.23 ;2282 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.24 ;2287 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.25 ;2287 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.26 ;2335 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.27 ;2349 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.28 ;2358 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.29 ;2313 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.30 ;2313 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.31 ;2250 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.32 ;2260 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.33 ;2259 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.34 ;2259 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.35 ;2310 ;0 ;1.3 ;0.0 ;0 ;0 ;
162 ;0:00.36 ;2332 ;0 ;1.3 ;0.0 ;0 ;0 ;
