SESSION; TIME;RPM;THROT;ANA1;L U SP;L D SP;SHIF A;

316 ;0:00.01 ;1449 ;0 ;14 ;1.9 ;0.0 ;0 ;
316 ;0:00.02 ;1446 ;0 ;9 ;1.9 ;0.0 ;0 ;
316 ;0:00.03 ;1446 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.04 ;1541 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.05 ;1541 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.06 ;1408 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.07 ;1408 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.08 ;1336 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.09 ;1336 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.10 ;1415 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.11 ;1415 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.12 ;1319 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.13 ;1319 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.14 ;1318 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.15 ;1318 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.16 ;1318 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.17 ;1314 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.18 ;1314 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.19 ;1345 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.20 ;1345 ;0 ;0 ;1.9 ;0.0 ;0 ;
316 ;0:00.21 ;1389 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.22 ;1389 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.23 ;1283 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.24 ;1283 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.25 ;1283 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.26 ;1311 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.27 ;1311 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.28 ;1380 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.29 ;1380 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.30 ;1394 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.31 ;1394 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.32 ;1428 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.33 ;1428 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.34 ;1371 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.35 ;1371 ;0 ;0 ;2.5 ;0.0 ;0 ;
316 ;0:00.36 ;1371 ;0 ;0 ;3.1 ;0.0 ;0 ;
316 ;0:00.37 ;1366 ;0 ;0 ;3.1 ;0.0 ;0 ;
316 ;0:00.38 ;1366 ;0 ;0 ;3.1 ;0.0 ;0 ;
316 ;0:00.39 ;1470 ;0 ;0 ;3.1 ;0.0 ;0 ;
316 ;0:00.40 ;1470 ;0 ;0 ;3.1 ;0.0 ;0 ;
316 ;0:00.41 ;1479 ;0 ;0 ;3.1 ;0.0 ;0 ;
316 ;0:00.42 ;1479 ;0 ;0 ;3.1 ;0.0 ;0 ;
316 ;0:00.43 ;1541 ;0 ;0 ;3.1 ;0.0 ;0 ;
316 ;0:00.44 ;1541 ;0 ;0 ;3.1 ;0.0 ;0 ;
316 ;0:00.45 ;1573 ;0 ;0 ;3.1 ;0.0 ;0 ;
316 ;0:00.46 ;1573 ;0 ;0 ;3.1 ;0.0 ;0 ;
316 ;0:00.47 ;1466 ;0 ;0 ;3.1 ;0.0 ;0 ;
316 ;0:00.48 ;1466 ;0 ;0 ;3.7 ;0.0 ;0 ;
316 ;0:00.49 ;1421 ;0 ;0 ;3.7 ;0.0 ;0 ;
316 ;0:00.50 ;1421 ;0 ;0 ;3.7 ;0.0 ;0 ;
316 ;0:00.51 ;1406 ;0 ;0 ;3.7 ;0.0 ;0 ;
316 ;0:00.52 ;1406 ;0 ;0 ;3.7 ;0.0 ;0 ;
316 ;0:00.53 ;1462 ;0 ;0 ;3.7 ;0.0 ;0 ;
316 ;0:00.54 ;1462 ;0 ;0 ;3.7 ;0.0 ;0 ;
316 ;0:00.55 ;1575 ;0 ;0 ;3.7 ;0.0 ;0 ;
316 ;0:00.56 ;1575 ;0 ;0 ;3.7 ;0.0 ;0 ;
316 ;0:00.57 ;1463 ;0 ;0 ;4.1 ;0.0 ;0 ;
316 ;0:00.58 ;1463 ;0 ;0 ;4.1 ;0.0 ;0 ;
316 ;0:00.59 ;1380 ;0 ;0 ;4.1 ;0.0 ;0 ;
316 ;0:00.60 ;1380 ;0 ;0 ;4.1 ;0.0 ;0 ;
316 ;0:00.61 ;1473 ;0 ;0 ;4.1 ;0.0 ;0 ;
316 ;0:00.62 ;1473 ;0 ;0 ;4.1 ;0.0 ;0 ;
316 ;0:00.63 ;1472 ;0 ;0 ;4.1 ;0.0 ;0 ;
316 ;0:00.64 ;1472 ;0 ;0 ;4.1 ;0.0 ;0 ;
316 ;0:00.65 ;1517 ;0 ;0 ;4.4 ;0.0 ;0 ;
