SESSION; TIME;RPM;THROT;ANA1;L U SP;L D SP;SHIF A;

317 ;0:00.01 ;1449 ;0 ;34 ;1.4 ;0.0 ;0 ;
317 ;0:00.02 ;1449 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.03 ;1446 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.04 ;1446 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.05 ;1457 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.06 ;1457 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.07 ;1401 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.08 ;1401 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.09 ;1347 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.10 ;1347 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.11 ;1430 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.12 ;1430 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.13 ;1498 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.14 ;1498 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.15 ;1531 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.16 ;1531 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.17 ;1556 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.18 ;1556 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.19 ;1430 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.20 ;1430 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.21 ;1374 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.22 ;1374 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.23 ;1378 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.24 ;1378 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.25 ;1378 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.26 ;1462 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.27 ;1462 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.28 ;1562 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.29 ;1562 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.30 ;1530 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.31 ;1530 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.32 ;1507 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.33 ;1507 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.34 ;1456 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.35 ;1456 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.36 ;1420 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.37 ;1420 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.38 ;1496 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.39 ;1496 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.40 ;1524 ;0 ;0 ;1.4 ;0.0 ;0 ;
317 ;0:00.41 ;1524 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.42 ;1592 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.43 ;1592 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.44 ;1606 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.45 ;1606 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.46 ;1511 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.47 ;1511 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.48 ;1471 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.49 ;1471 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.50 ;1496 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.51 ;1496 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.52 ;1537 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.53 ;1537 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.54 ;1630 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.55 ;1630 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.56 ;1541 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.57 ;1450 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.58 ;1450 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.59 ;1532 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.60 ;1532 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.61 ;1504 ;0 ;0 ;2.0 ;0.0 ;0 ;
317 ;0:00.62 ;1504 ;0 ;0 ;2.6 ;0.0 ;0 ;
317 ;0:00.63 ;1538 ;0 ;0 ;2.6 ;0.0 ;0 ;
317 ;0:00.64 ;1538 ;0 ;0 ;2.6 ;0.0 ;0 ;
317 ;0:00.65 ;1576 ;0 ;0 ;2.6 ;0.0 ;0 ;
317 ;0:00.66 ;1576 ;0 ;0 ;2.6 ;0.0 ;0 ;
