SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;SHIF A;INJ %;L/Hr;L/100K;

318 ;0:00.10 ;492 ;0 ;76;9;95;0.791 ;2.5 ;0.0 ;0.850 ;0 ;3.40 ;15.0 ;0 ;8 ;0.6;24.0;
318 ;0:00.20 ;492 ;0 ;76;9;95;0.795 ;2.5 ;0.0 ;0.850 ;0 ;3.40 ;10.7 ;0 ;8 ;0.6;24.0;
318 ;0:00.30 ;492 ;0 ;76;9;95;0.796 ;2.5 ;0.0 ;0.850 ;0 ;3.40 ;7.0 ;0 ;8 ;0.6;24.0;
318 ;0:00.40 ;754 ;0 ;76;9;92;0.791 ;2.5 ;0.0 ;0.850 ;0 ;3.40 ;7.0 ;0 ;8 ;1.0;40.0;
318 ;0:00.50 ;895 ;0 ;76;9;87;0.790 ;2.5 ;0.0 ;0.850 ;0 ;3.40 ;7.0 ;0 ;8 ;1.5;50.0;
318 ;0:00.60 ;1365 ;0 ;76;9;79;0.779 ;3.0 ;0.0 ;0.850 ;0 ;3.40 ;7.0 ;0 ;8 ;2.4;80.0;
318 ;0:00.70 ;2244 ;0 ;76;9;73;0.765 ;3.4 ;0.0 ;0.850 ;0 ;3.21 ;7.0 ;0 ;8 ;3.2;94.1;
318 ;0:00.80 ;3051 ;0 ;76;9;69;0.751 ;3.4 ;0.0 ;0.850 ;0 ;2.98 ;10.0 ;0 ;8 ;4.1;124.2;
318 ;0:00.90 ;3861 ;1 ;76;9;68;0.728 ;3.3 ;0.0 ;0.850 ;0 ;3.11 ;13.3 ;0 ;10 ;6.0;187.5;
318 ;0:01.00 ;4247 ;5 ;76;9;70;0.730 ;3.2 ;0.0 ;0.850 ;0 ;3.92 ;24.7 ;0 ;14 ;6.9;230.0;
318 ;0:01.10 ;4469 ;8 ;76;9;71;0.721 ;3.0 ;0.0 ;0.850 ;0 ;4.36 ;29.6 ;0 ;16 ;7.1;262.9;
318 ;0:01.20 ;4441 ;10 ;76;9;72;0.767 ;2.7 ;0.0 ;0.850 ;0 ;4.36 ;31.3 ;0 ;16 ;7.1;273.0;
318 ;0:01.30 ;4266 ;11 ;76;9;73;0.749 ;2.6 ;0.0 ;0.850 ;0 ;4.36 ;30.5 ;0 ;15 ;7.0;280.0;
318 ;0:01.40 ;4236 ;11 ;76;9;73;0.768 ;2.5 ;0.0 ;0.850 ;0 ;4.36 ;30.2 ;0 ;15 ;7.7;320.8;
318 ;0:01.50 ;4694 ;12 ;76;9;72;0.742 ;2.4 ;0.0 ;0.850 ;0 ;4.38 ;35.7 ;0 ;17 ;8.1;368.1;
318 ;0:01.60 ;4805 ;12 ;76;9;72;0.739 ;2.2 ;0.0 ;0.850 ;0 ;4.39 ;36.8 ;0 ;17 ;8.2;390.4;
318 ;0:01.70 ;4952 ;12 ;76;9;71;0.755 ;2.1 ;0.0 ;0.850 ;0 ;4.39 ;38.2 ;0 ;18 ;8.2;390.4;
318 ;0:01.80 ;5032 ;12 ;76;9;71;0.743 ;2.1 ;0.0 ;0.850 ;0 ;4.39 ;39.2 ;0 ;18 ;8.4;0.0;
318 ;0:01.90 ;5152 ;12 ;76;9;70;0.742 ;1.9 ;0.0 ;0.850 ;0 ;4.35 ;41.2 ;0 ;18 ;8.5;0.0;
318 ;0:02.00 ;5233 ;12 ;76;9;69;0.716 ;1.6 ;0.0 ;0.850 ;0 ;4.33 ;42.5 ;0 ;19 ;8.7;0.0;
318 ;0:02.10 ;5311 ;12 ;76;9;69;0.740 ;1.5 ;0.0 ;0.850 ;0 ;4.30 ;43.8 ;0 ;19 ;8.7;0.0;
318 ;0:02.20 ;5377 ;12 ;76;9;68;0.734 ;1.5 ;0.0 ;0.850 ;0 ;4.28 ;45.0 ;0 ;19 ;8.7;0.0;
318 ;0:02.30 ;5415 ;12 ;76;9;68;0.736 ;1.2 ;0.0 ;0.850 ;0 ;4.27 ;45.6 ;0 ;19 ;8.8;0.0;
