SESSION; TIME;RPM;THROT;L U SP;L D SP;TRAC %;SLIP%;

319 ;0:00.01 ;1619 ;0 ;2.0 ;7.8 ;0 ;290 ;
319 ;0:00.02 ;1584 ;0 ;2.0 ;7.7 ;0 ;285 ;
319 ;0:00.03 ;1584 ;0 ;2.0 ;7.7 ;0 ;285 ;
319 ;0:00.04 ;1509 ;0 ;2.0 ;7.3 ;0 ;265 ;
319 ;0:00.05 ;1509 ;0 ;2.0 ;7.3 ;0 ;265 ;
319 ;0:00.06 ;1350 ;0 ;2.0 ;6.5 ;0 ;225 ;
319 ;0:00.07 ;1350 ;0 ;2.0 ;6.5 ;0 ;225 ;
319 ;0:00.08 ;1327 ;0 ;2.0 ;6.4 ;0 ;220 ;
319 ;0:00.09 ;1327 ;0 ;2.0 ;6.4 ;0 ;220 ;
319 ;0:00.10 ;1434 ;0 ;2.0 ;6.9 ;0 ;245 ;
319 ;0:00.11 ;1434 ;0 ;2.0 ;6.9 ;0 ;245 ;
319 ;0:00.12 ;1543 ;0 ;2.0 ;7.5 ;0 ;275 ;
319 ;0:00.13 ;1543 ;0 ;2.0 ;7.5 ;0 ;275 ;
319 ;0:00.14 ;1621 ;0 ;2.0 ;7.8 ;0 ;290 ;
319 ;0:00.15 ;1621 ;0 ;2.0 ;7.8 ;0 ;290 ;
319 ;0:00.16 ;1590 ;0 ;2.0 ;7.7 ;0 ;285 ;
319 ;0:00.17 ;1590 ;0 ;2.0 ;7.7 ;0 ;285 ;
319 ;0:00.18 ;1422 ;0 ;2.0 ;6.9 ;0 ;245 ;
319 ;0:00.19 ;1422 ;0 ;2.0 ;6.9 ;0 ;245 ;
319 ;0:00.20 ;1289 ;0 ;2.0 ;6.2 ;0 ;210 ;
319 ;0:00.21 ;1289 ;0 ;2.0 ;6.2 ;0 ;210 ;
319 ;0:00.22 ;1308 ;0 ;2.0 ;6.3 ;0 ;215 ;
319 ;0:00.23 ;1308 ;0 ;2.0 ;6.3 ;0 ;215 ;
319 ;0:00.24 ;1308 ;0 ;2.0 ;6.3 ;0 ;215 ;
319 ;0:00.25 ;1401 ;0 ;2.0 ;6.8 ;0 ;240 ;
319 ;0:00.26 ;1401 ;0 ;2.0 ;6.8 ;0 ;240 ;
319 ;0:00.27 ;1498 ;0 ;2.0 ;7.2 ;0 ;260 ;
319 ;0:00.28 ;1498 ;0 ;2.0 ;7.2 ;0 ;260 ;
319 ;0:00.29 ;1526 ;0 ;2.0 ;7.4 ;0 ;270 ;
319 ;0:00.30 ;1526 ;0 ;2.0 ;7.4 ;0 ;270 ;
319 ;0:00.31 ;1534 ;0 ;2.0 ;7.4 ;0 ;270 ;
319 ;0:00.32 ;1534 ;0 ;2.0 ;7.4 ;0 ;270 ;
319 ;0:00.33 ;1479 ;0 ;2.0 ;7.1 ;0 ;255 ;
319 ;0:00.34 ;1479 ;0 ;2.0 ;7.1 ;0 ;255 ;
319 ;0:00.35 ;1358 ;0 ;2.0 ;6.6 ;0 ;230 ;
319 ;0:00.36 ;1358 ;0 ;2.0 ;6.6 ;0 ;230 ;
319 ;0:00.37 ;1405 ;0 ;2.0 ;6.8 ;0 ;240 ;
319 ;0:00.38 ;1405 ;0 ;2.0 ;6.8 ;0 ;240 ;
319 ;0:00.39 ;1454 ;0 ;2.0 ;7.0 ;0 ;250 ;
319 ;0:00.40 ;1454 ;0 ;2.0 ;7.0 ;0 ;250 ;
319 ;0:00.41 ;1547 ;0 ;2.0 ;7.5 ;0 ;275 ;
319 ;0:00.42 ;1547 ;0 ;2.0 ;7.5 ;0 ;275 ;
319 ;0:00.43 ;1563 ;0 ;2.0 ;7.5 ;0 ;275 ;
319 ;0:00.44 ;1563 ;0 ;2.0 ;7.5 ;0 ;275 ;
319 ;0:00.45 ;1450 ;0 ;2.0 ;7.0 ;0 ;250 ;
319 ;0:00.46 ;1450 ;0 ;2.0 ;7.0 ;0 ;250 ;
319 ;0:00.47 ;1481 ;0 ;2.0 ;7.2 ;0 ;260 ;
319 ;0:00.48 ;1481 ;0 ;2.6 ;7.2 ;0 ;176 ;
319 ;0:00.49 ;1398 ;0 ;2.6 ;6.7 ;0 ;157 ;
319 ;0:00.50 ;1398 ;0 ;2.6 ;6.7 ;0 ;157 ;
319 ;0:00.51 ;1368 ;0 ;2.6 ;6.6 ;0 ;153 ;
319 ;0:00.52 ;1368 ;0 ;2.6 ;6.6 ;0 ;153 ;
319 ;0:00.53 ;1471 ;0 ;2.6 ;7.1 ;0 ;173 ;
319 ;0:00.54 ;1471 ;0 ;2.6 ;7.1 ;0 ;173 ;
319 ;0:00.55 ;1471 ;0 ;2.6 ;7.1 ;0 ;173 ;
319 ;0:00.56 ;1411 ;0 ;2.6 ;6.8 ;0 ;161 ;
319 ;0:00.57 ;1411 ;0 ;2.6 ;6.8 ;0 ;161 ;
319 ;0:00.58 ;1444 ;0 ;2.6 ;7.0 ;0 ;169 ;
319 ;0:00.59 ;1444 ;0 ;2.6 ;7.0 ;0 ;169 ;
319 ;0:00.60 ;1441 ;0 ;2.6 ;7.0 ;0 ;169 ;
319 ;0:00.61 ;1441 ;0 ;2.6 ;7.0 ;0 ;169 ;
319 ;0:00.62 ;1356 ;0 ;3.2 ;6.5 ;0 ;103 ;
319 ;0:00.63 ;1356 ;0 ;3.2 ;6.5 ;0 ;103 ;
319 ;0:00.64 ;1386 ;0 ;3.2 ;6.7 ;0 ;109 ;
