SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TAR LB;TRAC %;SLIP%;INJ;ADV;GEAR;

451 ;0:00.10 ;942 ;0 ;83;11;96;1.032 ;3.7 ;4.5 ;0.850 ;0 ;21 ;3.37 ;17.3 ;1 ;
451 ;0:00.20 ;942 ;0 ;83;11;96;1.036 ;3.7 ;4.5 ;0.850 ;0 ;21 ;3.37 ;16.1 ;1 ;
451 ;0:00.30 ;942 ;0 ;83;11;96;1.034 ;3.7 ;4.5 ;0.850 ;0 ;21 ;3.37 ;14.9 ;1 ;
451 ;0:00.40 ;942 ;0 ;83;11;96;1.039 ;3.7 ;4.5 ;0.850 ;0 ;21 ;3.37 ;13.7 ;1 ;
451 ;0:00.50 ;942 ;0 ;83;11;96;1.035 ;3.7 ;4.5 ;0.850 ;0 ;21 ;3.37 ;12.5 ;1 ;
451 ;0:00.60 ;942 ;0 ;83;11;96;1.024 ;4.2 ;4.5 ;0.850 ;0 ;7 ;3.37 ;11.3 ;1 ;
451 ;0:00.70 ;978 ;0 ;83;11;94;1.023 ;4.3 ;4.7 ;0.850 ;0 ;9 ;3.37 ;10.1 ;1 ;
451 ;0:00.80 ;986 ;0 ;83;11;94;1.029 ;4.9 ;4.7 ;0.850 ;0 ;-4 ;3.37 ;9.0 ;1 ;
451 ;0:00.90 ;995 ;0 ;83;11;93;1.037 ;4.8 ;4.8 ;0.850 ;0 ;0 ;3.37 ;7.9 ;1 ;
451 ;0:01.00 ;826 ;0 ;83;11;93;1.018 ;5.5 ;4.0 ;0.850 ;0 ;-27 ;3.37 ;7.0 ;1 ;
451 ;0:01.10 ;1163 ;0 ;83;11;93;1.066 ;5.4 ;5.6 ;0.850 ;0 ;3 ;3.37 ;7.0 ;1 ;
451 ;0:01.20 ;962 ;0 ;83;11;92;1.045 ;6.0 ;4.6 ;0.850 ;0 ;-23 ;3.37 ;7.0 ;1 ;
451 ;0:01.30 ;1157 ;0 ;83;11;92;1.053 ;5.8 ;5.6 ;0.850 ;0 ;-3 ;3.37 ;7.0 ;1 ;
451 ;0:01.40 ;1130 ;0 ;83;11;92;1.051 ;6.1 ;5.4 ;0.850 ;0 ;-11 ;3.37 ;7.0 ;1 ;
451 ;0:01.50 ;1158 ;0 ;83;11;92;1.044 ;6.4 ;5.6 ;0.850 ;0 ;-12 ;3.37 ;7.0 ;1 ;
451 ;0:01.60 ;1192 ;0 ;84;11;92;1.027 ;6.1 ;5.7 ;0.850 ;0 ;-6 ;3.37 ;7.0 ;1 ;
451 ;0:01.70 ;1124 ;0 ;84;11;92;0.999 ;5.8 ;5.4 ;0.850 ;0 ;-6 ;3.37 ;7.0 ;1 ;
451 ;0:01.80 ;1192 ;0 ;84;11;92;0.992 ;5.7 ;5.7 ;0.850 ;0 ;0 ;3.37 ;7.0 ;1 ;
451 ;0:01.90 ;1072 ;0 ;84;11;93;0.982 ;6.0 ;5.2 ;0.850 ;0 ;-13 ;3.37 ;7.0 ;1 ;
451 ;0:02.00 ;1262 ;0 ;84;11;92;0.959 ;6.1 ;6.1 ;0.850 ;0 ;0 ;3.37 ;7.0 ;1 ;
451 ;0:02.10 ;1084 ;0 ;84;11;92;0.948 ;6.1 ;5.2 ;0.850 ;0 ;-14 ;3.37 ;7.0 ;1 ;
451 ;0:02.20 ;1213 ;0 ;84;11;92;0.932 ;5.6 ;5.8 ;0.850 ;0 ;3 ;3.37 ;7.0 ;1 ;
451 ;0:02.30 ;1171 ;0 ;84;11;92;0.931 ;5.7 ;5.6 ;0.850 ;0 ;-1 ;3.37 ;7.0 ;1 ;
451 ;0:02.40 ;1285 ;0 ;84;11;92;0.920 ;6.2 ;6.2 ;0.850 ;0 ;0 ;3.37 ;7.0 ;1 ;
451 ;0:02.50 ;1070 ;0 ;84;11;92;0.910 ;6.4 ;5.2 ;0.850 ;0 ;-18 ;3.37 ;7.0 ;1 ;
451 ;0:02.60 ;1255 ;0 ;84;11;92;0.902 ;5.7 ;6.1 ;0.850 ;0 ;7 ;3.37 ;7.0 ;1 ;
451 ;0:02.70 ;1236 ;0 ;84;11;91;0.890 ;5.6 ;6.0 ;0.850 ;0 ;7 ;3.37 ;7.0 ;1 ;
451 ;0:02.80 ;1319 ;0 ;84;11;92;0.897 ;6.3 ;6.4 ;0.850 ;0 ;1 ;3.37 ;7.0 ;1 ;
451 ;0:02.90 ;1343 ;0 ;84;11;92;0.852 ;6.9 ;6.5 ;0.850 ;0 ;-5 ;3.37 ;7.0 ;1 ;
451 ;0:03.00 ;1172 ;0 ;84;11;91;0.863 ;6.7 ;5.6 ;0.850 ;0 ;-16 ;3.37 ;7.0 ;1 ;
451 ;0:03.10 ;1589 ;0 ;84;11;90;0.864 ;6.7 ;7.7 ;0.850 ;0 ;14 ;3.36 ;7.0 ;1 ;
451 ;0:03.20 ;1632 ;0 ;84;11;89;0.837 ;7.1 ;7.9 ;0.850 ;0 ;11 ;3.35 ;7.0 ;1 ;
451 ;0:03.30 ;1717 ;0 ;84;11;89;0.850 ;7.6 ;8.3 ;0.850 ;0 ;9 ;3.34 ;7.0 ;1 ;
451 ;0:03.40 ;1751 ;0 ;84;11;89;0.835 ;8.9 ;8.5 ;0.850 ;0 ;-4 ;3.33 ;7.0 ;1 ;
451 ;0:03.50 ;1915 ;0 ;84;11;88;0.843 ;8.6 ;9.3 ;0.850 ;0 ;8 ;3.31 ;7.0 ;1 ;
451 ;0:03.60 ;1870 ;0 ;84;11;86;0.827 ;9.3 ;9.0 ;0.850 ;0 ;-3 ;3.32 ;7.0 ;1 ;
451 ;0:03.70 ;1917 ;0 ;84;11;85;0.828 ;10.4 ;9.3 ;0.850 ;0 ;-10 ;3.31 ;7.0 ;1 ;
451 ;0:03.80 ;2081 ;0 ;84;11;82;0.834 ;10.5 ;10.1 ;0.850 ;0 ;-3 ;3.26 ;7.0 ;1 ;
451 ;0:03.90 ;2286 ;0 ;84;11;80;0.846 ;11.5 ;11.1 ;0.850 ;0 ;-3 ;3.16 ;7.0 ;1 ;
451 ;0:04.00 ;2471 ;0 ;84;11;78;0.873 ;12.1 ;12.0 ;0.850 ;0 ;0 ;3.08 ;7.0 ;1 ;
