SESSION; TIME;RPM;THROT;L U SP;L D SP;TAR LB;TRAC %;SLIP%;

439 ;0:00.01 ;2792 ;0 ;2.6 ;13.5 ;0.850 ;0 ;419 ;
439 ;0:00.02 ;2786 ;0 ;2.6 ;13.5 ;0.850 ;0 ;419 ;
439 ;0:00.03 ;2786 ;0 ;2.6 ;13.3 ;0.850 ;0 ;411 ;
439 ;0:00.04 ;2745 ;0 ;3.9 ;13.3 ;0.850 ;0 ;241 ;
439 ;0:00.05 ;2744 ;0 ;3.9 ;13.3 ;0.850 ;0 ;241 ;
439 ;0:00.06 ;2775 ;0 ;3.9 ;13.4 ;0.850 ;0 ;243 ;
439 ;0:00.07 ;2796 ;0 ;3.9 ;13.5 ;0.850 ;0 ;246 ;
439 ;0:00.08 ;2819 ;0 ;3.9 ;13.7 ;0.850 ;0 ;251 ;
439 ;0:00.09 ;2792 ;0 ;3.9 ;13.5 ;0.850 ;0 ;246 ;
439 ;0:00.10 ;2812 ;0 ;3.9 ;13.6 ;0.850 ;0 ;248 ;
439 ;0:00.11 ;2789 ;0 ;3.9 ;13.5 ;0.850 ;0 ;246 ;
439 ;0:00.12 ;2724 ;0 ;3.9 ;13.2 ;0.850 ;0 ;238 ;
439 ;0:00.13 ;2727 ;0 ;3.9 ;13.2 ;0.850 ;0 ;238 ;
439 ;0:00.14 ;2779 ;0 ;3.9 ;13.5 ;0.850 ;0 ;246 ;
439 ;0:00.15 ;2796 ;0 ;4.6 ;13.5 ;0.850 ;0 ;193 ;
439 ;0:00.16 ;2828 ;0 ;4.6 ;13.7 ;0.850 ;0 ;197 ;
439 ;0:00.17 ;2828 ;0 ;4.6 ;13.7 ;0.850 ;0 ;197 ;
439 ;0:00.18 ;2779 ;0 ;4.6 ;13.5 ;0.850 ;0 ;193 ;
439 ;0:00.19 ;2787 ;0 ;4.6 ;13.5 ;0.850 ;0 ;193 ;
439 ;0:00.20 ;2767 ;0 ;4.6 ;13.4 ;0.850 ;0 ;191 ;
439 ;0:00.21 ;2688 ;0 ;4.6 ;13.0 ;0.850 ;0 ;182 ;
439 ;0:00.22 ;2680 ;0 ;5.5 ;13.0 ;0.850 ;0 ;136 ;
439 ;0:00.23 ;2708 ;0 ;5.5 ;13.1 ;0.850 ;0 ;138 ;
439 ;0:00.24 ;2732 ;0 ;5.5 ;13.2 ;0.850 ;0 ;140 ;
439 ;0:00.25 ;2776 ;0 ;5.5 ;13.4 ;0.850 ;0 ;143 ;
439 ;0:00.26 ;2751 ;0 ;5.5 ;13.3 ;0.850 ;0 ;141 ;
439 ;0:00.27 ;2767 ;0 ;5.5 ;13.4 ;0.850 ;0 ;143 ;
439 ;0:00.28 ;2732 ;0 ;5.5 ;13.2 ;0.850 ;0 ;140 ;
439 ;0:00.29 ;2732 ;0 ;6.3 ;13.0 ;0.850 ;0 ;106 ;
439 ;0:00.30 ;2689 ;0 ;6.3 ;13.0 ;0.850 ;0 ;106 ;
439 ;0:00.31 ;2711 ;0 ;6.3 ;13.1 ;0.850 ;0 ;107 ;
439 ;0:00.32 ;2754 ;0 ;6.3 ;13.3 ;0.850 ;0 ;111 ;
439 ;0:00.33 ;2775 ;0 ;6.3 ;13.4 ;0.850 ;0 ;112 ;
439 ;0:00.34 ;2797 ;0 ;6.4 ;13.5 ;0.850 ;0 ;110 ;
439 ;0:00.35 ;2768 ;0 ;6.4 ;13.4 ;0.850 ;0 ;109 ;
439 ;0:00.36 ;2789 ;0 ;6.4 ;13.5 ;0.850 ;0 ;110 ;
