SESSION; TIME;RPM;THROT;L U SP;L D SP;TAR LB;TRAC %;SLIP%;

443 ;0:00.01 ;3543 ;0 ;1.2 ;17.1 ;0.850 ;0 ;1325 ;
443 ;0:00.02 ;3538 ;0 ;1.2 ;17.2 ;0.850 ;0 ;1333 ;
443 ;0:00.03 ;3535 ;0 ;1.2 ;17.1 ;0.850 ;0 ;1325 ;
443 ;0:00.04 ;3550 ;0 ;1.2 ;17.2 ;0.850 ;0 ;1333 ;
443 ;0:00.05 ;3558 ;0 ;1.2 ;17.2 ;0.850 ;0 ;1333 ;
443 ;0:00.06 ;3562 ;0 ;1.2 ;17.3 ;0.850 ;0 ;1341 ;
443 ;0:00.07 ;3570 ;0 ;1.2 ;17.3 ;0.850 ;0 ;1341 ;
443 ;0:00.08 ;3570 ;0 ;1.2 ;17.3 ;0.850 ;0 ;1341 ;
443 ;0:00.09 ;3585 ;0 ;1.2 ;17.4 ;0.850 ;0 ;1350 ;
443 ;0:00.10 ;3589 ;0 ;1.2 ;17.4 ;0.850 ;0 ;1350 ;
443 ;0:00.11 ;3605 ;0 ;1.5 ;17.5 ;0.850 ;0 ;1066 ;
443 ;0:00.12 ;3548 ;0 ;1.5 ;17.2 ;0.850 ;0 ;1046 ;
443 ;0:00.13 ;3528 ;0 ;1.5 ;17.1 ;0.850 ;0 ;1040 ;
443 ;0:00.14 ;3538 ;0 ;1.5 ;17.2 ;0.850 ;0 ;1046 ;
443 ;0:00.15 ;3556 ;0 ;1.5 ;17.2 ;0.850 ;0 ;1046 ;
443 ;0:00.16 ;3583 ;0 ;1.5 ;17.4 ;0.850 ;0 ;1060 ;
443 ;0:00.17 ;3568 ;0 ;1.5 ;17.2 ;0.850 ;0 ;1046 ;
443 ;0:00.18 ;3525 ;0 ;1.5 ;17.1 ;0.850 ;0 ;1040 ;
443 ;0:00.19 ;3513 ;0 ;1.5 ;17.0 ;0.850 ;0 ;1033 ;
443 ;0:00.20 ;3539 ;0 ;1.5 ;17.2 ;0.850 ;0 ;1046 ;
443 ;0:00.21 ;3576 ;0 ;1.5 ;17.3 ;0.850 ;0 ;1053 ;
443 ;0:00.22 ;3575 ;0 ;1.5 ;17.3 ;0.850 ;0 ;1053 ;
443 ;0:00.23 ;3583 ;0 ;1.5 ;17.4 ;0.850 ;0 ;1060 ;
443 ;0:00.24 ;3578 ;0 ;1.5 ;17.3 ;0.850 ;0 ;1053 ;
443 ;0:00.25 ;3565 ;0 ;1.5 ;17.3 ;0.850 ;0 ;1053 ;
443 ;0:00.26 ;3543 ;0 ;1.5 ;17.2 ;0.850 ;0 ;1046 ;
443 ;0:00.27 ;3536 ;0 ;1.5 ;17.1 ;0.850 ;0 ;1040 ;
443 ;0:00.28 ;3545 ;0 ;1.5 ;17.2 ;0.850 ;0 ;1046 ;
443 ;0:00.29 ;3561 ;0 ;1.5 ;17.3 ;0.850 ;0 ;1053 ;
443 ;0:00.30 ;3567 ;0 ;1.5 ;17.3 ;0.850 ;0 ;1053 ;
443 ;0:00.31 ;3586 ;0 ;1.5 ;17.4 ;0.850 ;0 ;1060 ;
443 ;0:00.32 ;3589 ;0 ;1.5 ;17.4 ;0.850 ;0 ;1060 ;
443 ;0:00.33 ;3566 ;0 ;1.5 ;17.3 ;0.850 ;0 ;1053 ;
