SESSION; TIME;RPM;THROT;L U SP;L D SP;TAR LB;TRAC %;SLIP%;

438 ;0:00.01 ;2674 ;0 ;0.0 ;13.0 ;0.850 ;0 ;-1 ;
438 ;0:00.02 ;2674 ;0 ;0.0 ;13.0 ;0.850 ;0 ;-1 ;
438 ;0:00.03 ;2661 ;0 ;0.0 ;12.9 ;0.850 ;0 ;-1 ;
438 ;0:00.04 ;2662 ;0 ;0.0 ;12.9 ;0.850 ;0 ;-1 ;
438 ;0:00.05 ;2660 ;0 ;0.0 ;12.9 ;0.850 ;0 ;-1 ;
438 ;0:00.06 ;2694 ;0 ;0.0 ;13.0 ;0.850 ;0 ;828 ;
438 ;0:00.07 ;2674 ;0 ;1.4 ;13.0 ;0.850 ;0 ;828 ;
438 ;0:00.08 ;2626 ;0 ;1.4 ;12.7 ;0.850 ;0 ;807 ;
438 ;0:00.09 ;2581 ;0 ;1.4 ;12.5 ;0.850 ;0 ;792 ;
438 ;0:00.10 ;2599 ;0 ;1.4 ;12.6 ;0.850 ;0 ;800 ;
438 ;0:00.11 ;2599 ;0 ;1.4 ;12.6 ;0.850 ;0 ;800 ;
438 ;0:00.12 ;2641 ;0 ;1.4 ;12.8 ;0.850 ;0 ;814 ;
438 ;0:00.13 ;2641 ;0 ;1.4 ;12.8 ;0.850 ;0 ;814 ;
438 ;0:00.14 ;2602 ;0 ;1.4 ;12.6 ;0.850 ;0 ;800 ;
438 ;0:00.15 ;2604 ;0 ;1.4 ;12.6 ;0.850 ;0 ;800 ;
438 ;0:00.16 ;2553 ;0 ;1.4 ;12.4 ;0.850 ;0 ;785 ;
438 ;0:00.17 ;2519 ;0 ;1.4 ;12.2 ;0.850 ;0 ;771 ;
438 ;0:00.18 ;2511 ;0 ;1.4 ;12.2 ;0.850 ;0 ;771 ;
438 ;0:00.19 ;2511 ;0 ;1.4 ;12.2 ;0.850 ;0 ;771 ;
438 ;0:00.20 ;2551 ;0 ;1.4 ;12.4 ;0.850 ;0 ;785 ;
438 ;0:00.21 ;2552 ;0 ;1.4 ;12.4 ;0.850 ;0 ;785 ;
438 ;0:00.22 ;2520 ;0 ;1.4 ;12.2 ;0.850 ;0 ;771 ;
438 ;0:00.23 ;2441 ;0 ;1.4 ;11.8 ;0.850 ;0 ;742 ;
438 ;0:00.24 ;2410 ;0 ;1.4 ;11.7 ;0.850 ;0 ;735 ;
438 ;0:00.25 ;2410 ;0 ;1.4 ;11.7 ;0.850 ;0 ;735 ;
