SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TAR LB;TRAC %;SLIP%;INJ;ADV;GEAR;

449 ;0:00.10 ;3529 ;0 ;87;10;74;0.805 ;1.7 ;17.1 ;0.850 ;0 ;905 ;2.91 ;10.5 ;1 ;
449 ;0:00.20 ;3489 ;0 ;87;10;75;0.794 ;1.7 ;16.9 ;0.850 ;0 ;894 ;2.92 ;10.4 ;1 ;
449 ;0:00.30 ;3507 ;0 ;87;10;76;0.820 ;1.7 ;16.8 ;0.850 ;0 ;888 ;2.91 ;10.5 ;1 ;
449 ;0:00.40 ;3416 ;0 ;87;10;77;0.835 ;1.7 ;16.6 ;0.850 ;0 ;876 ;2.92 ;10.4 ;1 ;
449 ;0:00.50 ;3363 ;0 ;87;10;78;0.861 ;1.7 ;16.3 ;0.850 ;0 ;858 ;2.93 ;10.3 ;1 ;
449 ;0:00.60 ;3267 ;0 ;87;10;79;0.870 ;2.4 ;15.8 ;0.850 ;0 ;558 ;2.94 ;10.2 ;1 ;
449 ;0:00.70 ;2972 ;0 ;87;10;80;0.880 ;2.8 ;14.4 ;0.850 ;0 ;414 ;2.97 ;7.0 ;1 ;
449 ;0:00.80 ;2890 ;0 ;87;10;81;0.902 ;3.3 ;14.0 ;0.850 ;0 ;324 ;2.99 ;7.0 ;1 ;
449 ;0:00.90 ;2745 ;0 ;87;10;81;0.861 ;3.6 ;13.3 ;0.850 ;0 ;269 ;3.02 ;7.0 ;1 ;
449 ;0:01.00 ;2716 ;0 ;87;10;82;0.844 ;3.7 ;13.2 ;0.850 ;0 ;256 ;3.02 ;7.0 ;1 ;
449 ;0:01.10 ;2625 ;0 ;87;10;84;0.845 ;4.7 ;12.7 ;0.850 ;0 ;170 ;3.04 ;7.0 ;1 ;
449 ;0:01.20 ;2492 ;0 ;87;10;86;0.876 ;4.5 ;12.1 ;0.850 ;0 ;168 ;3.07 ;7.0 ;1 ;
449 ;0:01.30 ;2298 ;0 ;87;10;87;0.896 ;5.4 ;11.1 ;0.850 ;0 ;105 ;3.15 ;7.0 ;1 ;
449 ;0:01.40 ;2161 ;0 ;87;10;87;0.886 ;5.4 ;10.5 ;0.850 ;0 ;94 ;3.22 ;7.0 ;1 ;
449 ;0:01.50 ;2052 ;0 ;87;10;88;0.876 ;5.4 ;9.9 ;0.850 ;0 ;83 ;3.27 ;7.0 ;1 ;
449 ;0:01.60 ;1981 ;0 ;87;10;89;0.867 ;5.6 ;9.6 ;0.850 ;0 ;71 ;3.30 ;7.0 ;1 ;
449 ;0:01.70 ;1952 ;0 ;87;10;89;0.860 ;5.6 ;9.4 ;0.850 ;0 ;67 ;3.30 ;7.0 ;1 ;
449 ;0:01.80 ;1817 ;0 ;87;10;89;0.856 ;5.7 ;8.8 ;0.850 ;0 ;54 ;3.32 ;7.0 ;1 ;
449 ;0:01.90 ;1759 ;0 ;87;10;89;0.846 ;5.8 ;8.5 ;0.850 ;0 ;46 ;3.33 ;7.0 ;1 ;
449 ;0:02.00 ;1887 ;0 ;87;10;89;0.857 ;5.6 ;9.2 ;0.850 ;0 ;64 ;3.31 ;7.0 ;1 ;
449 ;0:02.10 ;1963 ;0 ;87;10;89;0.847 ;6.3 ;9.5 ;0.850 ;0 ;50 ;3.30 ;7.0 ;1 ;
449 ;0:02.20 ;2013 ;0 ;87;10;89;0.887 ;7.2 ;9.7 ;0.850 ;0 ;34 ;3.29 ;7.0 ;1 ;
449 ;0:02.30 ;1972 ;0 ;87;10;88;0.883 ;8.1 ;9.5 ;0.850 ;0 ;17 ;3.30 ;7.0 ;1 ;
449 ;0:02.40 ;1922 ;0 ;87;10;89;0.874 ;9.0 ;9.3 ;0.850 ;0 ;3 ;3.31 ;7.0 ;1 ;
449 ;0:02.50 ;1923 ;0 ;87;10;89;0.881 ;9.4 ;9.3 ;0.850 ;0 ;-1 ;3.31 ;7.0 ;1 ;
449 ;0:02.60 ;1929 ;0 ;87;10;89;0.857 ;10.5 ;9.3 ;0.850 ;0 ;-11 ;3.31 ;7.0 ;1 ;
449 ;0:02.70 ;1882 ;0 ;87;10;90;0.882 ;11.5 ;9.1 ;0.850 ;0 ;-20 ;3.31 ;7.0 ;1 ;
449 ;0:02.80 ;1830 ;0 ;87;10;90;0.864 ;12.7 ;8.8 ;0.850 ;0 ;-30 ;3.32 ;7.0 ;1 ;
449 ;0:02.90 ;1807 ;0 ;87;10;90;0.861 ;13.5 ;8.7 ;0.850 ;0 ;-35 ;3.33 ;7.0 ;1 ;
449 ;0:03.00 ;1776 ;0 ;87;10;90;0.838 ;14.2 ;8.6 ;0.850 ;0 ;-39 ;3.33 ;7.0 ;1 ;
449 ;0:03.10 ;1816 ;0 ;87;10;90;0.826 ;15.6 ;8.8 ;0.850 ;0 ;-43 ;3.32 ;7.0 ;1 ;
