SESSION; TIME;RPM;THROT;LAMB;TAR LB;INJ;INJ %;

399 ;0:00.01 ;3573 ;0 ;0.821 ;0.850 ;2.91 ;8 ;
399 ;0:00.02 ;3588 ;0 ;0.821 ;0.850 ;2.91 ;8 ;
399 ;0:00.03 ;3585 ;0 ;0.818 ;0.850 ;2.91 ;8 ;
399 ;0:00.04 ;3551 ;0 ;0.817 ;0.850 ;2.91 ;8 ;
399 ;0:00.05 ;3546 ;0 ;0.819 ;0.850 ;2.91 ;8 ;
399 ;0:00.06 ;3543 ;0 ;0.824 ;0.850 ;2.91 ;8 ;
399 ;0:00.07 ;3574 ;0 ;0.827 ;0.850 ;2.91 ;8 ;
399 ;0:00.08 ;3580 ;0 ;0.830 ;0.850 ;2.91 ;8 ;
399 ;0:00.09 ;3580 ;0 ;0.821 ;0.850 ;2.91 ;8 ;
399 ;0:00.10 ;3556 ;0 ;0.827 ;0.850 ;2.91 ;8 ;
399 ;0:00.11 ;3537 ;0 ;0.830 ;0.850 ;2.91 ;8 ;
399 ;0:00.12 ;3554 ;0 ;0.828 ;0.850 ;2.91 ;8 ;
399 ;0:00.13 ;3589 ;0 ;0.830 ;0.850 ;2.91 ;8 ;
399 ;0:00.14 ;3583 ;0 ;0.822 ;0.850 ;2.91 ;8 ;
399 ;0:00.15 ;3584 ;0 ;0.832 ;0.850 ;2.91 ;8 ;
399 ;0:00.16 ;3593 ;0 ;0.832 ;0.850 ;2.91 ;8 ;
399 ;0:00.17 ;3595 ;0 ;0.834 ;0.850 ;2.91 ;8 ;
399 ;0:00.18 ;3606 ;0 ;0.832 ;0.850 ;2.90 ;8 ;
399 ;0:00.19 ;3609 ;0 ;0.828 ;0.850 ;2.90 ;8 ;
399 ;0:00.20 ;3613 ;0 ;0.830 ;0.850 ;2.90 ;8 ;
399 ;0:00.21 ;3594 ;0 ;0.833 ;0.850 ;2.91 ;8 ;
399 ;0:00.22 ;3589 ;0 ;0.835 ;0.850 ;2.91 ;8 ;
399 ;0:00.23 ;3594 ;0 ;0.829 ;0.850 ;2.91 ;8 ;
399 ;0:00.24 ;3597 ;0 ;0.829 ;0.850 ;2.91 ;8 ;
399 ;0:00.25 ;3626 ;0 ;0.825 ;0.850 ;2.90 ;8 ;
399 ;0:00.26 ;3623 ;0 ;0.833 ;0.850 ;2.90 ;8 ;
399 ;0:00.27 ;3611 ;0 ;0.831 ;0.850 ;2.90 ;8 ;
399 ;0:00.28 ;3512 ;0 ;0.830 ;0.850 ;2.91 ;8 ;
399 ;0:00.29 ;3498 ;0 ;0.829 ;0.850 ;2.92 ;8 ;
399 ;0:00.30 ;3535 ;0 ;0.825 ;0.850 ;2.91 ;8 ;
399 ;0:00.31 ;3552 ;0 ;0.835 ;0.850 ;2.91 ;8 ;
399 ;0:00.32 ;3580 ;0 ;0.833 ;0.850 ;2.91 ;8 ;
399 ;0:00.33 ;3580 ;0 ;0.836 ;0.850 ;2.91 ;8 ;
399 ;0:00.34 ;3505 ;0 ;0.830 ;0.850 ;2.91 ;8 ;
399 ;0:00.35 ;3506 ;0 ;0.828 ;0.850 ;2.91 ;8 ;
399 ;0:00.36 ;3519 ;0 ;0.831 ;0.850 ;2.91 ;8 ;
399 ;0:00.37 ;3540 ;0 ;0.833 ;0.850 ;2.91 ;8 ;
399 ;0:00.38 ;3543 ;0 ;0.835 ;0.850 ;2.91 ;8 ;
399 ;0:00.39 ;3549 ;0 ;0.831 ;0.850 ;2.91 ;8 ;
399 ;0:00.40 ;3535 ;0 ;0.826 ;0.850 ;2.91 ;8 ;
399 ;0:00.41 ;3506 ;0 ;0.820 ;0.850 ;2.91 ;8 ;
399 ;0:00.42 ;3519 ;0 ;0.828 ;0.850 ;2.91 ;8 ;
399 ;0:00.43 ;3519 ;0 ;0.826 ;0.850 ;2.91 ;8 ;
399 ;0:00.44 ;3525 ;0 ;0.827 ;0.850 ;2.91 ;8 ;
399 ;0:00.45 ;3505 ;0 ;0.827 ;0.850 ;2.91 ;8 ;
399 ;0:00.46 ;3495 ;0 ;0.821 ;0.850 ;2.92 ;8 ;
399 ;0:00.47 ;3476 ;0 ;0.824 ;0.850 ;2.92 ;8 ;
399 ;0:00.48 ;3454 ;0 ;0.827 ;0.850 ;2.92 ;8 ;
399 ;0:00.49 ;3473 ;0 ;0.832 ;0.850 ;2.92 ;8 ;
399 ;0:00.50 ;3447 ;0 ;0.827 ;0.850 ;2.92 ;8 ;
399 ;0:00.51 ;3409 ;0 ;0.830 ;0.850 ;2.92 ;8 ;
399 ;0:00.52 ;3407 ;0 ;0.826 ;0.850 ;2.92 ;8 ;
399 ;0:00.53 ;3427 ;0 ;0.822 ;0.850 ;2.92 ;8 ;
399 ;0:00.54 ;3425 ;0 ;0.826 ;0.850 ;2.92 ;8 ;
399 ;0:00.55 ;3412 ;0 ;0.828 ;0.850 ;2.92 ;8 ;
399 ;0:00.56 ;3430 ;0 ;0.838 ;0.850 ;2.92 ;8 ;
399 ;0:00.57 ;3422 ;0 ;0.834 ;0.850 ;2.92 ;8 ;
399 ;0:00.58 ;3397 ;0 ;0.838 ;0.850 ;2.93 ;8 ;
399 ;0:00.59 ;3417 ;0 ;0.833 ;0.850 ;2.92 ;8 ;
399 ;0:00.60 ;3428 ;0 ;0.831 ;0.850 ;2.92 ;8 ;
399 ;0:00.61 ;3415 ;0 ;0.831 ;0.850 ;2.92 ;8 ;
399 ;0:00.62 ;3396 ;0 ;0.834 ;0.850 ;2.93 ;8 ;
399 ;0:00.63 ;3387 ;0 ;0.837 ;0.850 ;2.93 ;8 ;
399 ;0:00.64 ;3372 ;0 ;0.828 ;0.850 ;2.93 ;8 ;
399 ;0:00.65 ;3374 ;0 ;0.832 ;0.850 ;2.93 ;8 ;
399 ;0:00.66 ;3365 ;0 ;0.827 ;0.850 ;2.93 ;8 ;
399 ;0:00.67 ;3370 ;0 ;0.830 ;0.850 ;2.93 ;8 ;
399 ;0:00.68 ;3376 ;0 ;0.820 ;0.850 ;2.93 ;8 ;
399 ;0:00.69 ;3371 ;0 ;0.826 ;0.850 ;2.93 ;8 ;
399 ;0:00.70 ;3380 ;0 ;0.828 ;0.850 ;2.93 ;8 ;
399 ;0:00.71 ;3375 ;0 ;0.829 ;0.850 ;2.93 ;8 ;
399 ;0:00.72 ;3369 ;0 ;0.829 ;0.850 ;2.93 ;8 ;
399 ;0:00.73 ;3332 ;0 ;0.826 ;0.850 ;2.93 ;8 ;
399 ;0:00.74 ;3323 ;0 ;0.829 ;0.850 ;2.93 ;8 ;
399 ;0:00.75 ;3310 ;0 ;0.824 ;0.850 ;2.93 ;8 ;
399 ;0:00.76 ;3306 ;0 ;0.825 ;0.850 ;2.93 ;8 ;
399 ;0:00.77 ;3320 ;0 ;0.818 ;0.850 ;2.93 ;8 ;
399 ;0:00.78 ;3326 ;0 ;0.824 ;0.850 ;2.93 ;8 ;
399 ;0:00.79 ;3332 ;0 ;0.827 ;0.850 ;2.93 ;8 ;
399 ;0:00.80 ;3302 ;0 ;0.825 ;0.850 ;2.93 ;8 ;
399 ;0:00.81 ;3315 ;0 ;0.822 ;0.850 ;2.93 ;8 ;
399 ;0:00.82 ;3310 ;0 ;0.819 ;0.850 ;2.93 ;8 ;
399 ;0:00.83 ;3301 ;0 ;0.823 ;0.850 ;2.93 ;8 ;
399 ;0:00.84 ;3337 ;0 ;0.818 ;0.850 ;2.93 ;8 ;
399 ;0:00.85 ;3353 ;0 ;0.819 ;0.850 ;2.93 ;8 ;
399 ;0:00.86 ;3344 ;0 ;0.812 ;0.850 ;2.93 ;8 ;
399 ;0:00.87 ;3317 ;0 ;0.816 ;0.850 ;2.93 ;8 ;
399 ;0:00.88 ;3298 ;0 ;0.820 ;0.850 ;2.94 ;8 ;
399 ;0:00.89 ;3281 ;0 ;0.822 ;0.850 ;2.94 ;8 ;
399 ;0:00.90 ;3287 ;0 ;0.826 ;0.850 ;2.94 ;8 ;
399 ;0:00.91 ;3275 ;0 ;0.822 ;0.850 ;2.94 ;8 ;
399 ;0:00.92 ;3288 ;0 ;0.826 ;0.850 ;2.94 ;8 ;
399 ;0:00.93 ;3274 ;0 ;0.821 ;0.850 ;2.94 ;8 ;
399 ;0:00.94 ;3240 ;0 ;0.824 ;0.850 ;2.94 ;8 ;
399 ;0:00.95 ;3259 ;0 ;0.820 ;0.850 ;2.94 ;8 ;
399 ;0:00.96 ;3284 ;0 ;0.817 ;0.850 ;2.94 ;8 ;
399 ;0:00.97 ;3305 ;0 ;0.825 ;0.850 ;2.93 ;8 ;
399 ;0:00.98 ;3305 ;0 ;0.826 ;0.850 ;2.93 ;8 ;
399 ;0:00.99 ;3294 ;0 ;0.832 ;0.850 ;2.94 ;7 ;
399 ;0:01.00 ;3260 ;0 ;0.829 ;0.850 ;2.94 ;7 ;
