SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TAR LB;TRAC %;SLIP%;INJ;ADV;GEAR;

448 ;0:00.10 ;264 ;0 ;90;11;96;0.833 ;2.9 ;1.2 ;0.850 ;0 ;-58 ;3.37 ;20.0 ;1 ;
448 ;0:00.20 ;264 ;0 ;90;11;96;0.832 ;3.8 ;1.2 ;0.850 ;0 ;-68 ;3.37 ;12.1 ;1 ;
448 ;0:00.30 ;905 ;0 ;90;11;96;0.834 ;3.5 ;4.4 ;0.850 ;0 ;25 ;3.37 ;7.0 ;1 ;
448 ;0:00.40 ;992 ;0 ;90;11;93;0.811 ;3.5 ;4.8 ;0.850 ;0 ;37 ;3.37 ;7.0 ;1 ;
448 ;0:00.50 ;974 ;0 ;90;11;92;0.811 ;4.1 ;4.7 ;0.850 ;0 ;14 ;3.37 ;7.0 ;1 ;
448 ;0:00.60 ;1126 ;0 ;90;11;91;0.802 ;6.0 ;5.4 ;0.850 ;0 ;-10 ;3.37 ;7.0 ;1 ;
448 ;0:00.70 ;1262 ;0 ;89;11;89;0.793 ;7.2 ;6.1 ;0.850 ;0 ;-15 ;3.37 ;7.0 ;1 ;
448 ;0:00.80 ;1566 ;0 ;89;11;86;0.800 ;9.3 ;7.6 ;0.850 ;0 ;-18 ;3.36 ;7.0 ;1 ;
448 ;0:00.90 ;2256 ;0 ;89;11;83;0.792 ;10.0 ;10.9 ;0.850 ;0 ;9 ;3.17 ;7.0 ;1 ;
448 ;0:01.00 ;2602 ;0 ;89;11;82;0.788 ;12.0 ;12.6 ;0.850 ;0 ;5 ;3.04 ;7.0 ;1 ;
448 ;0:01.10 ;2643 ;0 ;89;11;82;0.791 ;13.3 ;12.8 ;0.850 ;0 ;-3 ;3.04 ;7.0 ;1 ;
448 ;0:01.20 ;2676 ;0 ;89;11;82;0.799 ;12.7 ;13.0 ;0.850 ;0 ;2 ;3.03 ;7.0 ;1 ;
448 ;0:01.30 ;2716 ;0 ;89;11;83;0.797 ;13.1 ;13.2 ;0.850 ;0 ;0 ;3.02 ;7.0 ;1 ;
448 ;0:01.40 ;2827 ;3 ;89;11;84;0.800 ;12.8 ;13.7 ;0.850 ;0 ;7 ;3.56 ;12.9 ;1 ;
448 ;0:01.50 ;2709 ;4 ;89;11;85;0.824 ;12.3 ;13.1 ;0.850 ;0 ;6 ;3.74 ;13.2 ;1 ;
448 ;0:01.60 ;2679 ;5 ;89;11;85;0.848 ;12.3 ;13.0 ;0.850 ;0 ;5 ;3.89 ;14.8 ;1 ;
448 ;0:01.70 ;2633 ;5 ;89;11;86;0.820 ;11.9 ;12.8 ;0.850 ;0 ;7 ;3.89 ;14.5 ;1 ;
448 ;0:01.80 ;2256 ;5 ;89;11;87;0.798 ;11.4 ;10.9 ;0.850 ;0 ;-4 ;3.89 ;14.0 ;1 ;
448 ;0:01.90 ;2387 ;5 ;89;11;87;0.847 ;11.6 ;11.6 ;0.850 ;0 ;0 ;3.89 ;14.0 ;1 ;
448 ;0:02.00 ;2388 ;5 ;89;11;88;0.884 ;10.6 ;11.6 ;0.850 ;0 ;9 ;3.89 ;14.0 ;1 ;
448 ;0:02.10 ;2208 ;5 ;89;11;88;0.872 ;11.1 ;10.7 ;0.850 ;0 ;-3 ;3.89 ;14.0 ;1 ;
448 ;0:02.20 ;2310 ;5 ;89;11;87;0.805 ;10.0 ;11.2 ;0.850 ;0 ;12 ;3.89 ;14.0 ;1 ;
448 ;0:02.30 ;2589 ;5 ;89;11;86;0.804 ;10.3 ;12.5 ;0.850 ;20 ;21 ;3.89 ;14.4 ;1 ;
448 ;0:02.40 ;2563 ;5 ;89;11;88;0.787 ;10.1 ;12.4 ;0.850 ;23 ;22 ;3.89 ;14.2 ;1 ;
448 ;0:02.50 ;2171 ;5 ;89;11;90;0.791 ;9.7 ;10.5 ;0.850 ;0 ;8 ;3.89 ;14.0 ;1 ;
