SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;INJ;

457 ;0:00.01 ;1984 ;0 ;0.885 ;0.9 ;0.0 ;0 ;3.30 ;
457 ;0:00.02 ;1984 ;0 ;0.889 ;0.9 ;0.0 ;0 ;3.30 ;
457 ;0:00.03 ;1911 ;0 ;0.883 ;0.9 ;0.0 ;0 ;3.31 ;
457 ;0:00.04 ;1904 ;0 ;0.888 ;0.9 ;0.0 ;0 ;3.31 ;
457 ;0:00.05 ;1904 ;0 ;0.884 ;0.9 ;0.0 ;0 ;3.31 ;
457 ;0:00.06 ;1926 ;0 ;0.886 ;0.9 ;0.0 ;0 ;3.31 ;
457 ;0:00.07 ;1926 ;0 ;0.887 ;0.9 ;0.0 ;0 ;3.30 ;
457 ;0:00.08 ;1997 ;0 ;0.883 ;0.9 ;0.0 ;0 ;3.30 ;
457 ;0:00.09 ;2027 ;0 ;0.898 ;0.9 ;0.0 ;0 ;3.28 ;
457 ;0:00.10 ;2027 ;0 ;0.895 ;0.9 ;0.0 ;0 ;3.28 ;
457 ;0:00.11 ;1994 ;0 ;0.897 ;0.9 ;0.0 ;0 ;3.30 ;
457 ;0:00.12 ;1946 ;0 ;0.894 ;0.9 ;0.0 ;0 ;3.30 ;
457 ;0:00.13 ;1946 ;0 ;0.898 ;0.9 ;0.0 ;0 ;3.30 ;
457 ;0:00.14 ;1829 ;0 ;0.892 ;0.9 ;0.0 ;0 ;3.32 ;
457 ;0:00.15 ;1766 ;0 ;0.896 ;0.9 ;0.0 ;0 ;3.33 ;
457 ;0:00.16 ;1766 ;0 ;0.898 ;0.9 ;0.0 ;0 ;3.33 ;
457 ;0:00.17 ;1807 ;0 ;0.904 ;0.9 ;0.0 ;0 ;3.33 ;
457 ;0:00.18 ;1862 ;0 ;0.916 ;0.9 ;0.0 ;0 ;3.32 ;
457 ;0:00.19 ;1862 ;0 ;0.908 ;0.9 ;0.0 ;0 ;3.32 ;
457 ;0:00.20 ;1922 ;0 ;0.916 ;0.9 ;0.0 ;0 ;3.31 ;
457 ;0:00.21 ;1922 ;0 ;0.912 ;0.9 ;0.0 ;0 ;3.31 ;
457 ;0:00.22 ;1878 ;0 ;0.908 ;0.9 ;0.0 ;0 ;3.31 ;
457 ;0:00.23 ;1839 ;0 ;0.913 ;0.9 ;0.0 ;0 ;3.32 ;
457 ;0:00.24 ;1839 ;0 ;0.913 ;0.9 ;0.0 ;0 ;3.32 ;
