SESSION; TIME;RPM;THROT;MAP;LAMB;L U SP;L D SP;SLIP%;

461 ;0:00.01 ;2514 ;0 ;84;0.905 ;1.8 ;12.2 ;577 ;
461 ;0:00.02 ;2515 ;0 ;83;0.904 ;1.8 ;12.2 ;577 ;
461 ;0:00.03 ;2515 ;0 ;83;0.903 ;1.8 ;12.2 ;577 ;
461 ;0:00.04 ;2538 ;0 ;83;0.900 ;1.8 ;12.3 ;583 ;
461 ;0:00.05 ;2532 ;0 ;83;0.899 ;1.8 ;12.3 ;583 ;
461 ;0:00.06 ;2548 ;0 ;84;0.911 ;1.8 ;12.3 ;583 ;
461 ;0:00.07 ;2589 ;0 ;84;0.913 ;1.8 ;12.5 ;594 ;
461 ;0:00.08 ;2539 ;0 ;84;0.917 ;1.8 ;12.3 ;583 ;
461 ;0:00.09 ;2539 ;0 ;84;0.913 ;1.8 ;12.3 ;583 ;
461 ;0:00.10 ;2520 ;0 ;83;0.913 ;1.8 ;12.2 ;577 ;
461 ;0:00.11 ;2496 ;0 ;83;0.908 ;1.8 ;12.1 ;572 ;
461 ;0:00.12 ;2521 ;0 ;84;0.913 ;1.8 ;12.2 ;577 ;
461 ;0:00.13 ;2539 ;0 ;84;0.916 ;1.8 ;12.3 ;583 ;
461 ;0:00.14 ;2521 ;0 ;84;0.914 ;1.8 ;12.2 ;577 ;
461 ;0:00.15 ;2521 ;0 ;84;0.923 ;1.8 ;12.2 ;577 ;
461 ;0:00.16 ;2519 ;0 ;83;0.918 ;1.8 ;12.2 ;577 ;
461 ;0:00.17 ;2548 ;0 ;84;0.917 ;1.8 ;12.3 ;583 ;
461 ;0:00.18 ;2500 ;0 ;84;0.917 ;1.8 ;12.1 ;572 ;
461 ;0:00.19 ;2485 ;0 ;84;0.921 ;1.8 ;12.0 ;566 ;
461 ;0:00.20 ;2491 ;0 ;84;0.921 ;1.8 ;12.1 ;572 ;
461 ;0:00.21 ;2491 ;0 ;83;0.920 ;1.8 ;12.3 ;583 ;
461 ;0:00.22 ;2537 ;0 ;83;0.923 ;1.8 ;12.3 ;583 ;
461 ;0:00.23 ;2549 ;0 ;83;0.914 ;1.8 ;12.3 ;583 ;
461 ;0:00.24 ;2530 ;0 ;84;0.920 ;1.8 ;12.3 ;583 ;
461 ;0:00.25 ;2509 ;0 ;84;0.918 ;1.8 ;12.1 ;572 ;
461 ;0:00.26 ;2525 ;0 ;84;0.922 ;1.8 ;12.2 ;577 ;
461 ;0:00.27 ;2514 ;0 ;84;0.920 ;1.8 ;12.2 ;577 ;
461 ;0:00.28 ;2514 ;0 ;84;0.921 ;1.8 ;12.2 ;577 ;
461 ;0:00.29 ;2524 ;0 ;84;0.919 ;1.8 ;12.2 ;577 ;
461 ;0:00.30 ;2521 ;0 ;83;0.913 ;1.8 ;12.2 ;577 ;
461 ;0:00.31 ;2552 ;0 ;84;0.922 ;1.8 ;12.4 ;588 ;
461 ;0:00.32 ;2538 ;0 ;84;0.919 ;1.8 ;12.3 ;583 ;
461 ;0:00.33 ;2504 ;0 ;84;0.924 ;1.8 ;12.1 ;572 ;
461 ;0:00.34 ;2504 ;0 ;84;0.919 ;1.8 ;12.0 ;566 ;
461 ;0:00.35 ;2480 ;0 ;83;0.920 ;1.8 ;12.0 ;566 ;
461 ;0:00.36 ;2497 ;0 ;84;0.914 ;1.8 ;12.1 ;572 ;
461 ;0:00.37 ;2506 ;0 ;84;0.919 ;1.8 ;12.1 ;572 ;
461 ;0:00.38 ;2524 ;0 ;84;0.922 ;1.8 ;12.2 ;577 ;
461 ;0:00.39 ;2533 ;0 ;84;0.928 ;1.8 ;12.3 ;583 ;
461 ;0:00.40 ;2533 ;0 ;84;0.931 ;1.8 ;12.4 ;588 ;
461 ;0:00.41 ;2570 ;0 ;84;0.927 ;1.8 ;12.4 ;588 ;
461 ;0:00.42 ;2541 ;0 ;84;0.926 ;1.8 ;12.3 ;583 ;
461 ;0:00.43 ;2467 ;0 ;84;0.924 ;1.8 ;11.9 ;561 ;
461 ;0:00.44 ;2436 ;0 ;84;0.929 ;1.8 ;11.8 ;555 ;
461 ;0:00.45 ;2479 ;0 ;84;0.929 ;1.8 ;12.0 ;566 ;
461 ;0:00.46 ;2479 ;0 ;84;0.929 ;1.8 ;12.2 ;577 ;
461 ;0:00.47 ;2513 ;0 ;84;0.906 ;1.8 ;12.2 ;577 ;
461 ;0:00.48 ;2545 ;0 ;84;0.892 ;1.8 ;12.3 ;583 ;
461 ;0:00.49 ;2545 ;0 ;84;0.900 ;1.8 ;12.3 ;583 ;
461 ;0:00.50 ;2561 ;0 ;84;0.897 ;1.8 ;12.4 ;588 ;
461 ;0:00.51 ;2510 ;0 ;84;0.902 ;2.9 ;12.2 ;320 ;
461 ;0:00.52 ;2450 ;0 ;84;0.898 ;2.9 ;11.9 ;310 ;
461 ;0:00.53 ;2450 ;0 ;84;0.900 ;2.9 ;11.9 ;310 ;
461 ;0:00.54 ;2457 ;0 ;84;0.895 ;2.9 ;11.9 ;310 ;
461 ;0:00.55 ;2509 ;0 ;84;0.896 ;2.9 ;12.1 ;317 ;
461 ;0:00.56 ;2538 ;0 ;84;0.900 ;2.9 ;12.3 ;324 ;
461 ;0:00.57 ;2557 ;0 ;84;0.897 ;2.9 ;12.4 ;327 ;
461 ;0:00.58 ;2522 ;0 ;84;0.902 ;2.9 ;12.2 ;320 ;
461 ;0:00.59 ;2522 ;0 ;84;0.897 ;2.9 ;12.2 ;320 ;
461 ;0:00.60 ;2513 ;0 ;84;0.897 ;2.9 ;12.2 ;320 ;
461 ;0:00.61 ;2458 ;0 ;84;0.892 ;2.9 ;11.9 ;310 ;
461 ;0:00.62 ;2417 ;0 ;84;0.898 ;2.9 ;11.7 ;303 ;
461 ;0:00.63 ;2435 ;0 ;84;0.899 ;2.9 ;11.8 ;306 ;
461 ;0:00.64 ;2486 ;0 ;84;0.878 ;2.9 ;12.0 ;313 ;
461 ;0:00.65 ;2486 ;0 ;84;0.880 ;2.9 ;12.0 ;313 ;
461 ;0:00.66 ;2510 ;0 ;84;0.871 ;2.9 ;12.2 ;320 ;
461 ;0:00.67 ;2519 ;0 ;84;0.879 ;2.9 ;12.2 ;320 ;
461 ;0:00.68 ;2485 ;0 ;84;0.876 ;3.7 ;12.0 ;224 ;
461 ;0:00.69 ;2516 ;0 ;84;0.880 ;3.7 ;12.2 ;229 ;
461 ;0:00.70 ;2516 ;0 ;84;0.878 ;3.7 ;12.1 ;227 ;
461 ;0:00.71 ;2496 ;0 ;84;0.878 ;3.7 ;12.1 ;227 ;
461 ;0:00.72 ;2459 ;0 ;84;0.908 ;3.7 ;11.9 ;221 ;
461 ;0:00.73 ;2455 ;0 ;84;0.909 ;3.7 ;11.9 ;221 ;
461 ;0:00.74 ;2503 ;0 ;84;0.914 ;3.7 ;12.1 ;227 ;
461 ;0:00.75 ;2512 ;0 ;84;0.910 ;3.7 ;12.2 ;229 ;
461 ;0:00.76 ;2512 ;0 ;84;0.915 ;3.7 ;12.2 ;229 ;
461 ;0:00.77 ;2520 ;0 ;84;0.909 ;3.7 ;12.2 ;229 ;
461 ;0:00.78 ;2493 ;0 ;84;0.908 ;4.2 ;12.1 ;188 ;
461 ;0:00.79 ;2494 ;0 ;84;0.910 ;4.2 ;12.1 ;188 ;
461 ;0:00.80 ;2469 ;0 ;85;0.918 ;4.2 ;12.0 ;185 ;
461 ;0:00.81 ;2452 ;0 ;85;0.920 ;4.2 ;11.9 ;183 ;
461 ;0:00.82 ;2452 ;0 ;84;0.918 ;4.2 ;11.9 ;183 ;
461 ;0:00.83 ;2457 ;0 ;84;0.919 ;4.2 ;11.9 ;183 ;
461 ;0:00.84 ;2504 ;0 ;84;0.910 ;4.2 ;12.1 ;188 ;
461 ;0:00.85 ;2473 ;0 ;85;0.921 ;4.7 ;12.0 ;155 ;
461 ;0:00.86 ;2444 ;0 ;85;0.917 ;4.7 ;11.8 ;151 ;
461 ;0:00.87 ;2417 ;0 ;85;0.920 ;4.7 ;11.7 ;148 ;
461 ;0:00.88 ;2417 ;0 ;84;0.908 ;4.7 ;11.7 ;148 ;
461 ;0:00.89 ;2459 ;0 ;84;0.902 ;4.7 ;11.9 ;153 ;
461 ;0:00.90 ;2471 ;0 ;85;0.907 ;4.7 ;12.0 ;155 ;
461 ;0:00.91 ;2487 ;0 ;85;0.906 ;4.7 ;12.0 ;155 ;
461 ;0:00.92 ;2477 ;0 ;85;0.909 ;4.9 ;12.0 ;144 ;
461 ;0:00.93 ;2477 ;0 ;85;0.906 ;4.9 ;11.9 ;142 ;
461 ;0:00.94 ;2454 ;0 ;84;0.909 ;4.9 ;11.9 ;142 ;
461 ;0:00.95 ;2414 ;0 ;84;0.900 ;4.9 ;11.7 ;138 ;
461 ;0:00.96 ;2394 ;0 ;85;0.909 ;4.9 ;11.6 ;136 ;
461 ;0:00.97 ;2418 ;0 ;85;0.916 ;4.9 ;11.7 ;138 ;
461 ;0:00.98 ;2462 ;0 ;85;0.914 ;4.9 ;11.9 ;142 ;
461 ;0:00.99 ;2462 ;0 ;85;0.917 ;5.2 ;11.9 ;128 ;
461 ;0:01.00 ;2446 ;0 ;85;0.908 ;5.2 ;11.8 ;126 ;
461 ;0:01.01 ;2419 ;0 ;85;0.916 ;5.2 ;11.7 ;125 ;
461 ;0:01.02 ;2369 ;0 ;85;0.913 ;5.2 ;11.5 ;121 ;
461 ;0:01.03 ;2368 ;0 ;85;0.917 ;5.2 ;11.5 ;121 ;
461 ;0:01.04 ;2368 ;0 ;85;0.915 ;5.2 ;11.5 ;121 ;
461 ;0:01.05 ;2390 ;0 ;85;0.924 ;5.8 ;11.6 ;100 ;
461 ;0:01.06 ;2406 ;0 ;85;0.929 ;5.8 ;11.6 ;100 ;
461 ;0:01.07 ;2373 ;0 ;85;0.928 ;5.8 ;11.5 ;98 ;
461 ;0:01.08 ;2360 ;0 ;85;0.931 ;5.8 ;11.4 ;96 ;
461 ;0:01.09 ;2360 ;0 ;85;0.927 ;5.8 ;11.4 ;96 ;
461 ;0:01.10 ;2331 ;0 ;84;0.925 ;5.4 ;11.3 ;109 ;
461 ;0:01.11 ;2339 ;0 ;85;0.926 ;5.4 ;11.3 ;109 ;
461 ;0:01.12 ;2357 ;0 ;85;0.930 ;5.4 ;11.4 ;111 ;
461 ;0:01.13 ;2357 ;0 ;85;0.927 ;5.4 ;11.7 ;116 ;
461 ;0:01.14 ;2408 ;0 ;85;0.925 ;5.4 ;11.7 ;116 ;
461 ;0:01.15 ;2411 ;0 ;84;0.923 ;5.8 ;11.7 ;101 ;
461 ;0:01.16 ;2376 ;0 ;85;0.926 ;5.8 ;11.5 ;98 ;
461 ;0:01.17 ;2335 ;0 ;85;0.929 ;5.8 ;11.3 ;94 ;
461 ;0:01.18 ;2335 ;0 ;84;0.925 ;5.8 ;11.5 ;98 ;
461 ;0:01.19 ;2372 ;0 ;84;0.926 ;5.8 ;11.5 ;98 ;
461 ;0:01.20 ;2393 ;0 ;84;0.922 ;5.8 ;11.6 ;100 ;
461 ;0:01.21 ;2404 ;0 ;85;0.950 ;6.6 ;11.6 ;75 ;
461 ;0:01.22 ;2411 ;0 ;85;0.949 ;6.6 ;11.7 ;77 ;
461 ;0:01.23 ;2411 ;0 ;84;0.949 ;6.6 ;11.7 ;77 ;
461 ;0:01.24 ;2428 ;0 ;84;0.947 ;6.6 ;11.8 ;78 ;
461 ;0:01.25 ;2402 ;0 ;84;0.944 ;6.6 ;11.6 ;75 ;
461 ;0:01.26 ;2390 ;0 ;85;0.951 ;6.5 ;11.6 ;78 ;
461 ;0:01.27 ;2383 ;0 ;85;0.947 ;6.5 ;11.5 ;76 ;
461 ;0:01.28 ;2383 ;0 ;84;0.952 ;6.5 ;11.5 ;76 ;
461 ;0:01.29 ;2419 ;0 ;84;0.908 ;6.5 ;11.7 ;80 ;
461 ;0:01.30 ;2408 ;0 ;84;0.911 ;6.8 ;11.7 ;72 ;
461 ;0:01.31 ;2385 ;0 ;84;0.914 ;6.8 ;11.5 ;69 ;
461 ;0:01.32 ;2365 ;0 ;84;0.913 ;6.8 ;11.4 ;67 ;
461 ;0:01.33 ;2365 ;0 ;84;0.916 ;6.8 ;11.4 ;67 ;
461 ;0:01.34 ;2403 ;0 ;84;0.908 ;7.5 ;11.6 ;54 ;
461 ;0:01.35 ;2410 ;0 ;84;0.913 ;7.5 ;11.7 ;56 ;
461 ;0:01.36 ;2423 ;0 ;84;0.912 ;7.5 ;11.7 ;56 ;
461 ;0:01.37 ;2422 ;0 ;84;0.913 ;7.5 ;11.7 ;56 ;
461 ;0:01.38 ;2422 ;0 ;84;0.903 ;7.5 ;11.7 ;56 ;
461 ;0:01.39 ;2440 ;0 ;84;0.901 ;7.4 ;11.8 ;59 ;
461 ;0:01.40 ;2431 ;0 ;84;0.900 ;7.4 ;11.8 ;59 ;
461 ;0:01.41 ;2406 ;0 ;84;0.902 ;7.4 ;11.6 ;56 ;
