SESSION; TIME;RPM;THROT;MAP;LAMB;L U SP;L D SP;SLIP%;

460 ;0:00.01 ;3362 ;0 ;78;0.842 ;1.4 ;16.3 ;1064 ;
460 ;0:00.02 ;3359 ;0 ;78;0.832 ;1.4 ;16.3 ;1064 ;
460 ;0:00.03 ;3351 ;0 ;78;0.833 ;1.4 ;16.2 ;1057 ;
460 ;0:00.04 ;3353 ;0 ;78;0.830 ;1.4 ;16.3 ;1064 ;
460 ;0:00.05 ;3361 ;0 ;78;0.832 ;1.4 ;16.3 ;1064 ;
460 ;0:00.06 ;3350 ;0 ;78;0.823 ;1.4 ;16.2 ;1057 ;
460 ;0:00.07 ;3374 ;0 ;78;0.831 ;1.4 ;16.4 ;1071 ;
460 ;0:00.08 ;3372 ;0 ;77;0.831 ;1.4 ;16.3 ;1064 ;
460 ;0:00.09 ;3386 ;0 ;78;0.833 ;1.4 ;16.4 ;1071 ;
460 ;0:00.10 ;3389 ;0 ;78;0.830 ;1.4 ;16.4 ;1071 ;
460 ;0:00.11 ;3401 ;0 ;78;0.827 ;1.4 ;16.4 ;1071 ;
460 ;0:00.12 ;3366 ;0 ;78;0.829 ;1.4 ;16.3 ;1064 ;
460 ;0:00.13 ;3347 ;0 ;78;0.823 ;1.4 ;16.2 ;1057 ;
460 ;0:00.14 ;3365 ;0 ;78;0.824 ;1.4 ;16.3 ;1064 ;
460 ;0:00.15 ;3380 ;0 ;78;0.823 ;1.4 ;16.4 ;1071 ;
460 ;0:00.16 ;3398 ;0 ;78;0.830 ;1.4 ;16.5 ;1078 ;
460 ;0:00.17 ;3384 ;0 ;78;0.829 ;1.4 ;16.4 ;1071 ;
460 ;0:00.18 ;3385 ;0 ;78;0.826 ;1.4 ;16.4 ;1071 ;
460 ;0:00.19 ;3363 ;0 ;78;0.828 ;1.4 ;16.3 ;1064 ;
460 ;0:00.20 ;3364 ;0 ;78;0.824 ;1.4 ;16.3 ;1064 ;
460 ;0:00.21 ;3382 ;0 ;78;0.825 ;1.4 ;16.4 ;1071 ;
460 ;0:00.22 ;3385 ;0 ;78;0.818 ;1.4 ;16.4 ;1071 ;
460 ;0:00.23 ;3382 ;0 ;78;0.826 ;1.4 ;16.4 ;1071 ;
