SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;ANA3;L U SP;L D SP;TAR LB;TRAC %;VOLTS;SLIP%;GEAR;SHIF A;INJ %;A1 VAL;A2 VAL;A3 VAL;

712 ;0:00.10 ;3720 ;0 ;96;20;76;0.846 ;0 ;5.8 ;0.0 ;0.850 ;0 ;12.3 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:00.20 ;3637 ;0 ;96;20;77;0.872 ;0 ;6.0 ;0.0 ;0.850 ;0 ;12.7 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:00.30 ;3627 ;0 ;96;20;77;0.889 ;0 ;7.1 ;0.0 ;0.850 ;0 ;12.6 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:00.40 ;3608 ;0 ;96;20;77;0.910 ;0 ;7.4 ;0.0 ;0.850 ;0 ;12.6 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:00.50 ;3591 ;0 ;96;20;77;0.913 ;0 ;7.2 ;0.0 ;0.850 ;0 ;12.6 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:00.60 ;3546 ;0 ;96;20;77;0.915 ;0 ;7.8 ;0.0 ;0.850 ;0 ;12.6 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:00.70 ;3474 ;0 ;96;20;78;0.913 ;0 ;8.1 ;0.0 ;0.850 ;0 ;12.6 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:00.80 ;3449 ;0 ;95;20;78;0.903 ;0 ;8.4 ;0.0 ;0.850 ;0 ;12.5 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:00.90 ;3400 ;0 ;95;20;79;0.928 ;8 ;9.5 ;0.0 ;0.850 ;0 ;12.6 ;-100 ;0 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:01.00 ;3380 ;0 ;95;20;78;0.912 ;33 ;10.4 ;0.0 ;0.850 ;0 ;12.7 ;-100 ;0 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:01.10 ;3319 ;0 ;95;20;78;0.910 ;116 ;9.3 ;0.0 ;0.850 ;0 ;12.4 ;-100 ;0 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:01.20 ;3316 ;0 ;95;20;78;0.872 ;369 ;10.0 ;0.0 ;0.850 ;0 ;12.4 ;-100 ;0 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:01.30 ;3271 ;0 ;95;20;78;0.875 ;749 ;10.3 ;15.9 ;0.850 ;0 ;12.4 ;54 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:01.40 ;3256 ;0 ;95;20;78;0.851 ;748 ;11.1 ;15.8 ;0.850 ;0 ;12.5 ;42 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:01.50 ;3223 ;0 ;95;20;78;0.867 ;749 ;10.9 ;15.6 ;0.850 ;0 ;12.6 ;43 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:01.60 ;3176 ;0 ;95;20;77;0.901 ;750 ;11.8 ;15.4 ;0.850 ;0 ;12.6 ;30 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:01.70 ;3195 ;0 ;95;20;77;0.821 ;747 ;11.6 ;15.5 ;0.850 ;0 ;12.3 ;33 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:01.80 ;3146 ;0 ;95;20;76;0.804 ;750 ;13.0 ;15.2 ;0.850 ;0 ;12.6 ;16 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:01.90 ;3348 ;0 ;95;20;74;0.815 ;748 ;13.0 ;16.2 ;0.850 ;0 ;12.6 ;24 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
712 ;0:02.00 ;3583 ;0 ;95;20;72;0.818 ;748 ;13.3 ;17.4 ;0.850 ;0 ;12.6 ;30 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:02.10 ;3782 ;0 ;95;20;70;0.805 ;746 ;13.8 ;18.3 ;0.850 ;0 ;12.3 ;32 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:02.20 ;3892 ;0 ;95;20;68;0.821 ;744 ;14.0 ;18.9 ;0.850 ;0 ;12.5 ;35 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:02.30 ;4099 ;0 ;95;20;68;0.829 ;749 ;15.1 ;19.9 ;0.850 ;0 ;12.4 ;31 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:02.40 ;4165 ;0 ;95;20;69;0.830 ;741 ;16.4 ;20.2 ;0.850 ;0 ;12.4 ;23 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:02.50 ;4152 ;0 ;95;20;71;0.843 ;747 ;16.0 ;20.1 ;0.850 ;0 ;12.4 ;25 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:02.60 ;3991 ;0 ;95;20;73;0.870 ;760 ;16.7 ;19.4 ;0.850 ;0 ;12.6 ;16 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
712 ;0:02.70 ;3845 ;0 ;95;20;75;0.888 ;773 ;16.7 ;18.6 ;0.850 ;0 ;12.6 ;11 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:02.80 ;3718 ;0 ;95;20;76;0.914 ;812 ;17.8 ;18.0 ;0.850 ;0 ;12.3 ;1 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
712 ;0:02.90 ;3649 ;0 ;95;20;77;0.938 ;951 ;18.0 ;17.7 ;0.850 ;0 ;12.6 ;-1 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
