SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;ANA3;L U SP;L D SP;TAR LB;TRAC %;VOLTS;SLIP%;GEAR;SHIF A;INJ %;A1 VAL;A2 VAL;A3 VAL;

517 ;0:00.10 ;3709 ;0 ;87;21;77;0.853 ;0 ;2.5 ;0.0 ;0.850 ;0 ;12.9 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
517 ;0:00.20 ;3677 ;0 ;87;21;77;0.879 ;0 ;2.5 ;0.0 ;0.850 ;0 ;13.0 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
517 ;0:00.30 ;3609 ;0 ;87;21;78;0.887 ;0 ;2.5 ;0.0 ;0.850 ;0 ;12.9 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
517 ;0:00.40 ;3521 ;0 ;87;21;78;0.896 ;0 ;2.5 ;0.0 ;0.850 ;0 ;12.9 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
517 ;0:00.50 ;3541 ;0 ;87;21;78;1.000 ;1 ;2.5 ;0.0 ;0.850 ;0 ;13.1 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
517 ;0:00.60 ;3499 ;0 ;87;21;78;0.916 ;6 ;3.9 ;0.0 ;0.850 ;0 ;12.8 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
517 ;0:00.70 ;3446 ;0 ;87;21;78;0.884 ;33 ;4.5 ;0.0 ;0.850 ;0 ;12.9 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
517 ;0:00.80 ;3407 ;0 ;87;21;79;0.900 ;124 ;6.1 ;0.0 ;0.850 ;0 ;13.0 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
517 ;0:00.90 ;3408 ;0 ;87;21;79;0.952 ;396 ;7.2 ;0.0 ;0.850 ;0 ;12.9 ;-100 ;0 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
517 ;0:01.00 ;3316 ;0 ;87;21;79;0.941 ;747 ;7.5 ;16.1 ;0.850 ;0 ;12.9 ;114 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
517 ;0:01.10 ;3285 ;0 ;87;21;79;0.935 ;747 ;8.9 ;15.9 ;0.850 ;0 ;12.7 ;78 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
517 ;0:01.20 ;3240 ;0 ;87;21;79;0.914 ;750 ;9.8 ;15.7 ;0.850 ;0 ;13.0 ;60 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
