SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;ANA3;L U SP;L D SP;TAR LB;TRAC %;VOLTS;SLIP%;GEAR;SHIF A;INJ %;A1 VAL;A2 VAL;A3 VAL;

628 ;0:00.10 ;3616 ;0 ;98;22;78;0.851 ;0 ;3.1 ;0.0 ;0.850 ;0 ;12.5 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
628 ;0:00.20 ;3585 ;0 ;98;22;78;0.873 ;0 ;3.1 ;0.0 ;0.850 ;0 ;12.5 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
628 ;0:00.30 ;3534 ;0 ;98;22;78;0.875 ;0 ;3.1 ;0.0 ;0.850 ;0 ;12.7 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
628 ;0:00.40 ;3523 ;0 ;98;22;79;0.895 ;0 ;3.1 ;0.0 ;0.850 ;0 ;12.8 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
628 ;0:00.50 ;3451 ;0 ;98;22;79;0.896 ;0 ;3.1 ;0.0 ;0.850 ;0 ;12.7 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
628 ;0:00.60 ;3389 ;0 ;98;22;79;0.886 ;2 ;3.8 ;0.0 ;0.850 ;0 ;12.8 ;-100 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
628 ;0:00.70 ;3366 ;0 ;98;22;79;0.875 ;9 ;4.7 ;0.0 ;0.850 ;0 ;12.5 ;-100 ;0 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
628 ;0:00.80 ;3380 ;0 ;98;22;79;0.953 ;41 ;6.2 ;0.0 ;0.850 ;0 ;12.7 ;-100 ;0 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
628 ;0:00.90 ;3338 ;0 ;98;22;79;0.897 ;142 ;6.6 ;0.0 ;0.850 ;0 ;12.8 ;-100 ;0 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
628 ;0:01.00 ;3308 ;0 ;98;22;79;0.895 ;446 ;7.9 ;0.0 ;0.850 ;0 ;12.7 ;-100 ;0 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
628 ;0:01.10 ;3302 ;0 ;98;22;79;0.908 ;753 ;9.7 ;16.0 ;0.850 ;0 ;12.8 ;64 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
628 ;0:01.20 ;3336 ;0 ;98;22;79;0.942 ;761 ;10.5 ;16.2 ;0.850 ;0 ;12.8 ;54 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
628 ;0:01.30 ;3299 ;0 ;98;22;79;0.906 ;782 ;11.5 ;16.0 ;0.850 ;0 ;12.8 ;39 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
628 ;0:01.40 ;3289 ;0 ;98;22;79;0.876 ;848 ;12.5 ;15.9 ;0.850 ;0 ;12.8 ;27 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
628 ;0:01.50 ;3256 ;0 ;98;22;78;0.874 ;751 ;14.0 ;15.8 ;0.850 ;0 ;12.7 ;12 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
628 ;0:01.60 ;3323 ;0 ;98;22;78;0.892 ;755 ;14.8 ;16.1 ;0.850 ;0 ;12.8 ;8 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
628 ;0:01.70 ;3314 ;0 ;98;22;78;0.818 ;767 ;15.4 ;16.1 ;0.850 ;0 ;12.7 ;4 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
628 ;0:01.80 ;3265 ;0 ;98;22;77;0.848 ;800 ;15.9 ;15.8 ;0.850 ;0 ;12.8 ;0 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
628 ;0:01.90 ;3274 ;0 ;98;22;77;0.860 ;756 ;17.9 ;15.9 ;0.850 ;0 ;12.8 ;-11 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
628 ;0:02.00 ;3360 ;0 ;98;22;76;0.823 ;768 ;19.0 ;16.3 ;0.850 ;0 ;12.7 ;-14 ;1 ;0 ;7 ;0.0 ;0.0 ;0.0 ;
628 ;0:02.10 ;3450 ;0 ;98;22;73;0.796 ;799 ;18.3 ;16.7 ;0.850 ;0 ;12.7 ;-8 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
628 ;0:02.20 ;3646 ;0 ;98;22;71;0.839 ;904 ;18.7 ;17.7 ;0.850 ;0 ;12.8 ;-5 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
628 ;0:02.30 ;3837 ;0 ;98;22;69;0.828 ;1224 ;19.5 ;18.6 ;0.850 ;0 ;12.6 ;-4 ;1 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
628 ;0:02.40 ;3980 ;0 ;98;22;68;0.859 ;818 ;19.8 ;19.3 ;0.850 ;0 ;12.6 ;-2 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
628 ;0:02.50 ;4129 ;0 ;98;22;67;0.843 ;768 ;22.0 ;20.0 ;0.850 ;0 ;12.8 ;-9 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
628 ;0:02.60 ;4218 ;0 ;98;22;67;0.816 ;803 ;21.1 ;20.5 ;0.850 ;0 ;12.8 ;-2 ;1 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
