SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;ANA3;L U SP;L D SP;TAR LB;TRAC %;VOLTS;SLIP%;GEAR;SHIF A;INJ %;A1 VAL;A2 VAL;A3 VAL;

516 ;0:00.10 ;3476 ;0 ;91;21;73;0.845 ;0 ;2.4 ;0.0 ;0.850 ;0 ;13.0 ;0 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
516 ;0:00.20 ;3723 ;0 ;90;21;71;0.814 ;0 ;2.4 ;0.0 ;0.850 ;0 ;13.1 ;0 ;0 ;0 ;8 ;0.0 ;0.0 ;0.0 ;
516 ;0:00.30 ;3877 ;0 ;90;21;69;0.816 ;0 ;2.4 ;0.0 ;0.850 ;0 ;12.8 ;0 ;0 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
516 ;0:00.40 ;4008 ;0 ;90;21;68;0.817 ;0 ;3.3 ;0.0 ;0.850 ;0 ;12.8 ;0 ;0 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
516 ;0:00.50 ;4108 ;0 ;90;21;68;0.809 ;0 ;4.1 ;0.0 ;0.850 ;0 ;13.0 ;0 ;0 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
516 ;0:00.60 ;4146 ;0 ;90;21;68;0.818 ;0 ;4.5 ;0.0 ;0.850 ;0 ;13.1 ;0 ;0 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
516 ;0:00.70 ;4113 ;0 ;90;21;67;0.816 ;0 ;5.1 ;0.0 ;0.850 ;0 ;12.9 ;0 ;0 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
516 ;0:00.80 ;4160 ;0 ;90;21;67;0.849 ;0 ;4.7 ;0.0 ;0.850 ;0 ;12.7 ;0 ;0 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
516 ;0:00.90 ;4139 ;0 ;90;21;67;0.823 ;0 ;4.9 ;0.0 ;0.850 ;0 ;12.9 ;0 ;0 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
516 ;0:01.00 ;4163 ;0 ;90;21;67;0.818 ;0 ;5.5 ;0.0 ;0.850 ;0 ;13.0 ;0 ;0 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
516 ;0:01.10 ;4183 ;0 ;90;21;67;0.886 ;0 ;5.6 ;0.0 ;0.850 ;0 ;13.1 ;0 ;0 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
516 ;0:01.20 ;4183 ;0 ;90;21;68;0.849 ;0 ;5.5 ;0.0 ;0.850 ;0 ;13.1 ;0 ;0 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
516 ;0:01.30 ;4192 ;0 ;90;21;68;0.829 ;0 ;5.9 ;0.0 ;0.850 ;0 ;13.0 ;0 ;0 ;0 ;9 ;0.0 ;0.0 ;0.0 ;
