SESSION; TIME;RPM;THROT;MAP;LAMB;L U SP;

923 ;0:00.01 ;2442 ;0 ;86;0.987 ;3.2 ;
923 ;0:00.02 ;2442 ;0 ;86;0.991 ;3.2 ;
923 ;0:00.03 ;2428 ;0 ;86;0.986 ;3.2 ;
923 ;0:00.04 ;2401 ;0 ;86;0.984 ;3.2 ;
923 ;0:00.05 ;2434 ;0 ;86;0.985 ;3.2 ;
923 ;0:00.06 ;2407 ;0 ;86;0.989 ;3.9 ;
923 ;0:00.07 ;2407 ;0 ;86;0.994 ;3.9 ;
923 ;0:00.08 ;2416 ;0 ;86;0.992 ;3.9 ;
923 ;0:00.09 ;2410 ;0 ;86;0.989 ;3.9 ;
923 ;0:00.10 ;2453 ;0 ;86;0.988 ;3.9 ;
923 ;0:00.11 ;2433 ;0 ;86;0.996 ;3.9 ;
923 ;0:00.12 ;2443 ;0 ;86;0.992 ;3.9 ;
923 ;0:00.13 ;2443 ;0 ;86;0.995 ;3.9 ;
923 ;0:00.14 ;2420 ;0 ;85;0.989 ;3.9 ;
923 ;0:00.15 ;2457 ;0 ;86;0.975 ;3.9 ;
923 ;0:00.16 ;2437 ;0 ;86;0.984 ;3.9 ;
923 ;0:00.17 ;2437 ;0 ;86;0.982 ;3.9 ;
923 ;0:00.18 ;2437 ;0 ;86;0.986 ;3.9 ;
923 ;0:00.19 ;2424 ;0 ;85;0.980 ;3.9 ;
923 ;0:00.20 ;2469 ;0 ;86;0.978 ;3.9 ;
923 ;0:00.21 ;2442 ;0 ;86;0.979 ;3.9 ;
923 ;0:00.22 ;2437 ;0 ;86;0.984 ;3.9 ;
923 ;0:00.23 ;2437 ;0 ;86;0.989 ;4.3 ;
923 ;0:00.24 ;2395 ;0 ;85;0.988 ;4.3 ;
923 ;0:00.25 ;2419 ;0 ;86;0.983 ;4.3 ;
923 ;0:00.26 ;2415 ;0 ;86;0.984 ;4.3 ;
923 ;0:00.27 ;2446 ;0 ;86;0.990 ;4.3 ;
923 ;0:00.28 ;2446 ;0 ;86;0.987 ;4.3 ;
923 ;0:00.29 ;2443 ;0 ;85;0.991 ;4.3 ;
923 ;0:00.30 ;2482 ;0 ;86;0.983 ;4.6 ;
923 ;0:00.31 ;2447 ;0 ;86;0.995 ;4.6 ;
923 ;0:00.32 ;2442 ;0 ;86;1.001 ;4.6 ;
923 ;0:00.33 ;2442 ;0 ;86;1.001 ;4.6 ;
923 ;0:00.34 ;2442 ;0 ;85;1.003 ;4.6 ;
923 ;0:00.35 ;2491 ;0 ;86;1.000 ;4.6 ;
923 ;0:00.36 ;2475 ;0 ;86;0.998 ;4.6 ;
923 ;0:00.37 ;2480 ;0 ;86;0.998 ;4.7 ;
923 ;0:00.38 ;2441 ;0 ;86;1.003 ;4.7 ;
923 ;0:00.39 ;2472 ;0 ;86;1.005 ;4.7 ;
923 ;0:00.40 ;2472 ;0 ;86;1.006 ;4.7 ;
923 ;0:00.41 ;2450 ;0 ;85;1.003 ;4.7 ;
923 ;0:00.42 ;2466 ;0 ;86;0.998 ;4.7 ;
923 ;0:00.43 ;2466 ;0 ;86;1.006 ;5.1 ;
923 ;0:00.44 ;2506 ;0 ;86;1.004 ;5.1 ;
923 ;0:00.45 ;2506 ;0 ;86;1.008 ;5.1 ;
923 ;0:00.46 ;2496 ;0 ;85;1.004 ;5.1 ;
923 ;0:00.47 ;2479 ;0 ;85;1.000 ;5.1 ;
923 ;0:00.48 ;2415 ;0 ;86;0.990 ;5.1 ;
923 ;0:00.49 ;2434 ;0 ;86;0.997 ;5.3 ;
923 ;0:00.50 ;2436 ;0 ;86;0.999 ;5.3 ;
923 ;0:00.51 ;2436 ;0 ;85;0.997 ;5.3 ;
923 ;0:00.52 ;2474 ;0 ;85;0.997 ;5.3 ;
923 ;0:00.53 ;2463 ;0 ;85;0.988 ;5.3 ;
923 ;0:00.54 ;2490 ;0 ;86;0.998 ;5.3 ;
923 ;0:00.55 ;2466 ;0 ;86;0.995 ;5.3 ;
923 ;0:00.56 ;2466 ;0 ;86;0.992 ;5.3 ;
923 ;0:00.57 ;2461 ;0 ;85;0.989 ;5.3 ;
923 ;0:00.58 ;2476 ;0 ;85;0.985 ;5.3 ;
923 ;0:00.59 ;2526 ;0 ;86;0.982 ;5.3 ;
923 ;0:00.60 ;2504 ;0 ;86;0.987 ;5.3 ;
923 ;0:00.61 ;2492 ;0 ;86;0.991 ;5.7 ;
923 ;0:00.62 ;2492 ;0 ;86;0.988 ;5.7 ;
923 ;0:00.63 ;2422 ;0 ;85;0.992 ;5.7 ;
923 ;0:00.64 ;2430 ;0 ;85;0.974 ;5.7 ;
923 ;0:00.65 ;2429 ;0 ;86;0.977 ;5.7 ;
923 ;0:00.66 ;2456 ;0 ;86;0.980 ;5.7 ;
923 ;0:00.67 ;2488 ;0 ;86;0.980 ;5.7 ;
923 ;0:00.68 ;2488 ;0 ;85;0.982 ;5.7 ;
923 ;0:00.69 ;2547 ;0 ;86;0.977 ;5.7 ;
923 ;0:00.70 ;2507 ;0 ;86;0.975 ;5.7 ;
923 ;0:00.71 ;2465 ;0 ;86;0.975 ;5.8 ;
923 ;0:00.72 ;2410 ;0 ;86;0.978 ;5.8 ;
923 ;0:00.73 ;2440 ;0 ;86;0.975 ;5.8 ;
923 ;0:00.74 ;2440 ;0 ;86;0.977 ;5.8 ;
923 ;0:00.75 ;2423 ;0 ;85;0.972 ;5.8 ;
923 ;0:00.76 ;2442 ;0 ;86;0.969 ;6.0 ;
923 ;0:00.77 ;2451 ;0 ;86;0.977 ;6.0 ;
923 ;0:00.78 ;2502 ;0 ;86;0.975 ;6.0 ;
923 ;0:00.79 ;2502 ;0 ;86;0.979 ;6.0 ;
923 ;0:00.80 ;2473 ;0 ;86;0.984 ;6.0 ;
923 ;0:00.81 ;2455 ;0 ;86;0.982 ;6.3 ;
923 ;0:00.82 ;2414 ;0 ;86;0.983 ;6.3 ;
923 ;0:00.83 ;2445 ;0 ;86;0.987 ;6.3 ;
923 ;0:00.84 ;2445 ;0 ;86;0.987 ;6.3 ;
923 ;0:00.85 ;2432 ;0 ;85;0.986 ;6.3 ;
923 ;0:00.86 ;2441 ;0 ;85;0.983 ;6.5 ;
923 ;0:00.87 ;2437 ;0 ;86;0.979 ;6.5 ;
923 ;0:00.88 ;2482 ;0 ;86;0.997 ;6.5 ;
923 ;0:00.89 ;2474 ;0 ;86;0.996 ;6.5 ;
923 ;0:00.90 ;2474 ;0 ;85;0.999 ;6.5 ;
923 ;0:00.91 ;2481 ;0 ;85;0.996 ;6.8 ;
923 ;0:00.92 ;2462 ;0 ;85;0.990 ;6.8 ;
923 ;0:00.93 ;2501 ;0 ;86;0.996 ;6.8 ;
923 ;0:00.94 ;2472 ;0 ;86;0.996 ;6.8 ;
923 ;0:00.95 ;2472 ;0 ;86;1.000 ;6.8 ;
923 ;0:00.96 ;2484 ;0 ;85;0.996 ;6.8 ;
923 ;0:00.97 ;2462 ;0 ;85;0.997 ;6.8 ;
923 ;0:00.98 ;2493 ;0 ;86;0.987 ;6.8 ;
923 ;0:00.99 ;2484 ;0 ;86;0.997 ;6.8 ;
923 ;0:01.00 ;2489 ;0 ;86;0.998 ;6.9 ;
923 ;0:01.01 ;2489 ;0 ;86;0.997 ;6.9 ;
923 ;0:01.02 ;2473 ;0 ;85;0.999 ;6.9 ;
923 ;0:01.03 ;2511 ;0 ;85;0.992 ;6.9 ;
923 ;0:01.04 ;2474 ;0 ;86;0.992 ;7.1 ;
923 ;0:01.05 ;2468 ;0 ;86;0.992 ;7.1 ;
923 ;0:01.06 ;2476 ;0 ;85;0.997 ;7.1 ;
923 ;0:01.07 ;2476 ;0 ;85;0.993 ;7.1 ;
923 ;0:01.08 ;2526 ;0 ;85;0.996 ;7.4 ;
923 ;0:01.09 ;2510 ;0 ;85;0.990 ;7.4 ;
923 ;0:01.10 ;2506 ;0 ;86;0.986 ;7.4 ;
923 ;0:01.11 ;2486 ;0 ;86;0.995 ;7.4 ;
923 ;0:01.12 ;2522 ;0 ;85;0.993 ;7.6 ;
923 ;0:01.13 ;2522 ;0 ;86;0.991 ;7.6 ;
923 ;0:01.14 ;2509 ;0 ;85;0.986 ;7.6 ;
923 ;0:01.15 ;2513 ;0 ;85;0.987 ;7.6 ;
923 ;0:01.16 ;2514 ;0 ;86;0.979 ;7.9 ;
923 ;0:01.17 ;2552 ;0 ;86;0.988 ;7.9 ;
923 ;0:01.18 ;2515 ;0 ;86;0.989 ;7.9 ;
923 ;0:01.19 ;2515 ;0 ;86;0.988 ;7.9 ;
923 ;0:01.20 ;2489 ;0 ;85;0.990 ;7.9 ;
923 ;0:01.21 ;2449 ;0 ;85;0.991 ;7.9 ;
923 ;0:01.22 ;2478 ;0 ;86;0.990 ;7.9 ;
923 ;0:01.23 ;2486 ;0 ;86;0.992 ;7.9 ;
923 ;0:01.24 ;2526 ;0 ;86;0.998 ;8.2 ;
923 ;0:01.25 ;2526 ;0 ;85;0.995 ;8.2 ;
923 ;0:01.26 ;2496 ;0 ;85;0.996 ;8.2 ;
923 ;0:01.27 ;2520 ;0 ;85;0.993 ;8.6 ;
923 ;0:01.28 ;2472 ;0 ;86;0.986 ;8.6 ;
923 ;0:01.29 ;2431 ;0 ;86;1.005 ;8.6 ;
923 ;0:01.30 ;2429 ;0 ;86;1.007 ;8.6 ;
923 ;0:01.31 ;2429 ;0 ;85;1.011 ;8.2 ;
923 ;0:01.32 ;2482 ;0 ;85;1.006 ;8.2 ;
923 ;0:01.33 ;2497 ;0 ;85;1.005 ;8.2 ;
923 ;0:01.34 ;2510 ;0 ;86;1.004 ;8.7 ;
