SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;

952 ;0:00.01 ;2549 ;0 ;0.917 ;2.8 ;0.0 ;-100 ;
952 ;0:00.02 ;2549 ;0 ;0.920 ;2.8 ;0.0 ;-100 ;
952 ;0:00.03 ;2527 ;0 ;0.923 ;2.8 ;0.0 ;-100 ;
952 ;0:00.04 ;2506 ;0 ;0.916 ;2.8 ;0.0 ;-100 ;
952 ;0:00.05 ;2524 ;0 ;0.916 ;2.8 ;0.0 ;-100 ;
952 ;0:00.06 ;2524 ;0 ;0.918 ;2.8 ;0.0 ;-100 ;
952 ;0:00.07 ;2541 ;0 ;0.922 ;2.8 ;0.0 ;-100 ;
952 ;0:00.08 ;2541 ;0 ;0.921 ;2.8 ;0.0 ;-100 ;
952 ;0:00.09 ;2544 ;0 ;0.955 ;2.8 ;0.0 ;-100 ;
952 ;0:00.10 ;2579 ;0 ;0.954 ;2.8 ;0.0 ;-100 ;
952 ;0:00.11 ;2524 ;0 ;0.948 ;2.8 ;0.0 ;-100 ;
952 ;0:00.12 ;2512 ;0 ;0.952 ;2.8 ;0.0 ;-100 ;
952 ;0:00.13 ;2516 ;0 ;0.953 ;2.8 ;12.2 ;335 ;
952 ;0:00.14 ;2555 ;0 ;0.958 ;2.8 ;12.4 ;342 ;
952 ;0:00.15 ;2555 ;0 ;0.953 ;2.8 ;12.4 ;342 ;
952 ;0:00.16 ;2540 ;0 ;0.955 ;2.8 ;12.3 ;339 ;
952 ;0:00.17 ;2515 ;0 ;1.003 ;4.4 ;12.2 ;177 ;
952 ;0:00.18 ;2501 ;0 ;1.000 ;4.4 ;12.1 ;175 ;
952 ;0:00.19 ;2550 ;0 ;1.008 ;4.4 ;12.3 ;179 ;
952 ;0:00.20 ;2495 ;0 ;1.006 ;4.4 ;12.1 ;175 ;
952 ;0:00.21 ;2495 ;0 ;1.010 ;4.4 ;11.9 ;170 ;
952 ;0:00.22 ;2460 ;0 ;1.006 ;4.4 ;11.9 ;170 ;
952 ;0:00.23 ;2470 ;0 ;1.005 ;4.4 ;12.0 ;172 ;
952 ;0:00.24 ;2522 ;0 ;0.999 ;4.4 ;12.2 ;177 ;
952 ;0:00.25 ;2514 ;0 ;0.981 ;4.4 ;12.2 ;177 ;
952 ;0:00.26 ;2517 ;0 ;0.982 ;4.4 ;12.2 ;177 ;
952 ;0:00.27 ;2517 ;0 ;0.982 ;5.0 ;12.1 ;142 ;
952 ;0:00.28 ;2490 ;0 ;0.984 ;5.0 ;12.1 ;142 ;
952 ;0:00.29 ;2493 ;0 ;0.977 ;5.0 ;12.1 ;142 ;
952 ;0:00.30 ;2459 ;0 ;0.976 ;5.0 ;11.9 ;138 ;
952 ;0:00.31 ;2432 ;0 ;0.980 ;5.0 ;11.8 ;136 ;
952 ;0:00.32 ;2441 ;0 ;0.983 ;5.0 ;11.8 ;136 ;
952 ;0:00.33 ;2441 ;0 ;0.997 ;5.0 ;11.8 ;136 ;
952 ;0:00.34 ;2493 ;0 ;1.002 ;6.0 ;12.1 ;101 ;
952 ;0:00.35 ;2509 ;0 ;0.998 ;6.0 ;12.1 ;101 ;
952 ;0:00.36 ;2524 ;0 ;0.998 ;6.0 ;12.2 ;103 ;
952 ;0:00.37 ;2488 ;0 ;1.004 ;6.0 ;12.0 ;100 ;
952 ;0:00.38 ;2479 ;0 ;1.001 ;6.0 ;12.0 ;100 ;
952 ;0:00.39 ;2479 ;0 ;1.004 ;6.0 ;12.0 ;100 ;
952 ;0:00.40 ;2465 ;0 ;1.001 ;7.0 ;11.9 ;70 ;
952 ;0:00.41 ;2483 ;0 ;1.000 ;7.0 ;12.0 ;71 ;
952 ;0:00.42 ;2489 ;0 ;1.016 ;7.0 ;12.1 ;72 ;
952 ;0:00.43 ;2514 ;0 ;1.023 ;7.0 ;12.2 ;74 ;
952 ;0:00.44 ;2477 ;0 ;1.021 ;7.0 ;12.0 ;71 ;
952 ;0:00.45 ;2477 ;0 ;1.023 ;7.2 ;12.0 ;66 ;
952 ;0:00.46 ;2472 ;0 ;1.021 ;7.2 ;12.0 ;66 ;
952 ;0:00.47 ;2481 ;0 ;1.013 ;7.2 ;12.0 ;66 ;
952 ;0:00.48 ;2523 ;0 ;1.020 ;7.2 ;12.2 ;69 ;
952 ;0:00.49 ;2501 ;0 ;1.019 ;8.5 ;12.1 ;42 ;
952 ;0:00.50 ;2497 ;0 ;0.985 ;8.5 ;12.1 ;42 ;
952 ;0:00.51 ;2497 ;0 ;0.982 ;8.5 ;12.1 ;42 ;
952 ;0:00.52 ;2474 ;0 ;0.984 ;8.5 ;12.0 ;41 ;
952 ;0:00.53 ;2504 ;0 ;0.975 ;8.4 ;12.1 ;44 ;
952 ;0:00.54 ;2464 ;0 ;0.981 ;8.4 ;11.9 ;41 ;
952 ;0:00.55 ;2428 ;0 ;0.984 ;8.4 ;11.8 ;40 ;
952 ;0:00.56 ;2428 ;0 ;0.982 ;8.4 ;11.7 ;39 ;
952 ;0:00.57 ;2418 ;0 ;0.985 ;8.4 ;11.7 ;39 ;
952 ;0:00.58 ;2464 ;0 ;1.013 ;8.4 ;11.9 ;41 ;
952 ;0:00.59 ;2466 ;0 ;1.015 ;8.4 ;11.9 ;41 ;
952 ;0:00.60 ;2465 ;0 ;1.018 ;9.5 ;11.9 ;25 ;
952 ;0:00.61 ;2424 ;0 ;1.022 ;9.5 ;11.7 ;23 ;
952 ;0:00.62 ;2424 ;0 ;1.021 ;9.5 ;11.7 ;23 ;
952 ;0:00.63 ;2418 ;0 ;1.019 ;9.1 ;11.7 ;28 ;
952 ;0:00.64 ;2414 ;0 ;1.014 ;9.1 ;11.7 ;28 ;
952 ;0:00.65 ;2418 ;0 ;1.016 ;9.1 ;11.7 ;28 ;
952 ;0:00.66 ;2436 ;0 ;1.118 ;9.8 ;11.8 ;20 ;
952 ;0:00.67 ;2436 ;0 ;1.115 ;9.8 ;11.8 ;20 ;
952 ;0:00.68 ;2489 ;0 ;1.116 ;9.8 ;12.1 ;23 ;
952 ;0:00.69 ;2454 ;0 ;1.110 ;9.8 ;11.9 ;21 ;
952 ;0:00.70 ;2386 ;0 ;1.111 ;9.8 ;11.6 ;18 ;
952 ;0:00.71 ;2332 ;0 ;1.118 ;9.8 ;11.3 ;15 ;
952 ;0:00.72 ;2332 ;0 ;1.115 ;11.1 ;11.4 ;2 ;
952 ;0:00.73 ;2360 ;0 ;1.119 ;11.1 ;11.4 ;2 ;
