SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;

953 ;0:00.01 ;2441 ;0 ;1.071 ;6.4 ;11.8 ;84 ;
953 ;0:00.02 ;2419 ;0 ;1.079 ;6.4 ;11.7 ;82 ;
953 ;0:00.03 ;2459 ;0 ;1.076 ;6.4 ;11.9 ;85 ;
953 ;0:00.04 ;2485 ;0 ;1.092 ;6.4 ;12.0 ;87 ;
953 ;0:00.05 ;2485 ;0 ;1.087 ;6.4 ;12.0 ;87 ;
953 ;0:00.06 ;2490 ;0 ;1.083 ;6.1 ;12.1 ;98 ;
953 ;0:00.07 ;2460 ;0 ;1.088 ;6.1 ;11.9 ;95 ;
953 ;0:00.08 ;2497 ;0 ;1.088 ;6.1 ;12.1 ;98 ;
953 ;0:00.09 ;2455 ;0 ;1.092 ;6.1 ;11.9 ;95 ;
953 ;0:00.10 ;2455 ;0 ;1.089 ;6.1 ;11.7 ;91 ;
953 ;0:00.11 ;2426 ;0 ;1.091 ;7.6 ;11.7 ;53 ;
953 ;0:00.12 ;2432 ;0 ;1.105 ;7.6 ;11.8 ;55 ;
953 ;0:00.13 ;2486 ;0 ;1.115 ;7.6 ;12.0 ;57 ;
953 ;0:00.14 ;2512 ;0 ;1.116 ;7.6 ;12.2 ;60 ;
953 ;0:00.15 ;2472 ;0 ;1.114 ;7.6 ;12.0 ;57 ;
953 ;0:00.16 ;2472 ;0 ;1.119 ;7.5 ;12.0 ;60 ;
953 ;0:00.17 ;2428 ;0 ;1.109 ;7.5 ;11.8 ;57 ;
953 ;0:00.18 ;2475 ;0 ;1.113 ;7.5 ;12.0 ;60 ;
953 ;0:00.19 ;2461 ;0 ;1.113 ;7.4 ;11.9 ;60 ;
953 ;0:00.20 ;2482 ;0 ;1.115 ;7.4 ;12.0 ;62 ;
953 ;0:00.21 ;2471 ;0 ;1.111 ;7.4 ;12.0 ;62 ;
953 ;0:00.22 ;2471 ;0 ;1.111 ;7.4 ;12.0 ;62 ;
953 ;0:00.23 ;2508 ;0 ;1.105 ;8.0 ;12.1 ;51 ;
953 ;0:00.24 ;2538 ;0 ;1.109 ;8.0 ;12.3 ;53 ;
953 ;0:00.25 ;2496 ;0 ;1.113 ;8.0 ;12.1 ;51 ;
953 ;0:00.26 ;2460 ;0 ;1.111 ;8.0 ;11.9 ;48 ;
953 ;0:00.27 ;2512 ;0 ;1.115 ;8.6 ;12.2 ;41 ;
953 ;0:00.28 ;2512 ;0 ;1.115 ;8.6 ;12.2 ;41 ;
953 ;0:00.29 ;2520 ;0 ;1.112 ;8.6 ;12.2 ;41 ;
953 ;0:00.30 ;2554 ;0 ;1.114 ;8.6 ;12.4 ;44 ;
953 ;0:00.31 ;2527 ;0 ;1.118 ;8.5 ;12.2 ;43 ;
953 ;0:00.32 ;2559 ;0 ;1.119 ;8.5 ;12.4 ;45 ;
953 ;0:00.33 ;2567 ;0 ;1.118 ;8.5 ;12.4 ;45 ;
953 ;0:00.34 ;2567 ;0 ;1.120 ;9.1 ;12.4 ;36 ;
953 ;0:00.35 ;2528 ;0 ;1.112 ;9.1 ;12.2 ;34 ;
953 ;0:00.36 ;2516 ;0 ;1.113 ;9.1 ;12.2 ;34 ;
953 ;0:00.37 ;2573 ;0 ;1.116 ;9.1 ;12.5 ;37 ;
953 ;0:00.38 ;2597 ;0 ;1.120 ;9.2 ;12.6 ;36 ;
953 ;0:00.39 ;2609 ;0 ;1.117 ;9.2 ;12.6 ;36 ;
953 ;0:00.40 ;2565 ;0 ;1.118 ;9.2 ;12.4 ;34 ;
