SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;

959 ;0:00.01 ;2566 ;0 ;0.994 ;0.0 ;0.0 ;-1 ;
959 ;0:00.02 ;2553 ;0 ;1.026 ;0.0 ;0.0 ;-1 ;
959 ;0:00.03 ;2553 ;0 ;1.025 ;0.0 ;0.0 ;-1 ;
959 ;0:00.04 ;2549 ;0 ;1.028 ;0.0 ;0.0 ;-1 ;
959 ;0:00.05 ;2590 ;0 ;1.022 ;0.0 ;0.0 ;-1 ;
959 ;0:00.06 ;2612 ;0 ;1.021 ;0.0 ;0.0 ;-1 ;
959 ;0:00.07 ;2599 ;0 ;1.023 ;0.0 ;0.0 ;-1 ;
959 ;0:00.08 ;2540 ;0 ;1.027 ;0.0 ;0.0 ;-1 ;
959 ;0:00.09 ;2552 ;0 ;1.025 ;0.0 ;0.0 ;-1 ;
959 ;0:00.10 ;2552 ;0 ;0.996 ;0.0 ;0.0 ;-1 ;
959 ;0:00.11 ;2585 ;0 ;0.998 ;0.0 ;0.0 ;-1 ;
959 ;0:00.12 ;2585 ;0 ;0.992 ;0.0 ;0.0 ;-1 ;
959 ;0:00.13 ;2593 ;0 ;0.991 ;0.0 ;0.0 ;-1 ;
959 ;0:00.14 ;2636 ;0 ;0.992 ;0.0 ;0.0 ;-1 ;
959 ;0:00.15 ;2592 ;0 ;0.999 ;0.0 ;0.0 ;-1 ;
959 ;0:00.16 ;2551 ;0 ;0.996 ;0.0 ;0.0 ;-1 ;
959 ;0:00.17 ;2506 ;0 ;0.996 ;0.0 ;0.0 ;-1 ;
959 ;0:00.18 ;2506 ;0 ;0.974 ;0.0 ;0.0 ;-1 ;
959 ;0:00.19 ;2531 ;0 ;0.969 ;0.0 ;0.0 ;-1 ;
959 ;0:00.20 ;2566 ;0 ;0.966 ;0.0 ;0.0 ;-1 ;
959 ;0:00.21 ;2561 ;0 ;0.969 ;0.0 ;0.0 ;-1 ;
959 ;0:00.22 ;2556 ;0 ;0.975 ;0.0 ;0.0 ;-1 ;
959 ;0:00.23 ;2604 ;0 ;0.972 ;0.0 ;0.0 ;-1 ;
959 ;0:00.24 ;2604 ;0 ;0.974 ;0.0 ;0.0 ;-1 ;
959 ;0:00.25 ;2551 ;0 ;0.972 ;0.0 ;0.0 ;-100 ;
959 ;0:00.26 ;2516 ;0 ;1.013 ;1.9 ;0.0 ;-100 ;
959 ;0:00.27 ;2493 ;0 ;1.011 ;1.9 ;0.0 ;-100 ;
959 ;0:00.28 ;2507 ;0 ;1.014 ;1.9 ;0.0 ;-100 ;
959 ;0:00.29 ;2538 ;0 ;1.019 ;1.9 ;0.0 ;-100 ;
959 ;0:00.30 ;2539 ;0 ;1.016 ;1.9 ;0.0 ;-100 ;
959 ;0:00.31 ;2539 ;0 ;1.018 ;1.9 ;0.0 ;-100 ;
959 ;0:00.32 ;2512 ;0 ;1.012 ;1.9 ;0.0 ;-100 ;
959 ;0:00.33 ;2545 ;0 ;1.010 ;1.9 ;0.0 ;-100 ;
959 ;0:00.34 ;2516 ;0 ;1.101 ;1.9 ;0.0 ;-100 ;
959 ;0:00.35 ;2496 ;0 ;1.102 ;1.9 ;0.0 ;-100 ;
959 ;0:00.36 ;2466 ;0 ;1.105 ;1.9 ;0.0 ;-100 ;
959 ;0:00.37 ;2466 ;0 ;1.103 ;1.9 ;0.0 ;-100 ;
959 ;0:00.38 ;2496 ;0 ;1.104 ;1.9 ;0.0 ;-100 ;
959 ;0:00.39 ;2511 ;0 ;1.094 ;1.9 ;0.0 ;-100 ;
959 ;0:00.40 ;2511 ;0 ;1.103 ;1.9 ;0.0 ;-100 ;
959 ;0:00.41 ;2500 ;0 ;1.102 ;1.9 ;0.0 ;-100 ;
959 ;0:00.42 ;2537 ;0 ;1.090 ;1.9 ;0.0 ;-100 ;
959 ;0:00.43 ;2537 ;0 ;1.050 ;1.9 ;0.0 ;-100 ;
959 ;0:00.44 ;2535 ;0 ;1.048 ;1.9 ;0.0 ;-100 ;
959 ;0:00.45 ;2547 ;0 ;1.045 ;1.9 ;0.0 ;-100 ;
959 ;0:00.46 ;2508 ;0 ;1.044 ;1.9 ;0.0 ;-100 ;
959 ;0:00.47 ;2535 ;0 ;1.052 ;1.9 ;0.0 ;-100 ;
959 ;0:00.48 ;2518 ;0 ;1.049 ;1.9 ;0.0 ;-100 ;
