SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;

960 ;0:00.01 ;2475 ;0 ;0.996 ;0.0 ;0.0 ;-1 ;
960 ;0:00.02 ;2457 ;0 ;0.996 ;0.0 ;0.0 ;-1 ;
960 ;0:00.03 ;2457 ;0 ;0.995 ;0.0 ;0.0 ;-1 ;
960 ;0:00.04 ;2440 ;0 ;0.982 ;0.0 ;0.0 ;-1 ;
960 ;0:00.05 ;2483 ;0 ;0.982 ;0.0 ;0.0 ;-1 ;
960 ;0:00.06 ;2484 ;0 ;0.975 ;0.0 ;0.0 ;-1 ;
960 ;0:00.07 ;2474 ;0 ;0.983 ;0.0 ;0.0 ;-1 ;
960 ;0:00.08 ;2439 ;0 ;0.986 ;0.0 ;0.0 ;-1 ;
960 ;0:00.09 ;2439 ;0 ;0.983 ;0.0 ;0.0 ;-1 ;
960 ;0:00.10 ;2452 ;0 ;0.986 ;0.0 ;0.0 ;-1 ;
960 ;0:00.11 ;2414 ;0 ;0.975 ;0.0 ;0.0 ;-1 ;
960 ;0:00.12 ;2421 ;0 ;0.984 ;0.0 ;0.0 ;-1 ;
960 ;0:00.13 ;2436 ;0 ;0.982 ;0.0 ;0.0 ;-1 ;
960 ;0:00.14 ;2436 ;0 ;0.984 ;0.0 ;0.0 ;-1 ;
960 ;0:00.15 ;2484 ;0 ;0.984 ;0.0 ;0.0 ;-1 ;
960 ;0:00.16 ;2480 ;0 ;0.978 ;0.0 ;0.0 ;-1 ;
960 ;0:00.17 ;2455 ;0 ;0.977 ;0.0 ;0.0 ;-1 ;
960 ;0:00.18 ;2401 ;0 ;0.982 ;0.0 ;0.0 ;-1 ;
960 ;0:00.19 ;2418 ;0 ;0.986 ;0.0 ;0.0 ;-1 ;
960 ;0:00.20 ;2418 ;0 ;0.981 ;0.0 ;0.0 ;-1 ;
960 ;0:00.21 ;2418 ;0 ;0.983 ;0.0 ;0.0 ;-1 ;
960 ;0:00.22 ;2427 ;0 ;0.974 ;0.0 ;0.0 ;-1 ;
