SESSION; TIME;RPM;THROT;MAP;LAMB;L U SP;INJ;INJ %;

1000 ;0:00.01 ;2542 ;0 ;83;1.010 ;1.8 ;3.04 ;7 ;
1000 ;0:00.02 ;2561 ;0 ;83;1.004 ;1.8 ;3.03 ;7 ;
1000 ;0:00.03 ;2561 ;0 ;82;1.003 ;1.8 ;3.03 ;7 ;
1000 ;0:00.04 ;2573 ;0 ;82;1.000 ;1.8 ;3.02 ;7 ;
1000 ;0:00.05 ;2599 ;0 ;82;1.000 ;1.8 ;3.00 ;7 ;
1000 ;0:00.06 ;2653 ;0 ;82;0.992 ;1.8 ;2.96 ;7 ;
1000 ;0:00.07 ;2629 ;0 ;82;0.999 ;1.8 ;2.98 ;7 ;
1000 ;0:00.08 ;2600 ;0 ;82;1.000 ;1.8 ;3.00 ;7 ;
1000 ;0:00.09 ;2595 ;0 ;82;1.000 ;1.8 ;3.00 ;7 ;
1000 ;0:00.10 ;2595 ;0 ;82;1.002 ;1.8 ;2.98 ;7 ;
1000 ;0:00.11 ;2628 ;0 ;81;1.001 ;1.8 ;2.98 ;7 ;
1000 ;0:00.12 ;2659 ;0 ;81;1.003 ;1.8 ;2.95 ;7 ;
1000 ;0:00.13 ;2672 ;0 ;81;0.998 ;1.8 ;2.94 ;7 ;
1000 ;0:00.14 ;2697 ;0 ;81;0.999 ;1.8 ;2.93 ;7 ;
1000 ;0:00.15 ;2741 ;0 ;81;0.995 ;1.8 ;2.89 ;7 ;
1000 ;0:00.16 ;2723 ;0 ;81;1.000 ;1.8 ;2.91 ;7 ;
1000 ;0:00.17 ;2711 ;0 ;81;1.001 ;1.8 ;2.91 ;7 ;
1000 ;0:00.18 ;2704 ;0 ;81;1.001 ;1.8 ;2.92 ;7 ;
1000 ;0:00.19 ;2704 ;0 ;81;0.997 ;1.8 ;2.90 ;7 ;
1000 ;0:00.20 ;2733 ;0 ;81;0.994 ;1.8 ;2.90 ;7 ;
1000 ;0:00.21 ;2765 ;0 ;80;0.998 ;1.8 ;2.87 ;7 ;
1000 ;0:00.22 ;2753 ;0 ;80;0.994 ;1.8 ;2.88 ;7 ;
1000 ;0:00.23 ;2750 ;0 ;80;0.997 ;3.1 ;2.88 ;7 ;
1000 ;0:00.24 ;2795 ;0 ;80;0.990 ;3.1 ;2.85 ;7 ;
1000 ;0:00.25 ;2794 ;0 ;80;0.990 ;3.1 ;2.85 ;7 ;
1000 ;0:00.26 ;2789 ;0 ;80;0.989 ;3.1 ;2.86 ;7 ;
1000 ;0:00.27 ;2789 ;0 ;80;0.985 ;3.1 ;2.86 ;7 ;
1000 ;0:00.28 ;2829 ;0 ;80;0.990 ;3.1 ;2.82 ;7 ;
1000 ;0:00.29 ;2854 ;0 ;80;0.988 ;3.1 ;2.81 ;7 ;
1000 ;0:00.30 ;2834 ;0 ;80;0.992 ;3.1 ;2.82 ;7 ;
1000 ;0:00.31 ;2836 ;0 ;80;0.988 ;3.1 ;2.82 ;7 ;
1000 ;0:00.32 ;2889 ;0 ;80;0.992 ;3.1 ;2.78 ;6 ;
1000 ;0:00.33 ;2902 ;0 ;80;0.989 ;3.1 ;2.78 ;6 ;
1000 ;0:00.34 ;2902 ;0 ;79;0.990 ;3.1 ;2.78 ;6 ;
1000 ;0:00.35 ;2900 ;0 ;79;0.994 ;3.1 ;2.78 ;6 ;
1000 ;0:00.36 ;2905 ;0 ;79;0.992 ;3.1 ;2.78 ;6 ;
