SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;LAMB %;TRAC %;VOLTS;SLIP%;INJ;ADV;INJ %;

1039 ;0:00.10 ;2467 ;0 ;91;31;84;0.909 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.05 ;7.0 ;7 ;
1039 ;0:00.20 ;2421 ;0 ;91;31;85;0.912 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.07 ;7.0 ;7 ;
1039 ;0:00.30 ;2437 ;0 ;91;31;85;0.933 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.06 ;7.0 ;7 ;
1039 ;0:00.40 ;2384 ;0 ;91;31;85;0.922 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.09 ;7.0 ;7 ;
1039 ;0:00.50 ;2365 ;0 ;91;31;85;0.901 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.11 ;7.0 ;7 ;
1039 ;0:00.60 ;2356 ;0 ;91;31;85;0.898 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.11 ;7.0 ;7 ;
1039 ;0:00.70 ;2309 ;0 ;91;31;84;0.905 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;3.14 ;7.0 ;7 ;
1039 ;0:00.80 ;2356 ;0 ;91;31;84;0.914 ;0.0 ;0.0 ;0.0 ;0 ;12.2 ;0 ;3.11 ;7.0 ;7 ;
1039 ;0:00.90 ;2335 ;0 ;91;31;84;0.925 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.12 ;7.0 ;7 ;
1039 ;0:01.00 ;2361 ;0 ;91;31;84;0.957 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.11 ;7.0 ;7 ;
1039 ;0:01.10 ;2358 ;0 ;91;31;84;0.961 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.11 ;7.0 ;7 ;
1039 ;0:01.20 ;2364 ;0 ;91;31;85;0.919 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.11 ;7.0 ;7 ;
1039 ;0:01.30 ;2378 ;0 ;91;31;85;0.933 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.10 ;7.0 ;7 ;
1039 ;0:01.40 ;2302 ;0 ;91;31;85;0.930 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.14 ;7.0 ;7 ;
1039 ;0:01.50 ;2346 ;0 ;91;31;85;0.924 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.12 ;7.0 ;7 ;
1039 ;0:01.60 ;2340 ;0 ;91;31;85;0.942 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.12 ;7.0 ;7 ;
1039 ;0:01.70 ;2334 ;0 ;91;31;85;0.926 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.12 ;7.0 ;7 ;
1039 ;0:01.80 ;2331 ;0 ;91;31;85;0.913 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.13 ;7.0 ;7 ;
1039 ;0:01.90 ;2302 ;0 ;91;31;85;0.939 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.14 ;7.0 ;7 ;
1039 ;0:02.00 ;2327 ;0 ;91;31;85;0.941 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.13 ;7.0 ;7 ;
1039 ;0:02.10 ;2358 ;0 ;91;31;84;0.919 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.11 ;7.0 ;7 ;
1039 ;0:02.20 ;2393 ;0 ;91;31;84;0.937 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.09 ;7.0 ;7 ;
1039 ;0:02.30 ;2415 ;0 ;91;31;84;0.976 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;3.08 ;7.0 ;7 ;
1039 ;0:02.40 ;2444 ;0 ;91;31;84;0.963 ;0.0 ;0.0 ;0.0 ;0 ;12.2 ;0 ;3.06 ;7.0 ;7 ;
1039 ;0:02.50 ;2414 ;0 ;91;31;84;0.944 ;0.0 ;0.0 ;0.0 ;0 ;12.2 ;0 ;3.08 ;7.0 ;7 ;
1039 ;0:02.60 ;2390 ;0 ;91;31;84;0.930 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.09 ;7.0 ;7 ;
1039 ;0:02.70 ;2420 ;0 ;91;31;84;0.922 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.07 ;7.0 ;7 ;
1039 ;0:02.80 ;2401 ;0 ;91;31;84;0.932 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.08 ;7.0 ;7 ;
1039 ;0:02.90 ;2419 ;0 ;90;31;84;0.926 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.07 ;7.0 ;7 ;
1039 ;0:03.00 ;2442 ;0 ;90;31;84;0.947 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.06 ;7.0 ;7 ;
1039 ;0:03.10 ;2442 ;0 ;90;31;84;0.950 ;0.0 ;0.0 ;0.0 ;0 ;12.2 ;0 ;3.06 ;7.0 ;7 ;
1039 ;0:03.20 ;2451 ;0 ;90;31;84;0.943 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.06 ;7.0 ;7 ;
1039 ;0:03.30 ;2423 ;0 ;90;31;85;0.957 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;3.07 ;7.0 ;7 ;
1039 ;0:03.40 ;2407 ;0 ;90;31;85;0.985 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;3.08 ;7.0 ;7 ;
1039 ;0:03.50 ;2372 ;0 ;90;31;85;0.987 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.10 ;7.0 ;7 ;
1039 ;0:03.60 ;2269 ;0 ;90;31;85;0.980 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.16 ;7.0 ;7 ;
1039 ;0:03.70 ;2311 ;0 ;90;31;85;1.013 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.14 ;7.0 ;7 ;
1039 ;0:03.80 ;2374 ;0 ;90;31;85;1.003 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.11 ;7.0 ;7 ;
1039 ;0:03.90 ;2363 ;0 ;90;31;84;0.968 ;0.0 ;0.0 ;0.0 ;0 ;12.2 ;0 ;3.11 ;7.0 ;7 ;
1039 ;0:04.00 ;2302 ;0 ;90;31;84;0.966 ;0.0 ;0.0 ;0.0 ;0 ;12.2 ;0 ;3.14 ;7.0 ;7 ;
1039 ;0:04.10 ;2383 ;0 ;90;31;84;0.998 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.10 ;7.0 ;7 ;
1039 ;0:04.20 ;2360 ;0 ;90;31;84;0.984 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.11 ;7.0 ;7 ;
1039 ;0:04.30 ;2415 ;0 ;90;31;84;0.956 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.08 ;7.0 ;7 ;
1039 ;0:04.40 ;2395 ;0 ;90;31;84;0.980 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.09 ;7.0 ;7 ;
1039 ;0:04.50 ;2391 ;0 ;90;31;83;1.005 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.09 ;7.0 ;7 ;
1039 ;0:04.60 ;2436 ;0 ;90;31;83;0.992 ;0.0 ;0.0 ;0.0 ;0 ;12.2 ;0 ;3.06 ;7.0 ;7 ;
1039 ;0:04.70 ;2474 ;0 ;90;31;83;0.984 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.04 ;7.0 ;7 ;
1039 ;0:04.80 ;2553 ;0 ;90;31;84;0.984 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;2.99 ;7.0 ;7 ;
1039 ;0:04.90 ;2467 ;0 ;90;31;83;0.977 ;0.0 ;0.0 ;0.0 ;0 ;12.2 ;0 ;3.05 ;7.0 ;7 ;
1039 ;0:05.00 ;2505 ;0 ;90;31;84;0.959 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.03 ;7.0 ;7 ;
