SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;LAMB %;TRAC %;VOLTS;SLIP%;INJ;ADV;INJ %;

1040 ;0:00.10 ;2516 ;0 ;93;32;84;0.979 ;0.0 ;0.0 ;0.0 ;0 ;10.5 ;0 ;3.02 ;7.0 ;7 ;
1040 ;0:00.20 ;2474 ;0 ;93;32;84;0.980 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;3.05 ;7.0 ;7 ;
1040 ;0:00.30 ;2422 ;0 ;93;32;84;0.970 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.07 ;7.0 ;7 ;
1040 ;0:00.40 ;2437 ;0 ;93;32;84;1.024 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.06 ;7.0 ;7 ;
1040 ;0:00.50 ;2369 ;0 ;93;32;85;1.009 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.10 ;7.0 ;7 ;
1040 ;0:00.60 ;2348 ;0 ;93;32;84;0.984 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.12 ;7.0 ;7 ;
1040 ;0:00.70 ;2308 ;0 ;93;32;84;0.972 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.14 ;7.0 ;7 ;
1040 ;0:00.80 ;2335 ;0 ;93;32;84;0.953 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.12 ;7.0 ;7 ;
1040 ;0:00.90 ;2372 ;0 ;93;32;84;0.931 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.10 ;7.0 ;7 ;
1040 ;0:01.00 ;2376 ;0 ;93;32;84;0.972 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.10 ;7.0 ;7 ;
1040 ;0:01.10 ;2450 ;0 ;93;32;83;1.005 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;3.06 ;7.0 ;7 ;
1040 ;0:01.20 ;2525 ;0 ;93;32;83;0.941 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;3.02 ;7.0 ;7 ;
1040 ;0:01.30 ;2565 ;0 ;93;32;82;0.943 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;2.99 ;7.0 ;7 ;
1040 ;0:01.40 ;2624 ;0 ;93;32;81;0.984 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;2.94 ;7.0 ;7 ;
1040 ;0:01.50 ;2608 ;0 ;93;32;80;1.009 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;2.95 ;7.0 ;7 ;
1040 ;0:01.60 ;2652 ;0 ;93;32;79;0.987 ;0.0 ;0.0 ;0.0 ;0 ;12.2 ;0 ;2.92 ;7.0 ;7 ;
1040 ;0:01.70 ;3126 ;0 ;93;32;77;1.045 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;2.64 ;10.1 ;6 ;
1040 ;0:01.80 ;3121 ;0 ;93;32;77;1.009 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;2.64 ;10.1 ;6 ;
1040 ;0:01.90 ;3140 ;0 ;93;32;78;0.948 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;2.64 ;10.1 ;6 ;
1040 ;0:02.00 ;2892 ;0 ;93;32;80;0.933 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;2.74 ;7.0 ;6 ;
1040 ;0:02.10 ;2713 ;0 ;93;32;79;0.932 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;2.87 ;7.0 ;7 ;
1040 ;0:02.20 ;2814 ;0 ;93;32;78;0.929 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;2.80 ;7.0 ;7 ;
1040 ;0:02.30 ;3000 ;0 ;93;32;77;0.969 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;2.66 ;10.0 ;6 ;
1040 ;0:02.40 ;3115 ;0 ;93;32;77;0.975 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;2.64 ;10.1 ;6 ;
1040 ;0:02.50 ;3138 ;0 ;93;32;76;0.941 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;2.64 ;10.1 ;6 ;
1040 ;0:02.60 ;3094 ;0 ;93;32;76;0.912 ;0.0 ;0.0 ;0.0 ;0 ;12.5 ;0 ;2.65 ;10.0 ;6 ;
1040 ;0:02.70 ;3118 ;0 ;93;32;76;0.927 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;2.64 ;10.1 ;6 ;
1040 ;0:02.80 ;3209 ;0 ;93;32;76;1.003 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;2.62 ;10.2 ;7 ;
1040 ;0:02.90 ;3142 ;0 ;93;32;76;1.011 ;0.0 ;0.0 ;0.0 ;0 ;11.4 ;0 ;2.64 ;10.1 ;6 ;
1040 ;0:03.00 ;3153 ;0 ;93;32;76;1.053 ;0.0 ;0.0 ;0.0 ;0 ;11.6 ;0 ;2.63 ;10.1 ;6 ;
1040 ;0:03.10 ;3183 ;0 ;93;32;75;1.092 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;2.63 ;10.1 ;7 ;
1040 ;0:03.20 ;3463 ;0 ;93;32;74;1.047 ;0.0 ;0.0 ;0.0 ;0 ;12.6 ;0 ;2.57 ;10.4 ;7 ;
1040 ;0:03.30 ;3707 ;0 ;93;32;74;0.971 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;2.52 ;10.7 ;7 ;
1040 ;0:03.40 ;3689 ;0 ;93;32;76;1.033 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;2.53 ;10.6 ;7 ;
1040 ;0:03.50 ;3429 ;0 ;93;32;79;1.002 ;0.0 ;0.0 ;0.0 ;0 ;11.6 ;0 ;2.58 ;10.3 ;7 ;
1040 ;0:03.60 ;2580 ;0 ;93;32;81;0.989 ;0.0 ;0.0 ;0.0 ;0 ;11.6 ;0 ;2.97 ;7.0 ;7 ;
1040 ;0:03.70 ;2654 ;0 ;93;32;79;1.018 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;2.92 ;7.0 ;7 ;
1040 ;0:03.80 ;2760 ;0 ;93;32;78;1.036 ;0.0 ;0.0 ;0.0 ;0 ;12.2 ;0 ;2.84 ;7.0 ;7 ;
