SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;LAMB %;TRAC %;VOLTS;SLIP%;INJ;ADV;INJ %;

1041 ;0:00.10 ;2392 ;0 ;86;32;85;0.880 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;3.09 ;7.0 ;7 ;
1041 ;0:00.20 ;2398 ;0 ;87;32;84;0.879 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;3.09 ;7.0 ;7 ;
1041 ;0:00.30 ;2426 ;0 ;87;32;84;0.896 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.07 ;7.0 ;7 ;
1041 ;0:00.40 ;2444 ;0 ;87;32;84;0.908 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;3.06 ;7.0 ;7 ;
1041 ;0:00.50 ;2471 ;0 ;86;32;84;0.905 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.05 ;7.0 ;7 ;
1041 ;0:00.60 ;2484 ;0 ;86;32;83;0.886 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.04 ;7.0 ;7 ;
1041 ;0:00.70 ;2492 ;0 ;87;32;83;0.890 ;0.0 ;0.0 ;0.0 ;0 ;12.2 ;0 ;3.04 ;7.0 ;7 ;
1041 ;0:00.80 ;2455 ;0 ;87;32;84;0.896 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.06 ;7.0 ;7 ;
1041 ;0:00.90 ;2462 ;0 ;87;32;84;0.882 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;3.06 ;7.0 ;7 ;
1041 ;0:01.00 ;2437 ;0 ;87;32;84;0.881 ;0.0 ;0.0 ;0.0 ;0 ;12.0 ;0 ;3.06 ;7.0 ;7 ;
1041 ;0:01.10 ;2438 ;0 ;87;32;84;0.886 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.05 ;7.0 ;7 ;
1041 ;0:01.20 ;2443 ;0 ;87;32;84;0.875 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.06 ;7.0 ;7 ;
1041 ;0:01.30 ;2451 ;0 ;87;32;84;0.873 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.06 ;7.0 ;7 ;
1041 ;0:01.40 ;2416 ;0 ;87;32;84;0.877 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;3.08 ;7.0 ;7 ;
1041 ;0:01.50 ;2399 ;0 ;87;32;84;0.883 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.09 ;7.0 ;7 ;
1041 ;0:01.60 ;2415 ;0 ;87;32;84;0.889 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;3.08 ;7.0 ;7 ;
1041 ;0:01.70 ;2385 ;0 ;87;32;85;0.895 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.09 ;7.0 ;7 ;
1041 ;0:01.80 ;2361 ;0 ;87;32;85;0.881 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;3.11 ;7.0 ;7 ;
1041 ;0:01.90 ;2345 ;0 ;87;32;85;0.874 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;3.12 ;7.0 ;7 ;
1041 ;0:02.00 ;2371 ;0 ;87;32;85;0.879 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.10 ;7.0 ;7 ;
1041 ;0:02.10 ;2398 ;0 ;87;32;84;0.883 ;0.0 ;0.0 ;0.0 ;0 ;12.4 ;0 ;3.09 ;7.0 ;7 ;
1041 ;0:02.20 ;2414 ;0 ;87;32;85;0.890 ;0.0 ;0.0 ;0.0 ;0 ;12.3 ;0 ;3.08 ;7.0 ;7 ;
