SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;INJ;

1065 ;0:00.01 ;2517 ;0 ;0.941 ;11.4 ;0.0 ;3.39 ;
1065 ;0:00.02 ;2546 ;0 ;0.941 ;11.4 ;0.0 ;3.36 ;
1065 ;0:00.03 ;2481 ;0 ;0.941 ;11.0 ;0.0 ;3.41 ;
1065 ;0:00.04 ;2460 ;0 ;0.941 ;11.0 ;0.0 ;3.41 ;
1065 ;0:00.05 ;2419 ;0 ;0.942 ;11.6 ;0.0 ;3.41 ;
1065 ;0:00.06 ;2419 ;0 ;0.942 ;11.6 ;0.0 ;3.41 ;
1065 ;0:00.07 ;2426 ;0 ;0.943 ;11.6 ;0.0 ;3.41 ;
1065 ;0:00.08 ;2429 ;0 ;0.943 ;11.9 ;0.0 ;3.41 ;
1065 ;0:00.09 ;2447 ;0 ;0.944 ;11.9 ;0.0 ;3.41 ;
1065 ;0:00.10 ;2464 ;0 ;0.945 ;11.9 ;0.0 ;3.41 ;
1065 ;0:00.11 ;2516 ;0 ;0.945 ;11.5 ;0.0 ;3.39 ;
1065 ;0:00.12 ;2516 ;0 ;0.945 ;11.5 ;0.0 ;3.39 ;
1065 ;0:00.13 ;2465 ;0 ;0.946 ;12.2 ;0.0 ;3.41 ;
1065 ;0:00.14 ;2427 ;0 ;0.945 ;12.2 ;0.0 ;3.41 ;
1065 ;0:00.15 ;2387 ;0 ;0.946 ;12.2 ;0.0 ;3.42 ;
1065 ;0:00.16 ;2393 ;0 ;0.943 ;12.3 ;0.0 ;3.42 ;
1065 ;0:00.17 ;2393 ;0 ;0.940 ;12.3 ;0.0 ;3.42 ;
1065 ;0:00.18 ;2419 ;0 ;0.937 ;11.9 ;0.0 ;3.41 ;
1065 ;0:00.19 ;2422 ;0 ;0.933 ;11.9 ;0.0 ;3.41 ;
1065 ;0:00.20 ;2414 ;0 ;0.930 ;12.8 ;0.0 ;3.41 ;
1065 ;0:00.21 ;2451 ;0 ;0.926 ;12.8 ;0.0 ;3.41 ;
1065 ;0:00.22 ;2451 ;0 ;0.923 ;12.8 ;0.0 ;3.41 ;
1065 ;0:00.23 ;2409 ;0 ;0.919 ;12.1 ;0.0 ;3.41 ;
1065 ;0:00.24 ;2409 ;0 ;0.916 ;12.1 ;0.0 ;3.41 ;
1065 ;0:00.25 ;2393 ;0 ;0.912 ;13.0 ;0.0 ;3.42 ;
1065 ;0:00.26 ;2419 ;0 ;0.909 ;13.0 ;0.0 ;3.41 ;
1065 ;0:00.27 ;2419 ;0 ;0.905 ;12.3 ;0.0 ;3.41 ;
1065 ;0:00.28 ;2424 ;0 ;0.902 ;12.3 ;0.0 ;3.41 ;
1065 ;0:00.29 ;2427 ;0 ;0.902 ;12.3 ;0.0 ;3.41 ;
1065 ;0:00.30 ;2427 ;0 ;0.902 ;13.1 ;0.0 ;3.41 ;
1065 ;0:00.31 ;2469 ;0 ;0.903 ;13.1 ;0.0 ;3.41 ;
1065 ;0:00.32 ;2469 ;0 ;0.903 ;12.9 ;0.0 ;3.41 ;
1065 ;0:00.33 ;2428 ;0 ;0.906 ;12.9 ;0.0 ;3.41 ;
1065 ;0:00.34 ;2392 ;0 ;0.909 ;13.3 ;0.0 ;3.42 ;
1065 ;0:00.35 ;2376 ;0 ;0.912 ;13.3 ;0.0 ;3.42 ;
1065 ;0:00.36 ;2411 ;0 ;0.915 ;13.3 ;0.0 ;3.41 ;
1065 ;0:00.37 ;2411 ;0 ;0.918 ;13.4 ;0.0 ;3.41 ;
1065 ;0:00.38 ;2424 ;0 ;0.921 ;13.4 ;0.0 ;3.41 ;
1065 ;0:00.39 ;2454 ;0 ;0.924 ;13.3 ;0.0 ;3.41 ;
