SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;INJ;

1059 ;0:00.01 ;2552 ;0 ;0.948 ;1.6 ;0.0 ;3.11 ;
1059 ;0:00.02 ;2549 ;0 ;0.950 ;1.6 ;0.0 ;3.11 ;
1059 ;0:00.03 ;2549 ;0 ;0.950 ;1.6 ;0.0 ;3.11 ;
1059 ;0:00.04 ;2597 ;0 ;0.950 ;1.6 ;0.0 ;3.07 ;
1059 ;0:00.05 ;2575 ;0 ;0.951 ;1.6 ;0.0 ;3.09 ;
1059 ;0:00.06 ;2560 ;0 ;0.949 ;1.6 ;0.0 ;3.10 ;
1059 ;0:00.07 ;2535 ;0 ;0.945 ;1.6 ;0.0 ;3.12 ;
1059 ;0:00.08 ;2563 ;0 ;0.942 ;1.6 ;0.0 ;3.10 ;
1059 ;0:00.09 ;2543 ;0 ;0.938 ;1.6 ;0.0 ;3.11 ;
1059 ;0:00.10 ;2543 ;0 ;0.932 ;1.6 ;0.0 ;3.11 ;
1059 ;0:00.11 ;2538 ;0 ;0.924 ;1.6 ;0.0 ;3.12 ;
1059 ;0:00.12 ;2532 ;0 ;0.916 ;1.6 ;0.0 ;3.12 ;
1059 ;0:00.13 ;2552 ;0 ;0.908 ;1.6 ;0.0 ;3.11 ;
1059 ;0:00.14 ;2563 ;0 ;0.901 ;1.6 ;0.0 ;3.10 ;
1059 ;0:00.15 ;2545 ;0 ;0.897 ;1.6 ;0.0 ;3.11 ;
1059 ;0:00.16 ;2534 ;0 ;0.893 ;1.6 ;0.0 ;3.12 ;
1059 ;0:00.17 ;2534 ;0 ;0.889 ;1.6 ;0.0 ;3.12 ;
1059 ;0:00.18 ;2566 ;0 ;0.885 ;2.4 ;0.0 ;3.09 ;
1059 ;0:00.19 ;2507 ;0 ;0.882 ;2.4 ;0.0 ;3.14 ;
1059 ;0:00.20 ;2473 ;0 ;0.878 ;2.4 ;0.0 ;3.16 ;
1059 ;0:00.21 ;2479 ;0 ;0.875 ;2.4 ;0.0 ;3.16 ;
1059 ;0:00.22 ;2518 ;0 ;0.872 ;2.4 ;0.0 ;3.13 ;
1059 ;0:00.23 ;2518 ;0 ;0.872 ;2.4 ;0.0 ;3.13 ;
1059 ;0:00.24 ;2536 ;0 ;0.873 ;2.4 ;0.0 ;3.12 ;
1059 ;0:00.25 ;2514 ;0 ;0.874 ;2.4 ;0.0 ;3.13 ;
1059 ;0:00.26 ;2451 ;0 ;0.875 ;2.4 ;0.0 ;3.17 ;
1059 ;0:00.27 ;2456 ;0 ;0.875 ;2.4 ;0.0 ;3.17 ;
1059 ;0:00.28 ;2442 ;0 ;0.876 ;2.4 ;0.0 ;3.18 ;
1059 ;0:00.29 ;2442 ;0 ;0.877 ;2.4 ;0.0 ;3.18 ;
1059 ;0:00.30 ;2466 ;0 ;0.878 ;2.4 ;0.0 ;3.17 ;
1059 ;0:00.31 ;2480 ;0 ;0.878 ;2.4 ;0.0 ;3.16 ;
1059 ;0:00.32 ;2512 ;0 ;0.878 ;2.4 ;0.0 ;3.14 ;
1059 ;0:00.33 ;2486 ;0 ;0.878 ;2.4 ;0.0 ;3.15 ;
1059 ;0:00.34 ;2475 ;0 ;0.878 ;2.4 ;0.0 ;3.16 ;
1059 ;0:00.35 ;2475 ;0 ;0.883 ;2.4 ;0.0 ;3.16 ;
1059 ;0:00.36 ;2474 ;0 ;0.887 ;2.4 ;0.0 ;3.16 ;
1059 ;0:00.37 ;2514 ;0 ;0.892 ;3.4 ;0.0 ;3.13 ;
1059 ;0:00.38 ;2504 ;0 ;0.896 ;3.4 ;0.0 ;3.14 ;
1059 ;0:00.39 ;2508 ;0 ;0.901 ;3.4 ;0.0 ;3.14 ;
1059 ;0:00.40 ;2508 ;0 ;0.905 ;3.4 ;0.0 ;3.16 ;
1059 ;0:00.41 ;2480 ;0 ;0.909 ;3.4 ;0.0 ;3.16 ;
1059 ;0:00.42 ;2501 ;0 ;0.913 ;3.4 ;0.0 ;3.14 ;
1059 ;0:00.43 ;2475 ;0 ;0.914 ;3.4 ;0.0 ;3.16 ;
1059 ;0:00.44 ;2461 ;0 ;0.912 ;3.4 ;0.0 ;3.17 ;
1059 ;0:00.45 ;2483 ;0 ;0.911 ;3.4 ;0.0 ;3.16 ;
1059 ;0:00.46 ;2483 ;0 ;0.909 ;3.4 ;0.0 ;3.11 ;
1059 ;0:00.47 ;2542 ;0 ;0.906 ;3.4 ;0.0 ;3.11 ;
1059 ;0:00.48 ;2500 ;0 ;0.900 ;3.6 ;0.0 ;3.14 ;
1059 ;0:00.49 ;2459 ;0 ;0.895 ;3.6 ;0.0 ;3.17 ;
1059 ;0:00.50 ;2436 ;0 ;0.889 ;3.6 ;0.0 ;3.18 ;
1059 ;0:00.51 ;2478 ;0 ;0.884 ;3.6 ;0.0 ;3.16 ;
1059 ;0:00.52 ;2478 ;0 ;0.880 ;3.6 ;0.0 ;3.16 ;
1059 ;0:00.53 ;2497 ;0 ;0.877 ;3.6 ;0.0 ;3.15 ;
1059 ;0:00.54 ;2507 ;0 ;0.874 ;3.6 ;0.0 ;3.14 ;
1059 ;0:00.55 ;2492 ;0 ;0.871 ;3.6 ;0.0 ;3.15 ;
1059 ;0:00.56 ;2440 ;0 ;0.873 ;3.6 ;0.0 ;3.18 ;
1059 ;0:00.57 ;2376 ;0 ;0.875 ;4.1 ;0.0 ;3.22 ;
1059 ;0:00.58 ;2376 ;0 ;0.877 ;4.1 ;0.0 ;3.22 ;
1059 ;0:00.59 ;2377 ;0 ;0.879 ;4.1 ;0.0 ;3.22 ;
1059 ;0:00.60 ;2420 ;0 ;0.883 ;4.1 ;0.0 ;3.19 ;
1059 ;0:00.61 ;2472 ;0 ;0.887 ;4.1 ;0.0 ;3.16 ;
1059 ;0:00.62 ;2459 ;0 ;0.891 ;4.1 ;0.0 ;3.17 ;
1059 ;0:00.63 ;2459 ;0 ;0.894 ;4.1 ;0.0 ;3.17 ;
1059 ;0:00.64 ;2426 ;0 ;0.896 ;4.1 ;0.0 ;3.19 ;
1059 ;0:00.65 ;2390 ;0 ;0.898 ;4.7 ;0.0 ;3.21 ;
1059 ;0:00.66 ;2406 ;0 ;0.900 ;4.7 ;0.0 ;3.20 ;
1059 ;0:00.67 ;2402 ;0 ;0.901 ;4.7 ;0.0 ;3.20 ;
1059 ;0:00.68 ;2402 ;0 ;0.905 ;4.7 ;0.0 ;3.20 ;
1059 ;0:00.69 ;2427 ;0 ;0.910 ;4.7 ;0.0 ;3.19 ;
1059 ;0:00.70 ;2436 ;0 ;0.914 ;4.7 ;0.0 ;3.18 ;
1059 ;0:00.71 ;2471 ;0 ;0.918 ;4.7 ;0.0 ;3.16 ;
1059 ;0:00.72 ;2435 ;0 ;0.921 ;5.0 ;0.0 ;3.18 ;
1059 ;0:00.73 ;2398 ;0 ;0.923 ;5.0 ;0.0 ;3.21 ;
1059 ;0:00.74 ;2398 ;0 ;0.926 ;5.0 ;0.0 ;3.21 ;
1059 ;0:00.75 ;2378 ;0 ;0.928 ;5.0 ;0.0 ;3.22 ;
1059 ;0:00.76 ;2411 ;0 ;0.931 ;5.0 ;0.0 ;3.20 ;
1059 ;0:00.77 ;2400 ;0 ;0.933 ;5.0 ;0.0 ;3.20 ;
1059 ;0:00.78 ;2410 ;0 ;0.935 ;5.6 ;0.0 ;3.20 ;
1059 ;0:00.79 ;2410 ;0 ;0.938 ;5.6 ;0.0 ;3.20 ;
1059 ;0:00.80 ;2419 ;0 ;0.939 ;5.6 ;0.0 ;3.19 ;
1059 ;0:00.81 ;2460 ;0 ;0.939 ;5.6 ;0.0 ;3.17 ;
1059 ;0:00.82 ;2455 ;0 ;0.939 ;5.6 ;0.0 ;3.17 ;
1059 ;0:00.83 ;2466 ;0 ;0.939 ;5.6 ;0.0 ;3.17 ;
1059 ;0:00.84 ;2466 ;0 ;0.941 ;6.3 ;0.0 ;3.17 ;
1059 ;0:00.85 ;2463 ;0 ;0.944 ;6.3 ;0.0 ;3.17 ;
1059 ;0:00.86 ;2493 ;0 ;0.947 ;6.3 ;0.0 ;3.15 ;
1059 ;0:00.87 ;2499 ;0 ;0.950 ;6.3 ;0.0 ;3.15 ;
1059 ;0:00.88 ;2485 ;0 ;0.953 ;6.3 ;0.0 ;3.15 ;
1059 ;0:00.89 ;2493 ;0 ;0.956 ;6.6 ;0.0 ;3.15 ;
1059 ;0:00.90 ;2493 ;0 ;0.959 ;6.6 ;0.0 ;3.15 ;
1059 ;0:00.91 ;2539 ;0 ;0.962 ;6.6 ;0.0 ;3.12 ;
1059 ;0:00.92 ;2581 ;0 ;0.965 ;6.6 ;0.0 ;3.08 ;
1059 ;0:00.93 ;2548 ;0 ;0.968 ;6.6 ;0.0 ;3.11 ;
1059 ;0:00.94 ;2530 ;0 ;0.971 ;6.9 ;0.0 ;3.12 ;
1059 ;0:00.95 ;2569 ;0 ;0.974 ;6.9 ;0.0 ;3.09 ;
1059 ;0:00.96 ;2569 ;0 ;0.976 ;6.9 ;0.0 ;3.09 ;
1059 ;0:00.97 ;2617 ;0 ;0.976 ;6.9 ;0.0 ;3.06 ;
1059 ;0:00.98 ;2637 ;0 ;0.976 ;7.6 ;0.0 ;3.04 ;
1059 ;0:00.99 ;2637 ;0 ;0.976 ;7.6 ;0.0 ;3.04 ;
1059 ;0:01.00 ;2678 ;0 ;0.976 ;7.6 ;0.0 ;3.01 ;
1059 ;0:01.01 ;2729 ;0 ;0.979 ;7.6 ;0.0 ;2.97 ;
1059 ;0:01.02 ;2722 ;0 ;0.981 ;7.6 ;0.0 ;2.98 ;
1059 ;0:01.03 ;2681 ;0 ;0.983 ;8.1 ;0.0 ;3.01 ;
1059 ;0:01.04 ;2681 ;0 ;0.985 ;8.1 ;0.0 ;3.01 ;
1059 ;0:01.05 ;2673 ;0 ;0.987 ;8.1 ;0.0 ;3.01 ;
1059 ;0:01.06 ;2689 ;0 ;0.989 ;8.1 ;0.0 ;3.00 ;
1059 ;0:01.07 ;2715 ;0 ;0.992 ;8.5 ;0.0 ;2.98 ;
1059 ;0:01.08 ;2726 ;0 ;0.994 ;8.5 ;0.0 ;2.97 ;
1059 ;0:01.09 ;2769 ;0 ;0.996 ;8.5 ;0.0 ;2.94 ;
1059 ;0:01.10 ;2744 ;0 ;0.999 ;9.3 ;0.0 ;2.96 ;
1059 ;0:01.11 ;2687 ;0 ;1.001 ;9.3 ;0.0 ;3.00 ;
1059 ;0:01.12 ;2670 ;0 ;1.003 ;9.3 ;0.0 ;3.02 ;
1059 ;0:01.13 ;2718 ;0 ;1.003 ;9.3 ;0.0 ;2.98 ;
1059 ;0:01.14 ;2763 ;0 ;1.003 ;9.1 ;0.0 ;2.95 ;
1059 ;0:01.15 ;2763 ;0 ;1.003 ;9.1 ;0.0 ;2.95 ;
1059 ;0:01.16 ;2801 ;0 ;1.003 ;9.1 ;0.0 ;2.92 ;
1059 ;0:01.17 ;2770 ;0 ;1.004 ;10.5 ;0.0 ;2.94 ;
1059 ;0:01.18 ;2736 ;0 ;1.005 ;10.5 ;0.0 ;2.97 ;
1059 ;0:01.19 ;2693 ;0 ;1.005 ;10.5 ;0.0 ;3.00 ;
1059 ;0:01.20 ;2661 ;0 ;1.006 ;10.1 ;0.0 ;3.02 ;
1059 ;0:01.21 ;2673 ;0 ;1.006 ;10.1 ;0.0 ;3.01 ;
1059 ;0:01.22 ;2722 ;0 ;1.007 ;10.1 ;0.0 ;2.98 ;
1059 ;0:01.23 ;2732 ;0 ;1.008 ;10.9 ;0.0 ;2.97 ;
1059 ;0:01.24 ;2738 ;0 ;1.008 ;10.9 ;0.0 ;2.96 ;
1059 ;0:01.25 ;2692 ;0 ;1.006 ;10.9 ;0.0 ;3.00 ;
1059 ;0:01.26 ;2692 ;0 ;1.004 ;10.7 ;0.0 ;3.00 ;
1059 ;0:01.27 ;2690 ;0 ;1.002 ;10.7 ;0.0 ;3.00 ;
1059 ;0:01.28 ;2679 ;0 ;1.001 ;11.5 ;0.0 ;3.01 ;
1059 ;0:01.29 ;2666 ;0 ;0.999 ;11.5 ;0.0 ;3.02 ;
1059 ;0:01.30 ;2681 ;0 ;0.996 ;11.5 ;0.0 ;3.01 ;
1059 ;0:01.31 ;2731 ;0 ;0.993 ;11.0 ;0.0 ;2.97 ;
1059 ;0:01.32 ;2734 ;0 ;0.991 ;11.0 ;0.0 ;2.97 ;
1059 ;0:01.33 ;2734 ;0 ;0.988 ;11.0 ;0.0 ;2.97 ;
1059 ;0:01.34 ;2695 ;0 ;0.984 ;11.2 ;0.0 ;3.00 ;
1059 ;0:01.35 ;2695 ;0 ;0.979 ;11.2 ;0.0 ;3.00 ;
1059 ;0:01.36 ;2695 ;0 ;0.974 ;11.4 ;0.0 ;3.00 ;
1059 ;0:01.37 ;2710 ;0 ;0.971 ;11.4 ;0.0 ;2.99 ;
1059 ;0:01.38 ;2711 ;0 ;0.970 ;11.4 ;0.0 ;2.98 ;
1059 ;0:01.39 ;2724 ;0 ;0.968 ;11.0 ;0.0 ;2.97 ;
1059 ;0:01.40 ;2764 ;0 ;0.966 ;11.0 ;0.0 ;2.94 ;
1059 ;0:01.41 ;2754 ;0 ;0.965 ;11.3 ;0.0 ;2.95 ;
1059 ;0:01.42 ;2740 ;0 ;0.963 ;11.3 ;0.0 ;2.96 ;
1059 ;0:01.43 ;2680 ;0 ;0.962 ;11.3 ;0.0 ;3.01 ;
1059 ;0:01.44 ;2683 ;0 ;0.961 ;11.6 ;0.0 ;3.01 ;
1059 ;0:01.45 ;2691 ;0 ;0.960 ;11.6 ;0.0 ;3.00 ;
1059 ;0:01.46 ;2690 ;0 ;0.960 ;11.6 ;0.0 ;3.00 ;
1059 ;0:01.47 ;2690 ;0 ;0.961 ;11.3 ;0.0 ;3.00 ;
1059 ;0:01.48 ;2711 ;0 ;0.962 ;11.3 ;0.0 ;2.98 ;
1059 ;0:01.49 ;2760 ;0 ;0.963 ;11.6 ;0.0 ;2.95 ;
1059 ;0:01.50 ;2741 ;0 ;0.968 ;11.6 ;0.0 ;2.96 ;
1059 ;0:01.51 ;2713 ;0 ;0.972 ;11.6 ;0.0 ;2.98 ;
1059 ;0:01.52 ;2669 ;0 ;0.977 ;11.7 ;0.0 ;3.02 ;
1059 ;0:01.53 ;2683 ;0 ;0.982 ;11.7 ;0.0 ;3.01 ;
1059 ;0:01.54 ;2707 ;0 ;0.986 ;11.6 ;0.0 ;2.99 ;
