SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;INJ;

1063 ;0:00.01 ;2623 ;0 ;0.889 ;2.8 ;0.0 ;3.39 ;
1063 ;0:00.02 ;2619 ;0 ;0.889 ;2.8 ;0.0 ;3.39 ;
1063 ;0:00.03 ;2619 ;0 ;0.890 ;2.8 ;0.0 ;3.39 ;
1063 ;0:00.04 ;2608 ;0 ;0.890 ;2.8 ;0.0 ;3.39 ;
1063 ;0:00.05 ;2585 ;0 ;0.890 ;2.8 ;0.0 ;3.40 ;
1063 ;0:00.06 ;2592 ;0 ;0.889 ;2.8 ;0.0 ;3.40 ;
1063 ;0:00.07 ;2641 ;0 ;0.888 ;2.8 ;0.0 ;3.39 ;
1063 ;0:00.08 ;2644 ;0 ;0.886 ;3.6 ;0.0 ;3.39 ;
1063 ;0:00.09 ;2646 ;0 ;0.884 ;3.6 ;0.0 ;3.39 ;
1063 ;0:00.10 ;2617 ;0 ;0.883 ;3.6 ;0.0 ;3.39 ;
1063 ;0:00.11 ;2617 ;0 ;0.881 ;3.6 ;0.0 ;3.39 ;
1063 ;0:00.12 ;2603 ;0 ;0.879 ;3.6 ;0.0 ;3.39 ;
1063 ;0:00.13 ;2589 ;0 ;0.878 ;3.6 ;0.0 ;3.40 ;
1063 ;0:00.14 ;2611 ;0 ;0.877 ;3.6 ;0.0 ;3.39 ;
1063 ;0:00.15 ;2621 ;0 ;0.876 ;3.6 ;0.0 ;3.39 ;
1063 ;0:00.16 ;2660 ;0 ;0.876 ;3.6 ;0.0 ;3.39 ;
1063 ;0:00.17 ;2637 ;0 ;0.876 ;3.6 ;0.0 ;3.39 ;
1063 ;0:00.18 ;2605 ;0 ;0.877 ;4.3 ;0.0 ;3.39 ;
1063 ;0:00.19 ;2605 ;0 ;0.879 ;4.3 ;0.0 ;3.39 ;
1063 ;0:00.20 ;2591 ;0 ;0.881 ;4.3 ;0.0 ;3.40 ;
1063 ;0:00.21 ;2635 ;0 ;0.883 ;4.3 ;0.0 ;3.39 ;
1063 ;0:00.22 ;2652 ;0 ;0.884 ;4.3 ;0.0 ;3.39 ;
1063 ;0:00.23 ;2657 ;0 ;0.886 ;4.3 ;0.0 ;3.39 ;
1063 ;0:00.24 ;2645 ;0 ;0.888 ;4.3 ;0.0 ;3.39 ;
1063 ;0:00.25 ;2617 ;0 ;0.890 ;4.3 ;0.0 ;3.39 ;
1063 ;0:00.26 ;2601 ;0 ;0.891 ;4.3 ;0.0 ;3.39 ;
1063 ;0:00.27 ;2601 ;0 ;0.895 ;4.8 ;0.0 ;3.39 ;
1063 ;0:00.28 ;2618 ;0 ;0.898 ;4.8 ;0.0 ;3.39 ;
1063 ;0:00.29 ;2629 ;0 ;0.901 ;4.8 ;0.0 ;3.39 ;
1063 ;0:00.30 ;2665 ;0 ;0.904 ;4.8 ;0.0 ;3.39 ;
1063 ;0:00.31 ;2636 ;0 ;0.905 ;4.8 ;0.0 ;3.39 ;
1063 ;0:00.32 ;2602 ;0 ;0.907 ;4.8 ;0.0 ;3.39 ;
1063 ;0:00.33 ;2586 ;0 ;0.908 ;5.5 ;0.0 ;3.40 ;
1063 ;0:00.34 ;2622 ;0 ;0.909 ;5.5 ;0.0 ;3.39 ;
1063 ;0:00.35 ;2622 ;0 ;0.908 ;5.5 ;0.0 ;3.39 ;
1063 ;0:00.36 ;2600 ;0 ;0.908 ;5.5 ;0.0 ;3.39 ;
1063 ;0:00.37 ;2607 ;0 ;0.908 ;5.5 ;0.0 ;3.39 ;
1063 ;0:00.38 ;2601 ;0 ;0.907 ;5.5 ;0.0 ;3.39 ;
1063 ;0:00.39 ;2617 ;0 ;0.906 ;5.6 ;0.0 ;3.39 ;
1063 ;0:00.40 ;2613 ;0 ;0.904 ;5.6 ;0.0 ;3.39 ;
1063 ;0:00.41 ;2589 ;0 ;0.902 ;5.6 ;0.0 ;3.40 ;
1063 ;0:00.42 ;2580 ;0 ;0.901 ;5.6 ;0.0 ;3.40 ;
1063 ;0:00.43 ;2580 ;0 ;0.899 ;5.6 ;0.0 ;3.40 ;
1063 ;0:00.44 ;2613 ;0 ;0.897 ;5.6 ;0.0 ;3.39 ;
1063 ;0:00.45 ;2578 ;0 ;0.894 ;6.1 ;0.0 ;3.40 ;
1063 ;0:00.46 ;2566 ;0 ;0.892 ;6.1 ;0.0 ;3.40 ;
1063 ;0:00.47 ;2562 ;0 ;0.891 ;6.1 ;0.0 ;3.40 ;
1063 ;0:00.48 ;2592 ;0 ;0.890 ;6.1 ;0.0 ;3.40 ;
1063 ;0:00.49 ;2579 ;0 ;0.890 ;6.1 ;0.0 ;3.40 ;
