SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;INJ;

1066 ;0:00.01 ;3199 ;0 ;0.827 ;11.1 ;0.0 ;3.35 ;
1066 ;0:00.02 ;3176 ;0 ;0.828 ;11.5 ;0.0 ;3.35 ;
1066 ;0:00.03 ;3164 ;0 ;0.829 ;11.5 ;0.0 ;3.35 ;
1066 ;0:00.04 ;3133 ;0 ;0.829 ;11.5 ;0.0 ;3.35 ;
1066 ;0:00.05 ;3120 ;0 ;0.829 ;11.3 ;0.0 ;3.35 ;
1066 ;0:00.06 ;3143 ;0 ;0.829 ;11.3 ;0.0 ;3.35 ;
1066 ;0:00.07 ;3169 ;0 ;0.829 ;11.2 ;0.0 ;3.35 ;
1066 ;0:00.08 ;3201 ;0 ;0.829 ;11.2 ;0.0 ;3.35 ;
1066 ;0:00.09 ;3216 ;0 ;0.828 ;11.2 ;0.0 ;3.35 ;
1066 ;0:00.10 ;3198 ;0 ;0.828 ;12.5 ;0.0 ;3.35 ;
1066 ;0:00.11 ;3199 ;0 ;0.827 ;12.5 ;0.0 ;3.35 ;
1066 ;0:00.12 ;3192 ;0 ;0.827 ;12.5 ;0.0 ;3.35 ;
1066 ;0:00.13 ;3203 ;0 ;0.827 ;11.8 ;0.0 ;3.35 ;
1066 ;0:00.14 ;3219 ;0 ;0.826 ;11.8 ;0.0 ;3.35 ;
1066 ;0:00.15 ;3221 ;0 ;0.826 ;12.3 ;0.0 ;3.35 ;
1066 ;0:00.16 ;3220 ;0 ;0.826 ;12.3 ;0.0 ;3.35 ;
1066 ;0:00.17 ;3199 ;0 ;0.826 ;12.4 ;0.0 ;3.35 ;
1066 ;0:00.18 ;3207 ;0 ;0.826 ;12.4 ;0.0 ;3.35 ;
1066 ;0:00.19 ;3199 ;0 ;0.826 ;12.4 ;0.0 ;3.35 ;
1066 ;0:00.20 ;3211 ;0 ;0.826 ;12.1 ;0.0 ;3.35 ;
1066 ;0:00.21 ;3243 ;0 ;0.826 ;12.1 ;0.0 ;3.35 ;
1066 ;0:00.22 ;3246 ;0 ;0.826 ;12.6 ;0.0 ;3.35 ;
1066 ;0:00.23 ;3258 ;0 ;0.826 ;12.6 ;0.0 ;3.35 ;
1066 ;0:00.24 ;3252 ;0 ;0.826 ;12.6 ;0.0 ;3.35 ;
1066 ;0:00.25 ;3210 ;0 ;0.826 ;12.7 ;0.0 ;3.35 ;
1066 ;0:00.26 ;3222 ;0 ;0.826 ;12.7 ;0.0 ;3.35 ;
1066 ;0:00.27 ;3229 ;0 ;0.826 ;12.2 ;0.0 ;3.35 ;
1066 ;0:00.28 ;3237 ;0 ;0.826 ;12.2 ;0.0 ;3.35 ;
1066 ;0:00.29 ;3247 ;0 ;0.826 ;12.9 ;0.0 ;3.35 ;
1066 ;0:00.30 ;3231 ;0 ;0.826 ;12.9 ;0.0 ;3.35 ;
1066 ;0:00.31 ;3232 ;0 ;0.825 ;12.9 ;0.0 ;3.35 ;
1066 ;0:00.32 ;3222 ;0 ;0.825 ;13.0 ;0.0 ;3.35 ;
1066 ;0:00.33 ;3251 ;0 ;0.825 ;13.0 ;0.0 ;3.35 ;
1066 ;0:00.34 ;3284 ;0 ;0.824 ;12.6 ;0.0 ;3.35 ;
1066 ;0:00.35 ;3294 ;0 ;0.824 ;12.6 ;0.0 ;3.35 ;
1066 ;0:00.36 ;3316 ;0 ;0.823 ;13.4 ;0.0 ;3.35 ;
1066 ;0:00.37 ;3294 ;0 ;0.823 ;13.4 ;0.0 ;3.35 ;
1066 ;0:00.38 ;3258 ;0 ;0.822 ;13.7 ;0.0 ;3.35 ;
1066 ;0:00.39 ;3253 ;0 ;0.822 ;13.7 ;0.0 ;3.35 ;
1066 ;0:00.40 ;3241 ;0 ;0.822 ;13.7 ;0.0 ;3.35 ;
1066 ;0:00.41 ;3280 ;0 ;0.821 ;13.0 ;0.0 ;3.35 ;
1066 ;0:00.42 ;3288 ;0 ;0.821 ;13.0 ;0.0 ;3.35 ;
1066 ;0:00.43 ;3295 ;0 ;0.821 ;13.6 ;0.0 ;3.35 ;
1066 ;0:00.44 ;3267 ;0 ;0.821 ;13.6 ;0.0 ;3.35 ;
1066 ;0:00.45 ;3205 ;0 ;0.821 ;13.1 ;0.0 ;3.35 ;
1066 ;0:00.46 ;3180 ;0 ;0.821 ;13.1 ;0.0 ;3.35 ;
1066 ;0:00.47 ;3168 ;0 ;0.821 ;13.7 ;0.0 ;3.35 ;
1066 ;0:00.48 ;3198 ;0 ;0.821 ;13.7 ;0.0 ;3.35 ;
1066 ;0:00.49 ;3237 ;0 ;0.820 ;14.1 ;0.0 ;3.35 ;
1066 ;0:00.50 ;3253 ;0 ;0.820 ;14.1 ;0.0 ;3.35 ;
1066 ;0:00.51 ;3278 ;0 ;0.820 ;14.1 ;0.0 ;3.35 ;
1066 ;0:00.52 ;3247 ;0 ;0.819 ;13.6 ;0.0 ;3.35 ;
1066 ;0:00.53 ;3191 ;0 ;0.819 ;13.6 ;0.0 ;3.35 ;
1066 ;0:00.54 ;3169 ;0 ;0.819 ;14.1 ;0.0 ;3.35 ;
1066 ;0:00.55 ;3192 ;0 ;0.819 ;14.1 ;0.0 ;3.35 ;
1066 ;0:00.56 ;3227 ;0 ;0.819 ;14.4 ;0.0 ;3.35 ;
1066 ;0:00.57 ;3241 ;0 ;0.819 ;14.4 ;0.0 ;3.35 ;
1066 ;0:00.58 ;3264 ;0 ;0.820 ;13.9 ;0.0 ;3.35 ;
1066 ;0:00.59 ;3233 ;0 ;0.820 ;13.9 ;0.0 ;3.35 ;
1066 ;0:00.60 ;3189 ;0 ;0.821 ;14.4 ;0.0 ;3.35 ;
1066 ;0:00.61 ;3175 ;0 ;0.821 ;14.4 ;0.0 ;3.35 ;
1066 ;0:00.62 ;3159 ;0 ;0.822 ;14.8 ;0.0 ;3.35 ;
1066 ;0:00.63 ;3184 ;0 ;0.822 ;14.8 ;0.0 ;3.35 ;
1066 ;0:00.64 ;3224 ;0 ;0.823 ;14.1 ;0.0 ;3.35 ;
1066 ;0:00.65 ;3225 ;0 ;0.825 ;14.1 ;0.0 ;3.35 ;
1066 ;0:00.66 ;3227 ;0 ;0.827 ;15.1 ;0.0 ;3.35 ;
1066 ;0:00.67 ;3173 ;0 ;0.828 ;15.1 ;0.0 ;3.35 ;
1066 ;0:00.68 ;3153 ;0 ;0.830 ;14.8 ;0.0 ;3.35 ;
1066 ;0:00.69 ;3151 ;0 ;0.831 ;14.8 ;0.0 ;3.35 ;
1066 ;0:00.70 ;3182 ;0 ;0.832 ;14.4 ;0.0 ;3.35 ;
1066 ;0:00.71 ;3219 ;0 ;0.833 ;14.4 ;0.0 ;3.35 ;
1066 ;0:00.72 ;3235 ;0 ;0.834 ;14.0 ;0.0 ;3.35 ;
1066 ;0:00.73 ;3223 ;0 ;0.836 ;14.0 ;0.0 ;3.35 ;
1066 ;0:00.74 ;3211 ;0 ;0.838 ;15.4 ;0.0 ;3.35 ;
1066 ;0:00.75 ;3193 ;0 ;0.841 ;15.4 ;0.0 ;3.35 ;
1066 ;0:00.76 ;3187 ;0 ;0.842 ;14.6 ;0.0 ;3.35 ;
1066 ;0:00.77 ;3202 ;0 ;0.844 ;14.6 ;0.0 ;3.35 ;
1066 ;0:00.78 ;3241 ;0 ;0.845 ;15.2 ;0.0 ;3.35 ;
1066 ;0:00.79 ;3241 ;0 ;0.846 ;15.2 ;0.0 ;3.35 ;
1066 ;0:00.80 ;3231 ;0 ;0.848 ;15.3 ;0.0 ;3.35 ;
1066 ;0:00.81 ;3212 ;0 ;0.849 ;15.3 ;0.0 ;3.35 ;
1066 ;0:00.82 ;3222 ;0 ;0.850 ;14.7 ;0.0 ;3.35 ;
1066 ;0:00.83 ;3237 ;0 ;0.852 ;14.7 ;0.0 ;3.35 ;
1066 ;0:00.84 ;3243 ;0 ;0.853 ;15.5 ;0.0 ;3.35 ;
1066 ;0:00.85 ;3268 ;0 ;0.855 ;15.5 ;0.0 ;3.35 ;
1066 ;0:00.86 ;3251 ;0 ;0.855 ;15.1 ;0.0 ;3.35 ;
1066 ;0:00.87 ;3222 ;0 ;0.855 ;15.1 ;0.0 ;3.35 ;
1066 ;0:00.88 ;3210 ;0 ;0.855 ;15.5 ;0.0 ;3.35 ;
1066 ;0:00.89 ;3207 ;0 ;0.856 ;15.5 ;0.0 ;3.35 ;
1066 ;0:00.90 ;3231 ;0 ;0.857 ;15.6 ;0.0 ;3.35 ;
1066 ;0:00.91 ;3249 ;0 ;0.857 ;15.6 ;0.0 ;3.35 ;
1066 ;0:00.92 ;3251 ;0 ;0.858 ;15.2 ;0.0 ;3.35 ;
1066 ;0:00.93 ;3265 ;0 ;0.859 ;15.7 ;0.0 ;3.35 ;
1066 ;0:00.94 ;3269 ;0 ;0.860 ;15.7 ;0.0 ;3.35 ;
1066 ;0:00.95 ;3256 ;0 ;0.860 ;16.0 ;0.0 ;3.35 ;
1066 ;0:00.96 ;3277 ;0 ;0.861 ;16.0 ;0.0 ;3.35 ;
1066 ;0:00.97 ;3291 ;0 ;0.862 ;15.4 ;0.0 ;3.35 ;
1066 ;0:00.98 ;3299 ;0 ;0.864 ;15.4 ;0.0 ;3.35 ;
1066 ;0:00.99 ;3306 ;0 ;0.865 ;15.5 ;0.0 ;3.35 ;
1066 ;0:01.00 ;3287 ;0 ;0.867 ;15.5 ;0.0 ;3.35 ;
1066 ;0:01.01 ;3291 ;0 ;0.868 ;17.2 ;0.0 ;3.35 ;
1066 ;0:01.02 ;3312 ;0 ;0.870 ;17.2 ;0.0 ;3.35 ;
1066 ;0:01.03 ;3294 ;0 ;0.870 ;15.0 ;0.0 ;3.35 ;
1066 ;0:01.04 ;3310 ;0 ;0.872 ;15.0 ;0.0 ;3.35 ;
1066 ;0:01.05 ;3250 ;0 ;0.873 ;16.3 ;0.0 ;3.35 ;
1066 ;0:01.06 ;3241 ;0 ;0.877 ;15.8 ;0.0 ;3.35 ;
1066 ;0:01.07 ;3252 ;0 ;0.881 ;15.8 ;0.0 ;3.35 ;
1066 ;0:01.08 ;3266 ;0 ;0.885 ;15.8 ;0.0 ;3.35 ;
1066 ;0:01.09 ;3288 ;0 ;0.889 ;15.8 ;0.0 ;3.35 ;
1066 ;0:01.10 ;3250 ;0 ;0.892 ;15.7 ;0.0 ;3.35 ;
1066 ;0:01.11 ;3264 ;0 ;0.894 ;15.7 ;0.0 ;3.35 ;
1066 ;0:01.12 ;3281 ;0 ;0.897 ;16.7 ;0.0 ;3.35 ;
