SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;

1092 ;0:00.01 ;2449 ;0 ;0.830 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.02 ;2423 ;0 ;0.830 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.03 ;2379 ;0 ;0.830 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.04 ;2403 ;0 ;0.830 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.05 ;2408 ;0 ;0.830 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.06 ;2408 ;0 ;0.829 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.07 ;2439 ;0 ;0.829 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.08 ;2484 ;0 ;0.829 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.09 ;2456 ;0 ;0.828 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.10 ;2417 ;0 ;0.828 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.11 ;2417 ;0 ;0.829 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.12 ;2393 ;0 ;0.830 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.13 ;2430 ;0 ;0.830 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.14 ;2460 ;0 ;0.831 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.15 ;2426 ;0 ;0.832 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.16 ;2426 ;0 ;0.833 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.17 ;2426 ;0 ;0.834 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.18 ;2419 ;0 ;0.834 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.19 ;2443 ;0 ;0.835 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.20 ;2419 ;0 ;0.836 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.21 ;2419 ;0 ;0.837 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.22 ;2405 ;0 ;0.837 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.23 ;2431 ;0 ;0.837 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.24 ;2450 ;0 ;0.837 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.25 ;2465 ;0 ;0.836 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.26 ;2481 ;0 ;0.836 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.27 ;2481 ;0 ;0.835 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.28 ;2508 ;0 ;0.834 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.29 ;2513 ;0 ;0.833 ;0.0 ;0.0 ;-1 ;
1092 ;0:00.30 ;2458 ;0 ;0.832 ;0.0 ;0.0 ;-1 ;
