SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;

1092 ;0:00.01 ;92 ;0 ;0.925 ;6.2 ;0.0 ;-100 ;
1092 ;0:00.02 ;92 ;0 ;0.925 ;6.2 ;0.0 ;-100 ;
1092 ;0:00.03 ;92 ;0 ;0.925 ;6.4 ;0.0 ;-100 ;
1092 ;0:00.04 ;92 ;0 ;0.925 ;6.4 ;0.0 ;-100 ;
1092 ;0:00.05 ;92 ;0 ;0.926 ;6.4 ;0.0 ;-100 ;
1092 ;0:00.06 ;92 ;0 ;0.925 ;6.4 ;0.0 ;-100 ;
1092 ;0:00.07 ;92 ;0 ;0.926 ;6.5 ;0.0 ;-100 ;
1092 ;0:00.08 ;92 ;0 ;0.926 ;6.5 ;0.0 ;-100 ;
1092 ;0:00.09 ;92 ;0 ;0.926 ;6.5 ;0.0 ;-100 ;
1092 ;0:00.10 ;92 ;0 ;0.926 ;6.5 ;0.0 ;-100 ;
1092 ;0:00.11 ;92 ;0 ;0.926 ;6.5 ;0.0 ;-100 ;
1092 ;0:00.12 ;92 ;0 ;0.926 ;6.4 ;0.0 ;-100 ;
1092 ;0:00.13 ;92 ;0 ;0.926 ;6.4 ;0.0 ;-100 ;
1092 ;0:00.14 ;92 ;0 ;0.926 ;6.4 ;0.0 ;-100 ;
1092 ;0:00.15 ;92 ;0 ;0.926 ;6.4 ;0.0 ;-100 ;
1092 ;0:00.16 ;92 ;0 ;0.926 ;6.9 ;0.0 ;-100 ;
1092 ;0:00.17 ;92 ;0 ;0.926 ;6.9 ;0.0 ;-100 ;
1092 ;0:00.18 ;92 ;0 ;0.926 ;6.9 ;0.0 ;-100 ;
1092 ;0:00.19 ;92 ;0 ;0.926 ;6.9 ;0.0 ;-100 ;
1092 ;0:00.20 ;92 ;0 ;0.926 ;6.9 ;0.0 ;-100 ;
1092 ;0:00.21 ;92 ;0 ;0.927 ;6.5 ;0.0 ;-100 ;
1092 ;0:00.22 ;92 ;0 ;0.927 ;6.5 ;0.0 ;-100 ;
1092 ;0:00.23 ;92 ;0 ;0.927 ;6.5 ;0.0 ;-100 ;
1092 ;0:00.24 ;92 ;0 ;0.927 ;6.5 ;0.0 ;-100 ;
1092 ;0:00.25 ;92 ;0 ;0.928 ;6.8 ;0.0 ;-100 ;
1092 ;0:00.26 ;92 ;0 ;0.928 ;6.8 ;0.0 ;-100 ;
1092 ;0:00.27 ;92 ;0 ;0.928 ;6.8 ;0.0 ;-100 ;
1092 ;0:00.28 ;92 ;0 ;0.928 ;6.8 ;0.0 ;-100 ;
1092 ;0:00.29 ;92 ;0 ;0.928 ;6.8 ;0.0 ;-100 ;
1092 ;0:00.30 ;92 ;0 ;0.929 ;7.0 ;0.0 ;-100 ;
1092 ;0:00.31 ;92 ;0 ;0.928 ;7.0 ;0.0 ;-100 ;
1092 ;0:00.32 ;92 ;0 ;0.929 ;7.0 ;0.0 ;-100 ;
1092 ;0:00.33 ;92 ;0 ;0.929 ;7.0 ;0.0 ;-100 ;
1092 ;0:00.34 ;92 ;0 ;0.929 ;6.8 ;0.0 ;-100 ;
1092 ;0:00.35 ;92 ;0 ;0.929 ;6.8 ;0.0 ;-100 ;
1092 ;0:00.36 ;92 ;0 ;0.929 ;6.8 ;0.0 ;-100 ;
1092 ;0:00.37 ;92 ;0 ;0.929 ;6.8 ;0.0 ;-100 ;
1092 ;0:00.38 ;92 ;0 ;0.929 ;7.4 ;0.0 ;-100 ;
1092 ;0:00.39 ;92 ;0 ;0.930 ;7.4 ;0.0 ;-100 ;
1092 ;0:00.40 ;92 ;0 ;0.930 ;7.4 ;0.0 ;-100 ;
1092 ;0:00.41 ;92 ;0 ;0.930 ;7.4 ;0.0 ;-100 ;
1092 ;0:00.42 ;92 ;0 ;0.930 ;7.8 ;0.0 ;-100 ;
1092 ;0:00.43 ;92 ;0 ;0.931 ;7.8 ;0.0 ;-100 ;
1092 ;0:00.44 ;92 ;0 ;0.931 ;7.8 ;0.0 ;-100 ;
1092 ;0:00.45 ;92 ;0 ;0.931 ;7.8 ;0.0 ;-100 ;
1092 ;0:00.46 ;92 ;0 ;0.932 ;7.6 ;0.0 ;-100 ;
1092 ;0:00.47 ;92 ;0 ;0.932 ;7.6 ;0.0 ;-100 ;
1092 ;0:00.48 ;92 ;0 ;0.933 ;7.6 ;0.0 ;-100 ;
1092 ;0:00.49 ;92 ;0 ;0.933 ;7.6 ;0.0 ;-100 ;
1092 ;0:00.50 ;92 ;0 ;0.933 ;8.2 ;0.0 ;-100 ;
1092 ;0:00.51 ;92 ;0 ;0.933 ;8.2 ;0.0 ;-100 ;
1092 ;0:00.52 ;92 ;0 ;0.933 ;8.2 ;0.0 ;-100 ;
1092 ;0:00.53 ;92 ;0 ;0.933 ;8.2 ;0.0 ;-100 ;
1092 ;0:00.54 ;92 ;0 ;0.934 ;8.2 ;0.0 ;-100 ;
1092 ;0:00.55 ;92 ;0 ;0.934 ;8.2 ;0.0 ;-100 ;
1092 ;0:00.56 ;92 ;0 ;0.934 ;8.2 ;0.0 ;-100 ;
1092 ;0:00.57 ;92 ;0 ;0.934 ;8.3 ;0.0 ;-100 ;
1092 ;0:00.58 ;92 ;0 ;0.934 ;8.3 ;0.0 ;-100 ;
1092 ;0:00.59 ;92 ;0 ;0.934 ;8.3 ;0.0 ;-100 ;
1092 ;0:00.60 ;92 ;0 ;0.934 ;8.3 ;0.0 ;-100 ;
1092 ;0:00.61 ;92 ;0 ;0.934 ;8.4 ;0.0 ;-100 ;
1092 ;0:00.62 ;92 ;0 ;0.935 ;8.4 ;0.0 ;-100 ;
1092 ;0:00.63 ;92 ;0 ;0.935 ;8.4 ;0.0 ;-100 ;
1092 ;0:00.64 ;92 ;0 ;0.935 ;8.4 ;0.0 ;-100 ;
1092 ;0:00.65 ;92 ;0 ;0.935 ;9.2 ;0.0 ;-100 ;
1092 ;0:00.66 ;92 ;0 ;0.936 ;9.2 ;0.0 ;-100 ;
1092 ;0:00.67 ;92 ;0 ;0.936 ;9.2 ;0.0 ;-100 ;
1092 ;0:00.68 ;92 ;0 ;0.936 ;9.0 ;0.0 ;-100 ;
1092 ;0:00.69 ;92 ;0 ;0.936 ;9.0 ;0.0 ;-100 ;
