SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;INJ;

1067 ;0:00.01 ;410 ;0 ;0.914 ;21.2 ;0.0 ;3.55 ;
1067 ;0:00.02 ;410 ;0 ;0.914 ;21.2 ;0.0 ;3.55 ;
1067 ;0:00.03 ;410 ;0 ;0.914 ;21.7 ;0.0 ;3.55 ;
1067 ;0:00.04 ;410 ;0 ;0.914 ;21.2 ;0.0 ;3.55 ;
1067 ;0:00.05 ;410 ;0 ;0.914 ;21.0 ;0.0 ;3.55 ;
1067 ;0:00.06 ;410 ;0 ;0.914 ;21.0 ;0.0 ;3.55 ;
1067 ;0:00.07 ;410 ;0 ;0.913 ;22.0 ;0.0 ;3.55 ;
1067 ;0:00.08 ;410 ;0 ;0.913 ;21.1 ;0.0 ;3.55 ;
1067 ;0:00.09 ;410 ;0 ;0.913 ;21.9 ;0.0 ;3.55 ;
1067 ;0:00.10 ;410 ;0 ;0.913 ;21.9 ;0.0 ;3.55 ;
1067 ;0:00.11 ;410 ;0 ;0.913 ;21.9 ;0.0 ;3.55 ;
1067 ;0:00.12 ;410 ;0 ;0.913 ;20.7 ;0.0 ;3.55 ;
1067 ;0:00.13 ;410 ;0 ;0.914 ;21.7 ;0.0 ;3.55 ;
1067 ;0:00.14 ;410 ;0 ;0.914 ;21.7 ;0.0 ;3.55 ;
1067 ;0:00.15 ;410 ;0 ;0.914 ;22.1 ;0.0 ;3.55 ;
1067 ;0:00.16 ;410 ;0 ;0.914 ;20.7 ;0.0 ;3.55 ;
1067 ;0:00.17 ;410 ;0 ;0.915 ;20.7 ;0.0 ;3.55 ;
1067 ;0:00.18 ;410 ;0 ;0.915 ;22.1 ;0.0 ;3.55 ;
1067 ;0:00.19 ;410 ;0 ;0.916 ;20.5 ;0.0 ;3.55 ;
1067 ;0:00.20 ;410 ;0 ;0.916 ;21.1 ;0.0 ;3.55 ;
1067 ;0:00.21 ;410 ;0 ;0.916 ;21.1 ;0.0 ;3.55 ;
1067 ;0:00.22 ;410 ;0 ;0.916 ;20.6 ;0.0 ;3.55 ;
1067 ;0:00.23 ;410 ;0 ;0.916 ;21.5 ;0.0 ;3.55 ;
1067 ;0:00.24 ;410 ;0 ;0.916 ;21.5 ;0.0 ;3.55 ;
1067 ;0:00.25 ;410 ;0 ;0.916 ;20.5 ;0.0 ;3.55 ;
1067 ;0:00.26 ;410 ;0 ;0.916 ;21.2 ;0.0 ;3.55 ;
1067 ;0:00.27 ;410 ;0 ;0.916 ;21.4 ;0.0 ;3.55 ;
1067 ;0:00.28 ;410 ;0 ;0.916 ;21.4 ;0.0 ;3.55 ;
1067 ;0:00.29 ;410 ;0 ;0.916 ;20.6 ;0.0 ;3.55 ;
1067 ;0:00.30 ;410 ;0 ;0.917 ;20.9 ;0.0 ;3.55 ;
1067 ;0:00.31 ;410 ;0 ;0.917 ;20.6 ;0.0 ;3.55 ;
1067 ;0:00.32 ;410 ;0 ;0.917 ;20.6 ;0.0 ;3.55 ;
1067 ;0:00.33 ;656 ;0 ;0.918 ;20.7 ;0.0 ;3.55 ;
1067 ;0:00.34 ;656 ;0 ;0.919 ;21.6 ;0.0 ;3.55 ;
1067 ;0:00.35 ;656 ;0 ;0.920 ;21.6 ;0.0 ;3.55 ;
1067 ;0:00.36 ;656 ;0 ;0.920 ;20.5 ;0.0 ;3.55 ;
1067 ;0:00.37 ;656 ;0 ;0.921 ;21.0 ;0.0 ;3.55 ;
1067 ;0:00.38 ;656 ;0 ;0.921 ;21.0 ;0.0 ;3.55 ;
1067 ;0:00.39 ;656 ;0 ;0.922 ;21.7 ;0.0 ;3.55 ;
1067 ;0:00.40 ;727 ;0 ;0.922 ;20.2 ;0.0 ;3.55 ;
1067 ;0:00.41 ;727 ;0 ;0.923 ;21.0 ;0.0 ;3.55 ;
1067 ;0:00.42 ;727 ;0 ;0.923 ;21.0 ;0.0 ;3.55 ;
1067 ;0:00.43 ;727 ;0 ;0.923 ;21.7 ;0.0 ;3.55 ;
1067 ;0:00.44 ;727 ;0 ;0.924 ;20.3 ;0.0 ;3.55 ;
1067 ;0:00.45 ;846 ;0 ;0.924 ;21.6 ;0.0 ;3.55 ;
1067 ;0:00.46 ;846 ;0 ;0.925 ;21.6 ;0.0 ;3.55 ;
1067 ;0:00.47 ;846 ;0 ;0.925 ;19.8 ;0.0 ;3.55 ;
1067 ;0:00.48 ;846 ;0 ;0.925 ;21.0 ;0.0 ;3.55 ;
1067 ;0:00.49 ;977 ;0 ;0.926 ;21.0 ;0.0 ;3.55 ;
1067 ;0:00.50 ;977 ;0 ;0.926 ;19.4 ;0.0 ;3.55 ;
1067 ;0:00.51 ;977 ;0 ;0.926 ;21.3 ;0.0 ;3.55 ;
1067 ;0:00.52 ;977 ;0 ;0.927 ;21.3 ;0.0 ;3.55 ;
1067 ;0:00.53 ;1064 ;0 ;0.928 ;20.9 ;0.0 ;3.55 ;
1067 ;0:00.54 ;1064 ;0 ;0.928 ;20.3 ;0.0 ;3.55 ;
1067 ;0:00.55 ;1064 ;0 ;0.929 ;20.7 ;0.0 ;3.55 ;
1067 ;0:00.56 ;1186 ;0 ;0.930 ;20.7 ;0.0 ;3.55 ;
1067 ;0:00.57 ;1186 ;0 ;0.930 ;20.5 ;0.0 ;3.55 ;
1067 ;0:00.58 ;1186 ;0 ;0.931 ;20.5 ;0.0 ;3.55 ;
1067 ;0:00.59 ;1316 ;0 ;0.931 ;20.5 ;0.0 ;3.55 ;
1067 ;0:00.60 ;1316 ;0 ;0.931 ;20.2 ;0.0 ;3.55 ;
1067 ;0:00.61 ;1448 ;0 ;0.931 ;20.1 ;0.0 ;3.55 ;
1067 ;0:00.62 ;1448 ;0 ;0.932 ;20.1 ;0.0 ;3.55 ;
1067 ;0:00.63 ;1557 ;0 ;0.932 ;21.5 ;0.0 ;3.54 ;
1067 ;0:00.64 ;1557 ;0 ;0.932 ;20.1 ;0.0 ;3.54 ;
1067 ;0:00.65 ;1660 ;0 ;0.932 ;20.9 ;0.0 ;3.52 ;
1067 ;0:00.66 ;1660 ;0 ;0.932 ;20.9 ;0.0 ;3.52 ;
1067 ;0:00.67 ;1750 ;0 ;0.932 ;21.3 ;0.0 ;3.50 ;
1067 ;0:00.68 ;1750 ;0 ;0.931 ;20.4 ;0.0 ;3.50 ;
1067 ;0:00.69 ;1842 ;0 ;0.931 ;20.4 ;0.0 ;3.49 ;
1067 ;0:00.70 ;1842 ;0 ;0.930 ;20.8 ;0.0 ;3.49 ;
1067 ;0:00.71 ;1938 ;0 ;0.929 ;22.1 ;0.0 ;3.47 ;
1067 ;0:00.72 ;1938 ;0 ;0.928 ;20.0 ;0.0 ;3.47 ;
1067 ;0:00.73 ;2026 ;0 ;0.928 ;20.0 ;0.0 ;3.45 ;
1067 ;0:00.74 ;2082 ;0 ;0.927 ;20.5 ;0.0 ;3.45 ;
1067 ;0:00.75 ;2082 ;0 ;0.926 ;21.1 ;0.0 ;3.45 ;
1067 ;0:00.76 ;2150 ;0 ;0.926 ;21.1 ;0.0 ;3.44 ;
1067 ;0:00.77 ;2236 ;0 ;0.924 ;20.6 ;0.0 ;3.43 ;
1067 ;0:00.78 ;2312 ;0 ;0.923 ;20.4 ;0.0 ;3.42 ;
1067 ;0:00.79 ;2312 ;0 ;0.922 ;20.4 ;0.0 ;3.42 ;
1067 ;0:00.80 ;2375 ;0 ;0.921 ;21.0 ;0.0 ;3.42 ;
1067 ;0:00.81 ;2440 ;0 ;0.920 ;20.8 ;0.0 ;3.41 ;
1067 ;0:00.82 ;2516 ;0 ;0.919 ;21.1 ;0.0 ;3.44 ;
1067 ;0:00.83 ;2516 ;0 ;0.919 ;21.1 ;0.0 ;3.64 ;
1067 ;0:00.84 ;2584 ;0 ;0.918 ;20.6 ;0.0 ;3.64 ;
1067 ;0:00.85 ;2596 ;0 ;0.918 ;20.8 ;0.0 ;3.67 ;
1067 ;0:00.86 ;2638 ;0 ;0.917 ;20.8 ;0.0 ;3.80 ;
1067 ;0:00.87 ;2709 ;0 ;0.916 ;20.9 ;0.0 ;4.01 ;
1067 ;0:00.88 ;2773 ;0 ;0.915 ;20.9 ;0.0 ;4.20 ;
1067 ;0:00.89 ;2825 ;0 ;0.915 ;20.8 ;0.0 ;4.35 ;
1067 ;0:00.90 ;2882 ;0 ;0.915 ;20.8 ;0.0 ;4.52 ;
1067 ;0:00.91 ;2949 ;0 ;0.914 ;22.1 ;0.0 ;4.72 ;
1067 ;0:00.92 ;3005 ;0 ;0.914 ;20.6 ;0.0 ;4.88 ;
1067 ;0:00.93 ;3025 ;0 ;0.914 ;20.6 ;0.0 ;4.88 ;
1067 ;0:00.94 ;3068 ;0 ;0.914 ;21.6 ;0.0 ;4.88 ;
1067 ;0:00.95 ;3131 ;0 ;0.914 ;21.5 ;0.0 ;4.88 ;
1067 ;0:00.96 ;3184 ;0 ;0.914 ;20.9 ;0.0 ;4.88 ;
1067 ;0:00.97 ;3236 ;0 ;0.913 ;20.9 ;0.0 ;4.88 ;
1067 ;0:00.98 ;3288 ;0 ;0.914 ;21.6 ;0.0 ;4.88 ;
1067 ;0:00.99 ;3348 ;0 ;0.914 ;22.6 ;0.0 ;4.88 ;
1067 ;0:01.00 ;3397 ;0 ;0.913 ;20.2 ;0.0 ;4.88 ;
1067 ;0:01.01 ;3435 ;0 ;0.914 ;20.2 ;0.0 ;4.88 ;
1067 ;0:01.02 ;3474 ;0 ;0.914 ;22.5 ;0.0 ;4.88 ;
1067 ;0:01.03 ;3531 ;0 ;0.915 ;20.9 ;0.0 ;4.88 ;
1067 ;0:01.04 ;3579 ;0 ;0.915 ;21.1 ;0.0 ;4.88 ;
1067 ;0:01.05 ;3647 ;0 ;0.915 ;21.1 ;0.0 ;4.88 ;
1067 ;0:01.06 ;3706 ;0 ;0.915 ;21.1 ;0.0 ;4.88 ;
1067 ;0:01.07 ;3750 ;0 ;0.916 ;21.8 ;0.0 ;4.88 ;
1067 ;0:01.08 ;3794 ;0 ;0.916 ;21.8 ;0.0 ;4.88 ;
1067 ;0:01.09 ;3891 ;0 ;0.916 ;20.8 ;0.0 ;4.88 ;
1067 ;0:01.10 ;3933 ;0 ;0.915 ;22.3 ;0.0 ;4.88 ;
1067 ;0:01.11 ;3959 ;0 ;0.915 ;21.9 ;0.0 ;4.88 ;
1067 ;0:01.12 ;3989 ;0 ;0.915 ;21.9 ;0.0 ;4.88 ;
1067 ;0:01.13 ;4084 ;0 ;0.915 ;20.8 ;0.0 ;4.88 ;
1067 ;0:01.14 ;4117 ;0 ;0.914 ;21.6 ;0.0 ;4.88 ;
1067 ;0:01.15 ;4204 ;0 ;0.914 ;21.2 ;0.0 ;4.88 ;
1067 ;0:01.16 ;4242 ;0 ;0.913 ;21.2 ;0.0 ;4.88 ;
1067 ;0:01.17 ;4257 ;0 ;0.913 ;21.2 ;0.0 ;4.88 ;
1067 ;0:01.18 ;4327 ;0 ;0.911 ;22.3 ;0.0 ;4.88 ;
1067 ;0:01.19 ;4353 ;0 ;0.911 ;22.3 ;0.0 ;4.88 ;
1067 ;0:01.20 ;4379 ;0 ;0.909 ;21.0 ;0.0 ;4.88 ;
1067 ;0:01.21 ;4407 ;0 ;0.908 ;22.4 ;0.0 ;4.88 ;
1067 ;0:01.22 ;4412 ;0 ;0.907 ;22.5 ;0.0 ;4.88 ;
1067 ;0:01.23 ;4406 ;0 ;0.906 ;22.5 ;0.0 ;4.88 ;
1067 ;0:01.24 ;4431 ;0 ;0.906 ;21.8 ;0.0 ;4.88 ;
1067 ;0:01.25 ;4444 ;0 ;0.904 ;22.3 ;0.0 ;4.88 ;
1067 ;0:01.26 ;4437 ;0 ;0.903 ;23.7 ;0.0 ;4.88 ;
1067 ;0:01.27 ;4461 ;0 ;0.901 ;23.7 ;0.0 ;4.88 ;
1067 ;0:01.28 ;4473 ;0 ;0.899 ;21.2 ;0.0 ;4.88 ;
1067 ;0:01.29 ;4489 ;0 ;0.897 ;22.9 ;0.0 ;4.88 ;
1067 ;0:01.30 ;4487 ;0 ;0.897 ;22.8 ;0.0 ;4.88 ;
1067 ;0:01.31 ;4480 ;0 ;0.896 ;22.8 ;0.0 ;4.88 ;
1067 ;0:01.32 ;4502 ;0 ;0.895 ;22.2 ;0.0 ;4.88 ;
1067 ;0:01.33 ;4524 ;0 ;0.894 ;22.3 ;0.0 ;4.88 ;
1067 ;0:01.34 ;4522 ;0 ;0.893 ;23.3 ;0.0 ;4.88 ;
1067 ;0:01.35 ;4547 ;0 ;0.892 ;22.5 ;0.0 ;4.88 ;
1067 ;0:01.36 ;4547 ;0 ;0.892 ;22.5 ;0.0 ;4.88 ;
1067 ;0:01.37 ;4566 ;0 ;0.891 ;23.7 ;0.0 ;4.88 ;
1067 ;0:01.38 ;4569 ;0 ;0.891 ;23.3 ;0.0 ;4.88 ;
1067 ;0:01.39 ;4594 ;0 ;0.892 ;23.2 ;0.0 ;4.88 ;
1067 ;0:01.40 ;4627 ;0 ;0.892 ;23.2 ;0.0 ;4.88 ;
1067 ;0:01.41 ;4635 ;0 ;0.892 ;23.2 ;0.0 ;4.88 ;
1067 ;0:01.42 ;4659 ;0 ;0.892 ;22.9 ;0.0 ;4.88 ;
1067 ;0:01.43 ;4664 ;0 ;0.891 ;23.4 ;0.0 ;4.88 ;
1067 ;0:01.44 ;4692 ;0 ;0.891 ;24.9 ;0.0 ;4.88 ;
1067 ;0:01.45 ;4721 ;0 ;0.890 ;24.9 ;0.0 ;4.88 ;
1067 ;0:01.46 ;4724 ;0 ;0.890 ;23.1 ;0.0 ;4.88 ;
1067 ;0:01.47 ;4712 ;0 ;0.889 ;24.6 ;0.0 ;4.88 ;
1067 ;0:01.48 ;4738 ;0 ;0.888 ;24.4 ;0.0 ;4.88 ;
1067 ;0:01.49 ;4751 ;0 ;0.887 ;23.9 ;0.0 ;4.88 ;
1067 ;0:01.50 ;4773 ;0 ;0.886 ;24.5 ;0.0 ;4.88 ;
1067 ;0:01.51 ;4774 ;0 ;0.884 ;24.5 ;0.0 ;4.88 ;
1067 ;0:01.52 ;4761 ;0 ;0.882 ;25.1 ;0.0 ;4.88 ;
1067 ;0:01.53 ;4780 ;0 ;0.880 ;23.9 ;0.0 ;4.88 ;
1067 ;0:01.54 ;4796 ;0 ;0.878 ;25.0 ;0.0 ;4.88 ;
1067 ;0:01.55 ;4822 ;0 ;0.877 ;25.1 ;0.0 ;4.88 ;
1067 ;0:01.56 ;4828 ;0 ;0.876 ;24.7 ;0.0 ;4.88 ;
1067 ;0:01.57 ;4820 ;0 ;0.875 ;24.7 ;0.0 ;4.88 ;
1067 ;0:01.58 ;4847 ;0 ;0.873 ;24.6 ;0.0 ;4.88 ;
1067 ;0:01.59 ;4876 ;0 ;0.870 ;24.7 ;0.0 ;4.88 ;
1067 ;0:01.60 ;4905 ;0 ;0.868 ;25.2 ;0.0 ;4.88 ;
1067 ;0:01.61 ;4921 ;0 ;0.866 ;25.2 ;0.0 ;4.88 ;
1067 ;0:01.62 ;4913 ;0 ;0.864 ;26.0 ;0.0 ;4.88 ;
1067 ;0:01.63 ;4942 ;0 ;0.862 ;25.0 ;0.0 ;4.88 ;
1067 ;0:01.64 ;4969 ;0 ;0.862 ;25.0 ;0.0 ;4.88 ;
1067 ;0:01.65 ;4997 ;0 ;0.860 ;25.6 ;0.0 ;4.88 ;
1067 ;0:01.66 ;5012 ;0 ;0.859 ;25.3 ;0.0 ;4.88 ;
1067 ;0:01.67 ;5034 ;0 ;0.857 ;25.2 ;0.0 ;4.88 ;
1067 ;0:01.68 ;5026 ;0 ;0.856 ;26.1 ;0.0 ;4.88 ;
1067 ;0:01.69 ;5043 ;0 ;0.854 ;25.8 ;0.0 ;4.88 ;
1067 ;0:01.70 ;5056 ;0 ;0.853 ;26.4 ;0.0 ;4.88 ;
1067 ;0:01.71 ;5071 ;0 ;0.853 ;26.6 ;0.0 ;4.88 ;
1067 ;0:01.72 ;5079 ;0 ;0.852 ;26.6 ;0.0 ;4.88 ;
1067 ;0:01.73 ;5096 ;0 ;0.851 ;25.4 ;0.0 ;4.88 ;
1067 ;0:01.74 ;5114 ;0 ;0.851 ;27.1 ;0.0 ;4.88 ;
1067 ;0:01.75 ;5104 ;0 ;0.851 ;28.1 ;0.0 ;4.88 ;
1067 ;0:01.76 ;5103 ;0 ;0.850 ;25.5 ;0.0 ;4.88 ;
1067 ;0:01.77 ;5120 ;0 ;0.849 ;26.8 ;0.0 ;4.88 ;
1067 ;0:01.78 ;5141 ;0 ;0.849 ;26.5 ;0.0 ;4.88 ;
1067 ;0:01.79 ;5156 ;0 ;0.849 ;26.2 ;0.0 ;4.88 ;
1067 ;0:01.80 ;5173 ;0 ;0.849 ;26.4 ;0.0 ;4.88 ;
1067 ;0:01.81 ;5198 ;0 ;0.848 ;27.0 ;0.0 ;4.88 ;
1067 ;0:01.82 ;5191 ;0 ;0.848 ;27.0 ;0.0 ;4.88 ;
1067 ;0:01.83 ;5208 ;0 ;0.848 ;26.9 ;0.0 ;4.88 ;
1067 ;0:01.84 ;5237 ;0 ;0.849 ;26.2 ;0.0 ;4.88 ;
1067 ;0:01.85 ;5266 ;0 ;0.850 ;28.1 ;0.0 ;4.88 ;
1067 ;0:01.86 ;5296 ;0 ;0.850 ;26.6 ;0.0 ;4.88 ;
1067 ;0:01.87 ;5332 ;0 ;0.850 ;27.3 ;0.0 ;4.88 ;
1067 ;0:01.88 ;5367 ;0 ;0.850 ;27.0 ;0.0 ;4.88 ;
1067 ;0:01.89 ;5380 ;0 ;0.851 ;26.7 ;0.0 ;4.88 ;
1067 ;0:01.90 ;5366 ;0 ;0.852 ;28.0 ;0.0 ;4.88 ;
1067 ;0:01.91 ;5383 ;0 ;0.853 ;27.5 ;0.0 ;4.88 ;
1067 ;0:01.92 ;5392 ;0 ;0.855 ;27.9 ;0.0 ;4.88 ;
1067 ;0:01.93 ;5408 ;0 ;0.857 ;28.8 ;0.0 ;4.88 ;
1067 ;0:01.94 ;5412 ;0 ;0.858 ;27.1 ;0.0 ;4.88 ;
1067 ;0:01.95 ;5437 ;0 ;0.860 ;28.7 ;0.0 ;4.88 ;
1067 ;0:01.96 ;5453 ;0 ;0.861 ;28.7 ;0.0 ;4.88 ;
1067 ;0:01.97 ;5471 ;0 ;0.862 ;30.1 ;0.0 ;4.88 ;
1067 ;0:01.98 ;5488 ;0 ;0.863 ;26.7 ;0.0 ;4.88 ;
1067 ;0:01.99 ;5511 ;0 ;0.865 ;28.6 ;0.0 ;4.88 ;
1067 ;0:02.00 ;5503 ;0 ;0.868 ;27.9 ;0.0 ;4.88 ;
1067 ;0:02.01 ;5513 ;0 ;0.870 ;28.3 ;0.0 ;4.88 ;
1067 ;0:02.02 ;5534 ;0 ;0.872 ;28.8 ;0.0 ;4.88 ;
1067 ;0:02.03 ;5547 ;0 ;0.873 ;28.6 ;0.0 ;4.88 ;
1067 ;0:02.04 ;5570 ;0 ;0.874 ;29.0 ;0.0 ;4.88 ;
1067 ;0:02.05 ;5593 ;0 ;0.875 ;28.7 ;0.0 ;4.88 ;
1067 ;0:02.06 ;5617 ;0 ;0.875 ;29.1 ;0.0 ;4.88 ;
1067 ;0:02.07 ;5645 ;0 ;0.877 ;28.5 ;0.0 ;4.88 ;
1067 ;0:02.08 ;5669 ;0 ;0.877 ;29.3 ;0.0 ;4.88 ;
1067 ;0:02.09 ;5673 ;0 ;0.878 ;28.6 ;0.0 ;4.88 ;
1067 ;0:02.10 ;5688 ;0 ;0.879 ;28.9 ;0.0 ;4.88 ;
1067 ;0:02.11 ;5707 ;0 ;0.880 ;30.7 ;0.0 ;4.88 ;
1067 ;0:02.12 ;5732 ;0 ;0.880 ;29.1 ;0.0 ;4.88 ;
1067 ;0:02.13 ;5760 ;0 ;0.880 ;30.3 ;0.0 ;4.88 ;
1067 ;0:02.14 ;5785 ;0 ;0.880 ;30.2 ;0.0 ;4.88 ;
1067 ;0:02.15 ;5810 ;0 ;0.880 ;29.1 ;0.0 ;4.88 ;
1067 ;0:02.16 ;5837 ;0 ;0.880 ;30.3 ;0.0 ;4.88 ;
1067 ;0:02.17 ;5828 ;0 ;0.879 ;31.0 ;0.0 ;4.88 ;
1067 ;0:02.18 ;5837 ;0 ;0.878 ;29.1 ;0.0 ;4.88 ;
1067 ;0:02.19 ;5864 ;0 ;0.877 ;31.0 ;0.0 ;4.88 ;
1067 ;0:02.20 ;5892 ;0 ;0.876 ;30.6 ;0.0 ;4.88 ;
1067 ;0:02.21 ;5922 ;0 ;0.876 ;30.1 ;0.0 ;4.88 ;
1067 ;0:02.22 ;5950 ;0 ;0.875 ;29.8 ;0.0 ;4.88 ;
1067 ;0:02.23 ;5984 ;0 ;0.874 ;31.1 ;0.0 ;4.88 ;
1067 ;0:02.24 ;6009 ;0 ;0.873 ;30.7 ;0.0 ;4.86 ;
1067 ;0:02.25 ;6040 ;0 ;0.872 ;30.3 ;0.0 ;4.81 ;
1067 ;0:02.26 ;6062 ;0 ;0.871 ;30.9 ;0.0 ;4.78 ;
1067 ;0:02.27 ;6087 ;0 ;0.870 ;31.0 ;0.0 ;4.74 ;
1067 ;0:02.28 ;6111 ;0 ;0.869 ;31.4 ;0.0 ;4.71 ;
1067 ;0:02.29 ;6143 ;0 ;0.868 ;30.7 ;0.0 ;4.61 ;
1067 ;0:02.30 ;6167 ;0 ;0.868 ;32.7 ;0.0 ;4.62 ;
1067 ;0:02.31 ;6210 ;0 ;0.868 ;30.8 ;0.0 ;4.56 ;
1067 ;0:02.32 ;6223 ;0 ;0.868 ;32.8 ;0.0 ;4.54 ;
1067 ;0:02.33 ;6245 ;0 ;0.867 ;33.0 ;0.0 ;4.51 ;
1067 ;0:02.34 ;6268 ;0 ;0.866 ;31.4 ;0.0 ;4.47 ;
1067 ;0:02.35 ;6294 ;0 ;0.865 ;33.1 ;0.0 ;4.43 ;
1067 ;0:02.36 ;6317 ;0 ;0.864 ;33.1 ;0.0 ;4.40 ;
1067 ;0:02.37 ;6343 ;0 ;0.864 ;32.1 ;0.0 ;4.35 ;
1067 ;0:02.38 ;6368 ;0 ;0.863 ;32.4 ;0.0 ;4.31 ;
1067 ;0:02.39 ;6405 ;0 ;0.862 ;32.3 ;0.0 ;4.26 ;
1067 ;0:02.40 ;6438 ;0 ;0.862 ;32.5 ;0.0 ;4.21 ;
1067 ;0:02.41 ;6465 ;0 ;0.862 ;33.2 ;0.0 ;4.18 ;
1067 ;0:02.42 ;6490 ;0 ;0.862 ;32.7 ;0.0 ;4.13 ;
1067 ;0:02.43 ;6514 ;0 ;0.862 ;34.0 ;0.0 ;4.09 ;
1067 ;0:02.44 ;6549 ;0 ;0.861 ;33.2 ;0.0 ;4.04 ;
1067 ;0:02.45 ;6576 ;0 ;0.862 ;33.3 ;0.0 ;4.00 ;
1067 ;0:02.46 ;6611 ;0 ;0.862 ;33.2 ;0.0 ;3.95 ;
1067 ;0:02.47 ;6667 ;0 ;0.862 ;33.7 ;0.0 ;3.86 ;
1067 ;0:02.48 ;6686 ;0 ;0.862 ;34.6 ;0.0 ;3.83 ;
1067 ;0:02.49 ;6710 ;0 ;0.863 ;33.4 ;0.0 ;3.79 ;
1067 ;0:02.50 ;6734 ;0 ;0.863 ;34.7 ;0.0 ;3.75 ;
1067 ;0:02.51 ;6761 ;0 ;0.864 ;35.7 ;0.0 ;3.72 ;
1067 ;0:02.52 ;6756 ;0 ;0.864 ;35.1 ;0.0 ;3.72 ;
1067 ;0:02.53 ;6781 ;0 ;0.864 ;37.1 ;0.0 ;3.68 ;
1067 ;0:02.54 ;6793 ;0 ;0.864 ;34.3 ;0.0 ;3.67 ;
1067 ;0:02.55 ;6843 ;0 ;0.864 ;35.6 ;0.0 ;3.59 ;
1067 ;0:02.56 ;6868 ;0 ;0.865 ;34.6 ;0.0 ;3.55 ;
1067 ;0:02.57 ;6893 ;0 ;0.865 ;34.2 ;0.0 ;3.52 ;
