SESSION;  TIME; RPM; THROT; WATER; AIR; MAP; LAMB; L U SP; L D SP; TRAC %; VOLTS; SLIP%; INJ; ADV; LAUC S; SHIF A; L/Hr; L/100K; 

1345 ; 0:00.10 ; 2505 ; 7 ; 87; 24; 85; 0.824 ;  2.0 ; 12.1 ; 0 ; 12.7 ; 505 ; 3.30 ; 18.0 ; 0 ; 0 ; 3.0; 0.0; 
1345 ; 0:00.20 ; 2322 ; 7 ; 87; 24; 84; 0.902 ;  2.0 ; 11.2 ; 0 ; 12.9 ; 460 ; 3.30 ; 18.0 ; 0 ; 0 ; 2.9; 0.0; 
1345 ; 0:00.30 ; 2402 ; 7 ; 87; 24; 82; 0.916 ;  2.0 ; 11.6 ; 0 ; 13.0 ; 480 ; 3.30 ; 18.0 ; 0 ; 0 ; 3.1; 0.0; 
1345 ; 0:00.40 ; 2687 ; 7 ; 87; 24; 79; 0.846 ;  2.0 ; 13.0 ; 0 ; 13.0 ; 550 ; 3.47 ; 18.5 ; 0 ; 0 ; 3.7; 0.0; 
1345 ; 0:00.50 ; 3016 ; 7 ; 87; 24; 76; 0.839 ;  2.0 ; 14.6 ; 0 ; 13.1 ; 630 ; 3.77 ; 19.5 ; 0 ; 0 ; 4.2; 0.0; 
1345 ; 0:00.60 ; 3305 ; 7 ; 87; 24; 73; 0.784 ;  1.9 ; 16.0 ; 0 ; 12.7 ; 742 ; 3.95 ; 20.9 ; 0 ; 0 ; 5.4; 0.0; 
1345 ; 0:00.70 ; 3945 ; 7 ; 87; 24; 70; 0.741 ;  2.1 ; 19.1 ; 0 ; 13.0 ; 809 ; 4.35 ; 23.9 ; 0 ; 0 ; 6.8; 323.8; 
1345 ; 0:00.80 ; 4232 ; 7 ; 87; 24; 70; 0.753 ; 1.8 ; 20.5 ; 0 ; 13.1 ; 1038 ; 4.39 ; 26.4 ; 0 ; 0 ; 7.3; 0.0; 
1345 ; 0:00.90 ; 4567 ; 7 ; 87; 24; 72; 0.776 ; 1.8 ; 22.2 ; 0 ; 13.0 ; 1133 ; 4.39 ; 29.5 ; 0 ; 0 ; 7.5; 0.0; 
1345 ; 0:01.00 ; 4065 ; 7 ; 87; 24; 77; 0.784 ; 2.0 ; 19.7 ; 0 ; 13.0 ; 885 ; 4.39 ; 24.8 ; 0 ; 0 ; 6.2; 0.0; 
1345 ; 0:01.10 ; 3583 ; 7 ; 87; 24; 81; 0.784 ; 2.3 ; 17.4 ; 0 ; 12.8 ; 656 ; 4.13 ; 22.2 ; 0 ; 0 ; 5.3; 230.4; 
1345 ; 0:01.20 ; 3159 ; 7 ; 87; 24; 83; 0.775 ; 2.3 ; 15.3 ; 0 ; 13.1 ; 565 ; 3.85 ; 20.2 ; 0 ; 0 ; 4.3; 179.1; 
1345 ; 0:01.30 ; 2829 ; 7 ; 87; 24; 84; 0.776 ; 2.4 ; 13.7 ; 0 ; 13.1 ; 470 ; 3.60 ; 18.9 ; 0 ; 0 ; 3.6; 150.0; 
1345 ; 0:01.40 ; 2620 ; 7 ; 87; 24; 85; 0.791 ; 2.8 ; 12.7 ; 0 ; 13.1 ; 353 ; 3.40 ; 18.3 ; 0 ; 0 ; 3.1; 110.7; 
1345 ; 0:01.50 ; 2416 ; 7 ; 87; 24; 84; 0.850 ; 2.6 ; 11.7 ; 0 ; 12.7 ; 350 ; 3.30 ; 18.0 ; 0 ; 0 ; 3.0; 115.3; 
1345 ; 0:01.60 ; 2504 ; 7 ; 87; 24; 82; 0.914 ; 2.9 ; 12.1 ; 0 ; 13.0 ; 317 ; 3.30 ; 18.0 ; 0 ; 0 ; 3.3; 113.7; 
1345 ; 0:01.70 ; 2679 ; 7 ; 87; 24; 79; 0.884 ; 2.7 ; 13.0 ; 0 ; 13.1 ; 381 ; 3.46 ; 18.4 ; 0 ; 0 ; 3.7; 137.0; 
1345 ; 0:01.80 ; 2833 ; 7 ; 87; 24; 77; 0.868 ; 2.8 ; 13.7 ; 0 ; 12.7 ; 389 ; 3.61 ; 18.9 ; 0 ; 0 ; 4.2; 150.0; 
1345 ; 0:01.90 ; 3086 ; 7 ; 87; 24; 73; 0.795 ; 2.9 ; 15.0 ; 0 ; 13.0 ; 417 ; 3.81 ; 19.8 ; 0 ; 0 ; 4.9; 168.9; 
1345 ; 0:02.00 ; 3720 ; 7 ; 87; 24; 70; 0.747 ; 2.9 ; 18.0 ; 0 ; 12.8 ; 520 ; 4.21 ; 22.8 ; 0 ; 0 ; 6.5; 216.6; 
1345 ; 0:02.10 ; 4227 ; 7 ; 87; 24; 69; 0.740 ; 3.1 ; 20.5 ; 0 ; 13.0 ; 561 ; 4.39 ; 26.3 ; 0 ; 0 ; 7.1; 229.0; 
1345 ; 0:02.20 ; 4565 ; 7 ; 87; 24; 70; 0.755 ; 2.9 ; 22.1 ; 0 ; 12.9 ; 662 ; 4.39 ; 29.5 ; 0 ; 0 ; 7.7; 265.5; 
1345 ; 0:02.30 ; 4455 ; 7 ; 87; 24; 74; 0.762 ; 3.2 ; 21.5 ; 0 ; 12.8 ; 571 ; 4.39 ; 28.2 ; 0 ; 0 ; 6.8; 212.5; 
1345 ; 0:02.40 ; 3750 ; 7 ; 88; 24; 79; 0.760 ; 3.1 ; 18.2 ; 0 ; 13.0 ; 487 ; 4.23 ; 23.0 ; 0 ; 0 ; 5.6; 180.6; 
1345 ; 0:02.50 ; 3467 ; 7 ; 88; 24; 80; 0.764 ; 3.2 ; 16.8 ; 0 ; 13.0 ; 425 ; 4.05 ; 21.6 ; 0 ; 0 ; 4.9; 153.1; 
1345 ; 0:02.60 ; 2959 ; 7 ; 88; 24; 82; 0.774 ; 3.6 ; 14.3 ; 0 ; 13.1 ; 297 ; 3.72 ; 19.3 ; 0 ; 0 ; 4.1; 113.8; 
1345 ; 0:02.70 ; 2800 ; 7 ; 88; 24; 82; 0.797 ; 3.3 ; 13.6 ; 0 ; 13.1 ; 312 ; 3.57 ; 18.9 ; 0 ; 0 ; 3.9; 118.1; 
1345 ; 0:02.80 ; 2769 ; 7 ; 88; 24; 81; 0.866 ; 3.7 ; 13.4 ; 0 ; 13.0 ; 262 ; 3.54 ; 18.7 ; 0 ; 0 ; 3.6; 92.3; 
1345 ; 0:02.90 ; 2798 ; 7 ; 88; 24; 79; 0.875 ; 3.9 ; 13.6 ; 0 ; 12.7 ; 248 ; 3.57 ; 18.8 ; 0 ; 0 ; 3.8; 100.0; 
1345 ; 0:03.00 ; 2953 ; 7 ; 88; 24; 77; 0.821 ; 4.0 ; 14.3 ; 0 ; 13.0 ; 257 ; 3.71 ; 19.3 ; 0 ; 0 ; 4.3; 107.5; 
1345 ; 0:03.10 ; 3109 ; 7 ; 88; 24; 74; 0.800 ; 4.4 ; 15.1 ; 0 ; 13.1 ; 243 ; 3.83 ; 19.9 ; 0 ; 0 ; 4.8; 120.0; 
1345 ; 0:03.20 ; 3553 ; 7 ; 88; 24; 72; 0.771 ; 4.5 ; 17.2 ; 0 ; 13.2 ; 282 ; 4.10 ; 22.1 ; 0 ; 0 ; 6.0; 133.3; 
1345 ; 0:03.30 ; 4017 ; 7 ; 88; 24; 69; 0.740 ; 4.6 ; 19.5 ; 0 ; 12.9 ; 323 ; 4.39 ; 24.4 ; 0 ; 0 ; 6.9; 150.0; 
1345 ; 0:03.40 ; 4313 ; 7 ; 88; 24; 69; 0.732 ; 4.8 ; 20.9 ; 0 ; 12.8 ; 335 ; 4.39 ; 27.2 ; 0 ; 0 ; 7.3; 152.0; 
1345 ; 0:03.50 ; 4568 ; 7 ; 88; 24; 70; 0.755 ; 5.4 ; 22.2 ; 0 ; 12.8 ; 311 ; 4.39 ; 29.5 ; 0 ; 0 ; 7.6; 133.3; 
1345 ; 0:03.60 ; 4512 ; 7 ; 88; 24; 74; 0.784 ; 6.0 ; 21.9 ; 0 ; 12.9 ; 265 ; 4.39 ; 29.0 ; 0 ; 0 ; 7.0; 109.3; 
1345 ; 0:03.70 ; 3812 ; 7 ; 88; 24; 79; 0.797 ; 6.8 ; 18.5 ; 0 ; 13.0 ; 172 ; 4.27 ; 23.3 ; 0 ; 0 ; 5.8; 81.6; 
1345 ; 0:03.80 ; 3494 ; 7 ; 88; 24; 82; 0.805 ; 7.6 ; 16.9 ; 0 ; 13.1 ; 122 ; 4.07 ; 21.7 ; 0 ; 0 ; 4.8; 62.3; 
1345 ; 0:03.90 ; 2930 ; 7 ; 88; 24; 85; 0.814 ; 8.5 ; 14.2 ; 0 ; 13.0 ; 67 ; 3.69 ; 19.2 ; 0 ; 0 ; 4.0; 41.2; 
1345 ; 0:04.00 ; 2605 ; 7 ; 88; 24; 87; 0.821 ; 9.7 ; 12.6 ; 0 ; 12.5 ; 29 ; 3.39 ; 18.3 ; 0 ; 0 ; 2.9; 28.4; 
1345 ; 0:04.10 ; 1978 ; 7 ; 88; 24; 88; 0.815 ; 11.7 ; 9.6 ; 0 ; 13.1 ; -17 ; 3.30 ; 17.7 ; 0 ; 0 ; 2.1; 17.6; 
1345 ; 0:04.20 ; 1838 ; 7 ; 88; 24; 86; 0.792 ; 13.3 ; 8.9 ; 0 ; 13.0 ; -33 ; 3.30 ; 16.6 ; 0 ; 0 ; 2.4; 19.6; 
1345 ; 0:04.30 ; 3006 ; 7 ; 88; 24; 82; 0.768 ; 11.7 ; 14.6 ; 9 ; 13.1 ; 24 ; 3.77 ; 19.5 ; 0 ; 0 ; 5.1; 46.3; 
1345 ; 0:04.40 ; 2936 ; 7 ; 88; 24; 84; 0.769 ; 12.5 ; 14.2 ; 0 ; 11.6 ; 13 ; 3.70 ; 19.2 ; 0 ; 0 ; 4.1; 33.8; 
1345 ; 0:04.50 ; 2190 ; 7 ; 88; 24; 86; 0.767 ; 13.5 ; 10.6 ; 0 ; 13.0 ; -21 ; 3.30 ; 18.0 ; 0 ; 0 ; 2.7; 18.1; 
1345 ; 0:04.60 ; 2324 ; 7 ; 88; 24; 84; 0.763 ; 14.1 ; 11.2 ; 0 ; 13.0 ; -20 ; 3.30 ; 18.0 ; 0 ; 0 ; 3.0; 21.2; 
1345 ; 0:04.70 ; 3157 ; 7 ; 88; 24; 81; 0.771 ; 14.0 ; 15.3 ; 0 ; 13.0 ; 9 ; 3.85 ; 20.2 ; 0 ; 0 ; 5.0; 37.0; 
1345 ; 0:04.80 ; 3124 ; 7 ; 88; 24; 83; 0.777 ; 13.6 ; 15.1 ; 0 ; 13.1 ; 11 ; 3.84 ; 20.0 ; 0 ; 0 ; 4.3; 29.6; 
