SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;SHIF A;

1362 ;0:00,10 ;2624 ;7 ;101;24;72;0,908 ;1,4 ;12,8 ;0 ;12,5 ;814 ;3,43 ;18,4 ;0 ;
1362 ;0:00,20 ;3173 ;7 ;101;24;67;0,931 ;1,4 ;15,4 ;0 ;12,8 ;1000 ;3,87 ;20,2 ;0 ;
1362 ;0:00,30 ;3835 ;7 ;101;24;61;0,967 ;1,4 ;18,6 ;0 ;12,3 ;1228 ;4,28 ;23,4 ;0 ;
1362 ;0:00,40 ;4560 ;7 ;102;24;55;1,011 ;1,4 ;22,1 ;0 ;12,6 ;1478 ;4,39 ;29,5 ;0 ;
1362 ;0:00,50 ;5301 ;7 ;102;24;52;1,050 ;1,4 ;25,7 ;0 ;12,4 ;1735 ;4,39 ;37,5 ;0 ;
1362 ;0:00,60 ;6087 ;7 ;102;24;47;1,075 ;2,1 ;29,5 ;0 ;12,3 ;1304 ;4,37 ;46,6 ;0 ;
1362 ;0:00,70 ;6993 ;7 ;102;24;44;1,029 ;2,1 ;33,9 ;0 ;12,7 ;1514 ;4,15 ;50,6 ;0 ;
1362 ;0:00,80 ;8043 ;7 ;102;24;43;0,849 ;2,8 ;39,1 ;0 ;12,5 ;1296 ;2,90 ;60,0 ;0 ;
1362 ;0:00,90 ;9137 ;7 ;102;24;43;0,762 ;2,8 ;44,4 ;0 ;12,4 ;1485 ;2,65 ;60,0 ;0 ;
1362 ;0:01,00 ;10285 ;7 ;102;24;47;0,973 ;3,3 ;50,0 ;0 ;12,5 ;1415 ;2,64 ;60,0 ;0 ;
1362 ;0:01,10 ;9664 ;42 ;102;24;66;0,885 ;3,5 ;46,9 ;0 ;12,4 ;1240 ;4,35 ;43,5 ;0 ;
1362 ;0:01,20 ;9412 ;17 ;102;24;46;0,764 ;4,5 ;45,7 ;0 ;12,6 ;915 ;2,76 ;53,0 ;0 ;
1362 ;0:01,30 ;10539 ;7 ;102;24;52;0,796 ;4,8 ;51,2 ;0 ;12,5 ;966 ;2,64 ;60,0 ;0 ;
1362 ;0:01,40 ;8979 ;56 ;102;24;85;0,888 ;6,1 ;43,6 ;0 ;12,4 ;614 ;5,59 ;46,0 ;0 ;
1362 ;0:01,50 ;6959 ;29 ;102;24;60;1,107 ;6,7 ;33,8 ;0 ;12,6 ;404 ;3,74 ;47,9 ;0 ;
1362 ;0:01,60 ;7309 ;7 ;102;24;65;0,970 ;7,1 ;35,5 ;0 ;12,6 ;400 ;3,77 ;51,5 ;0 ;
1362 ;0:01,70 ;6216 ;14 ;102;24;87;0,900 ;8,8 ;30,2 ;0 ;12,5 ;243 ;3,75 ;53,9 ;0 ;
