SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;LUSP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;L/Hr;L/100K;

1321 ;0:00.10 ;3035 ;7 ;90;26;75;0.744 ;9.1 ;14.7 ;0 ;12.7 ;61 ;3.75 ;19.6 ;0 ;0 ;5.2;60.4;
1321 ;0:00.20 ;3516 ;7 ;90;26;73;0.745 ;8.6 ;17.0 ;0 ;12.6 ;97 ;4.05 ;21.9 ;0 ;0 ;6.5;72.2;
1321 ;0:00.30 ;4010 ;7 ;90;26;71;0.759 ;9.0 ;19.4 ;0 ;12.7 ;115 ;4.35 ;24.3 ;0 ;0 ;6.9;75.0;
1321 ;0:00.40 ;4198 ;7 ;90;26;73;0.758 ;9.2 ;20.4 ;0 ;12.6 ;121 ;4.35 ;26.0 ;0 ;0 ;6.3;65.6;
1321 ;0:00.50 ;3891 ;7 ;90;26;75;0.773 ;9.6 ;18.9 ;0 ;12.4 ;96 ;4.28 ;23.6 ;0 ;0 ;5.9;63.4;
1321 ;0:00.60 ;3733 ;7 ;90;26;76;0.817 ;9.3 ;18.1 ;0 ;12.6 ;94 ;4.19 ;22.9 ;0 ;0 ;5.6;57.1;
1321 ;0:00.70 ;3614 ;7 ;90;26;78;0.819 ;9.6 ;17.4 ;0 ;12.5 ;81 ;4.11 ;22.3 ;0 ;0 ;5.2;55.9;
1321 ;0:00.80 ;3470 ;7 ;90;26;79;0.824 ;9.3 ;16.8 ;0 ;12.6 ;80 ;4.02 ;21.6 ;0 ;0 ;4.3;42.1;
1321 ;0:00.90 ;3046 ;7 ;90;26;78;0.821 ;10.2 ;14.8 ;30 ;12.6 ;45 ;3.76 ;19.6 ;0 ;0 ;4.8;48.0;
1321 ;0:01.00 ;3213 ;7 ;90;26;79;0.820 ;10.0 ;15.6 ;40 ;12.7 ;56 ;3.86 ;20.4 ;0 ;0 ;4.8;46.6;
1321 ;0:01.10 ;3275 ;7 ;90;26;78;0.839 ;10.3 ;15.9 ;39 ;12.3 ;54 ;3.90 ;20.8 ;0 ;0 ;4.6;42.5;
1321 ;0:01.20 ;3188 ;7 ;90;26;78;0.856 ;11.1 ;15.4 ;23 ;12.7 ;38 ;3.85 ;20.3 ;0 ;0 ;4.8;48.9;
1321 ;0:01.30 ;3256 ;7 ;90;26;78;0.849 ;9.8 ;15.8 ;0 ;12.7 ;61 ;3.89 ;20.6 ;0 ;0 ;5.0;50.5;
1321 ;0:01.40 ;3274 ;7 ;90;26;78;0.886 ;9.9 ;15.9 ;0 ;12.7 ;60 ;3.90 ;20.7 ;0 ;0 ;4.8;44.8;
1321 ;0:01.50 ;3308 ;7 ;90;26;78;0.827 ;10.7 ;16.0 ;34 ;12.7 ;49 ;3.92 ;20.9 ;0 ;0 ;4.9;47.1;
