SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;L/Hr;L/100K;

1323 ;0:00.10 ;4346 ;7 ;87;28;70;0.786 ;6.5 ;21.1 ;0 ;12.8 ;224 ;4.35 ;27.4 ;0 ;0 ;7.2;110.7;
1323 ;0:00.20 ;4687 ;7 ;87;28;72;0.806 ;3.4 ;22.7 ;0 ;12.7 ;567 ;4.35 ;30.7 ;0 ;0 ;7.7;226.4;
1323 ;0:00.30 ;4260 ;7 ;87;28;78;0.783 ;7.3 ;20.1 ;0 ;12.6 ;175 ;4.35 ;25.6 ;0 ;0 ;6.8;93.1;
1323 ;0:00.40 ;3465 ;7 ;87;28;84;0.760 ;7.0 ;16.8 ;0 ;12.7 ;140 ;4.02 ;21.6 ;0 ;0 ;5.1;73.9;
1323 ;0:00.50 ;2782 ;7 ;87;28;87;0.752 ;7.5 ;13.5 ;0 ;12.8 ;80 ;3.52 ;18.7 ;0 ;0 ;3.7;49.3;
1323 ;0:00.60 ;2099 ;7 ;87;28;90;0.769 ;8.0 ;10.2 ;0 ;12.8 ;27 ;3.27 ;18.0 ;0 ;0 ;2.5;30.1;
1323 ;0:00.70 ;1829 ;7 ;87;28;91;0.800 ;8.3 ;8.8 ;0 ;12.8 ;6 ;3.27 ;16.5 ;0 ;0 ;2.2;26.5;
1323 ;0:00.80 ;1646 ;7 ;87;28;92;0.806 ;8.5 ;8.0 ;0 ;12.8 ;-5 ;3.27 ;15.1 ;0 ;0 ;2.0;23.5;
1323 ;0:00.90 ;1486 ;7 ;87;28;92;0.784 ;8.5 ;7.2 ;0 ;12.3 ;-15 ;3.27 ;14.0 ;0 ;0 ;1.8;21.1;
1323 ;0:01.00 ;1214 ;7 ;87;28;93;0.765 ;9.0 ;5.9 ;0 ;12.6 ;-34 ;3.27 ;14.0 ;0 ;0 ;1.5;16.6;
1323 ;0:01.10 ;1328 ;7 ;87;28;91;0.753 ;8.9 ;6.4 ;0 ;12.6 ;-28 ;3.27 ;14.0 ;0 ;0 ;1.6;17.9;
1323 ;0:01.20 ;1369 ;7 ;87;28;89;0.746 ;9.8 ;6.6 ;0 ;12.3 ;-32 ;3.27 ;14.0 ;0 ;0 ;1.8;18.3;
1323 ;0:01.30 ;1727 ;7 ;87;28;84;0.734 ;9.1 ;8.3 ;0 ;12.3 ;-8 ;3.27 ;15.7 ;0 ;0 ;2.3;25.2;
1323 ;0:01.40 ;2538 ;7 ;87;28;78;0.718 ;9.6 ;12.3 ;0 ;12.3 ;28 ;3.30 ;18.0 ;0 ;0 ;3.2;33.3;
1323 ;0:01.50 ;3339 ;7 ;87;28;75;0.715 ;8.9 ;16.2 ;0 ;12.6 ;82 ;3.94 ;21.0 ;0 ;0 ;4.9;55.0;
1323 ;0:01.60 ;3738 ;9 ;87;28;72;0.720 ;8.5 ;18.1 ;0 ;12.3 ;112 ;4.11 ;25.1 ;0 ;0 ;5.9;69.4;
1323 ;0:01.70 ;4128 ;10 ;87;28;71;0.718 ;9.1 ;20.0 ;0 ;12.6 ;119 ;4.22 ;28.2 ;0 ;0 ;6.6;92.9;
1323 ;0:01.80 ;4211 ;11 ;87;28;71;0.712 ;7.2 ;20.4 ;0 ;12.4 ;183 ;4.21 ;30.0 ;0 ;0 ;6.7;93.0;
1323 ;0:01.90 ;4364 ;11 ;87;28;71;0.717 ;7.5 ;21.2 ;0 ;12.7 ;182 ;4.21 ;31.5 ;0 ;0 ;6.9;104.5;
1323 ;0:02.00 ;4222 ;11 ;87;28;71;0.718 ;6.6 ;20.5 ;0 ;12.7 ;210 ;4.21 ;30.1 ;0 ;0 ;6.8;103.0;
1323 ;0:02.10 ;4155 ;11 ;87;28;72;0.720 ;6.2 ;20.2 ;0 ;12.7 ;225 ;4.21 ;29.5 ;0 ;0 ;6.5;104.8;
1323 ;0:02.20 ;4268 ;11 ;87;28;71;0.720 ;5.4 ;20.7 ;0 ;12.6 ;283 ;4.21 ;30.5 ;0 ;0 ;6.7;124.0;
1323 ;0:02.30 ;4339 ;11 ;87;28;71;0.728 ;5.6 ;21.0 ;0 ;12.3 ;275 ;4.21 ;31.2 ;0 ;0 ;6.9;123.2;
1323 ;0:02.40 ;4249 ;11 ;87;28;72;0.757 ;5.9 ;20.6 ;0 ;12.6 ;249 ;4.21 ;30.4 ;0 ;0 ;6.7;113.5;
1323 ;0:02.50 ;4191 ;11 ;87;28;72;0.777 ;5.3 ;20.3 ;0 ;12.8 ;283 ;4.21 ;29.8 ;0 ;0 ;6.7;126.4;
1323 ;0:02.60 ;4244 ;11 ;87;28;72;0.769 ;5.0 ;20.6 ;0 ;12.8 ;312 ;4.21 ;30.3 ;0 ;0 ;6.8;136.0;
1323 ;0:02.70 ;4488 ;11 ;87;28;71;0.748 ;4.5 ;21.8 ;0 ;12.3 ;384 ;4.21 ;32.7 ;0 ;0 ;7.1;157.7;
1323 ;0:02.80 ;4808 ;11 ;87;28;71;0.739 ;4.9 ;23.3 ;0 ;12.7 ;375 ;4.21 ;35.8 ;0 ;0 ;7.6;155.1;
1323 ;0:02.90 ;4949 ;11 ;87;28;72;0.744 ;4.7 ;24.0 ;0 ;12.7 ;410 ;4.21 ;37.2 ;0 ;0 ;7.9;168.0;
