SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;L/Hr;L/100K;

1331 ;0:00.10 ;3084 ;7 ;96;32;76;0.846 ;1.4 ;14.9 ;0 ;13.4 ;964 ;3.75 ;19.8 ;0 ;0 ;4.3;0.0;
1331 ;0:00.20 ;3107 ;7 ;96;32;75;0.834 ;1.4 ;15.1 ;0 ;13.6 ;978 ;3.77 ;19.9 ;0 ;0 ;4.4;0.0;
1331 ;0:00.30 ;3532 ;7 ;96;32;72;0.773 ;1.4 ;17.1 ;0 ;13.6 ;1121 ;4.03 ;22.0 ;0 ;0 ;5.4;0.0;
1331 ;0:00.40 ;4051 ;7 ;96;32;70;0.746 ;2.3 ;19.6 ;0 ;13.5 ;752 ;4.32 ;24.7 ;0 ;0 ;6.6;286.9;
1331 ;0:00.50 ;4275 ;7 ;96;32;71;0.771 ;2.3 ;20.7 ;0 ;13.5 ;800 ;4.32 ;26.8 ;0 ;0 ;7.0;304.3;
1331 ;0:00.60 ;4441 ;7 ;96;32;73;0.811 ;2.9 ;21.5 ;0 ;13.6 ;641 ;4.32 ;28.4 ;0 ;0 ;7.2;248.2;
1331 ;0:00.70 ;3935 ;7 ;96;32;78;0.810 ;3.2 ;19.1 ;0 ;13.5 ;496 ;4.27 ;23.9 ;0 ;0 ;6.3;196.8;
1331 ;0:00.80 ;3470 ;7 ;96;32;82;0.782 ;3.8 ;16.8 ;0 ;13.6 ;342 ;3.99 ;21.6 ;0 ;0 ;5.2;136.8;
1331 ;0:00.90 ;2992 ;7 ;96;32;86;0.772 ;4.2 ;14.2 ;0 ;13.6 ;238 ;3.64 ;19.2 ;0 ;0 ;4.0;95.2;
1331 ;0:01.00 ;2433 ;7 ;96;32;89;0.769 ;5.1 ;11.8 ;0 ;13.6 ;131 ;3.25 ;18.0 ;0 ;0 ;3.0;58.8;
1331 ;0:01.10 ;1938 ;7 ;96;32;90;0.768 ;5.6 ;9.4 ;0 ;13.5 ;67 ;3.25 ;17.4 ;0 ;0 ;2.3;37.7;
1331 ;0:01.20 ;1673 ;7 ;96;32;91;0.763 ;6.4 ;8.1 ;0 ;13.5 ;26 ;3.25 ;15.3 ;0 ;0 ;2.0;27.0;
1331 ;0:01.30 ;1696 ;7 ;96;32;91;0.753 ;7.6 ;8.2 ;0 ;13.1 ;7 ;3.25 ;15.5 ;0 ;0 ;1.8;23.6;
1331 ;0:01.40 ;1643 ;7 ;96;32;90;0.752 ;7.8 ;7.9 ;0 ;13.3 ;1 ;3.25 ;15.1 ;0 ;0 ;2.0;25.0;
1331 ;0:01.50 ;1854 ;7 ;96;32;89;0.757 ;7.9 ;9.0 ;0 ;13.6 ;13 ;3.25 ;16.8 ;0 ;0 ;2.2;27.8;
1331 ;0:01.60 ;2063 ;7 ;96;32;87;0.758 ;7.7 ;10.0 ;0 ;13.2 ;29 ;3.25 ;18.0 ;0 ;0 ;2.5;32.4;
1331 ;0:01.70 ;2327 ;7 ;96;32;85;0.756 ;7.1 ;11.3 ;0 ;13.6 ;59 ;3.25 ;18.0 ;0 ;0 ;2.8;38.8;
1331 ;0:01.80 ;2485 ;7 ;96;32;84;0.750 ;6.7 ;12.2 ;0 ;13.4 ;82 ;3.25 ;18.0 ;0 ;0 ;3.0;44.7;
1331 ;0:01.90 ;2718 ;8 ;96;32;82;0.746 ;6.9 ;13.2 ;0 ;13.5 ;91 ;3.46 ;20.4 ;0 ;0 ;3.7;53.6;
1331 ;0:02.00 ;2903 ;8 ;96;32;81;0.744 ;6.5 ;14.1 ;0 ;13.5 ;116 ;3.62 ;20.8 ;0 ;0 ;3.9;62.9;
